"field","type","rename"
"TRI_FACILITY.TRI_FACILITY_ID","str","TRIFID"
"TRI_FACILITY.STATE_COUNTY_FIPS_CODE","str","COUNTYGEOID"
"TRI_FACILITY.STATE_ABBR","str","STUSPS"
"TRI_FACILITY.FAC_CLOSED_IND","int","FAC_CLOSED_IND"
"TRI_FACILITY.ASGN_FEDERAL_IND","str","ASGN_FEDERAL_IND"
"TRI_SUBMISSION_NAICS.NAICS_CODE","str","NAICS_CODE"
"TRI_SUBMISSION_NAICS.NAICS_SEQUENCE_NUM","int","NAICS_SEQUENCE_NUM"
"TRI_SUBMISSION_NAICS.PRIMARY_IND","int","PRIMARY_IND"
"TRI_SUBMISSION_NAICS.INDUSTRY_CODE","float","INDUSTRY_CODE"
"TRI_SUBMISSION_NAICS.COVERED_NAICS","float","COVERED_NAICS"
