"field","type","rename"
"TRI_CHEM_INFO.TRI_CHEM_ID","str","TRI_CHEM_ID"
"TRI_CHEM_INFO.CHEM_NAME","str","CHEM_NAME"
"TRI_CHEM_INFO.ACTIVE_DATE","int","ACTIVE_DATE"
"TRI_CHEM_INFO.INACTIVE_DATE","int","INACTIVE_DATE"
"TRI_CHEM_INFO.CAAC_IND","int","CAAC_IND"
"TRI_CHEM_INFO.CARC_IND","int","CARC_IND"
"TRI_CHEM_INFO.R3350_IND","int","R3350_IND"
"TRI_CHEM_INFO.METAL_IND","int","METAL_IND"
"TRI_CHEM_INFO.FEDS_IND","int","FEDS_IND"
"TRI_CHEM_INFO.CLASSIFICATION","int","CLASSIFICATION"
"TRI_CHEM_INFO.PBT_START_YEAR","float","PBT_START_YEAR"
"TRI_CHEM_INFO.PBT_END_YEAR","float","PBT_END_YEAR"
"TRI_CHEM_INFO.NO_DECIMALS","float","NO_DECIMALS"
"TRI_CHEM_INFO.UNIT_OF_MEASURE","str","UNIT_OF_MEASURE"
"TRI_CHEM_INFO.CAS_REGISTRY_NUMBER","str","CAS_REGISTRY_NUMBER"
"TRI_CHEM_INFO.SRS_ID","float","SRS_ID"
"TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_81C","float","DEFAULT_PERCENTAGE_TO_81C"
"TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_81D","float","DEFAULT_PERCENTAGE_TO_81D"
"TRI_CHEM_INFO.DEFAULT_PERCENTAGE_TO_87","float","DEFAULT_PERCENTAGE_TO_87"
