"field","type","rename"
"TRI_FACILITY.TRI_FACILITY_ID","str","TRIFID"
"TRI_FACILITY.FACILITY_NAME","str","FACILITY_NAME"
"TRI_FACILITY.STREET_ADDRESS","str","STREET"
"TRI_FACILITY.CITY_NAME","str","CITY"
"TRI_FACILITY.STATE_COUNTY_FIPS_CODE","str","COUNTYGEOID"
"TRI_FACILITY.STATE_ABBR","str","STUSPS"
"TRI_FACILITY.ZIP_CODE","str","ZIP_CODE"
"TRI_FACILITY.FAC_CLOSED_IND","int","FAC_CLOSED_IND"
"TRI_FACILITY.ASGN_FEDERAL_IND","str","ASGN_FEDERAL_IND"
"TRI_FACILITY.FAC_LATITUDE","float","FAC_LATITUDE"
"TRI_FACILITY.FAC_LONGITUDE","float","FAC_LONGITUDE"
"TRI_FACILITY.BIA_CODE","str","BIA_CODE"
"TRI_FACILITY.EPA_REGISTRY_ID","str","EPA_REGISTRY_ID"
