field,type,nullable,comment,metadata
COUNTYGEOID,str,False,The geographic identifier of a county,'metadata': {'comment': 'The geographic identifier of a county'}
007782505,float,True,CHLORINE,'metadata': {'comment': 'CHLORINE'}
007803512,float,True,PHOSPHINE,'metadata': {'comment': 'PHOSPHINE'}
010049044,float,True,CHLORINE DIOXIDE,'metadata': {'comment': 'CHLORINE DIOXIDE'}
010061026,float,True,"TRANS-1,3-DICHLOROPROPENE","'metadata': {'comment': 'TRANS-1,3-DICHLOROPROPENE'}"
012122677,float,True,ZINEB,'metadata': {'comment': 'ZINEB'}
013356086,float,True,FENBUTATIN OXIDE,'metadata': {'comment': 'FENBUTATIN OXIDE'}
013474889,float,True,"1,1-DICHLORO-1,2,2,3,3-PENTAFLUOROPROPANE","'metadata': {'comment': '1,1-DICHLORO-1,2,2,3,3-PENTAFLUOROPROPANE'}"
013684565,float,True,DESMEDIPHAM,'metadata': {'comment': 'DESMEDIPHAM'}
014302137,float,True,C.I. PIGMENT GREEN 36,'metadata': {'comment': 'C.I. PIGMENT GREEN 36'}
019044883,float,True,ORYZALIN,'metadata': {'comment': 'ORYZALIN'}
019666309,float,True,OXYDIAZON,'metadata': {'comment': 'OXYDIAZON'}
020354261,float,True,METHAZOLE,'metadata': {'comment': 'METHAZOLE'}
020859738,float,True,ALUMINUM PHOSPHIDE,'metadata': {'comment': 'ALUMINUM PHOSPHIDE'}
022781233,float,True,BENDIOCARB,'metadata': {'comment': 'BENDIOCARB'}
023564058,float,True,THIOPHANATE-METHYL,'metadata': {'comment': 'THIOPHANATE-METHYL'}
025321226,float,True,DICHLOROBENZENE (MIXED ISOMERS),'metadata': {'comment': 'DICHLOROBENZENE (MIXED ISOMERS)'}
026471625,float,True,TOLUENE DIISOCYANATE (MIXED ISOMERS),'metadata': {'comment': 'TOLUENE DIISOCYANATE (MIXED ISOMERS)'}
026644462,float,True,TRIFORINE,'metadata': {'comment': 'TRIFORINE'}
028249776,float,True,THIOBENCARB,'metadata': {'comment': 'THIOBENCARB'}
035367385,float,True,DIFLUBENZURON,'metadata': {'comment': 'DIFLUBENZURON'}
038727558,float,True,DIETHATYL ETHYL,'metadata': {'comment': 'DIETHATYL ETHYL'}
050471448,float,True,VINCLOZOLIN,'metadata': {'comment': 'VINCLOZOLIN'}
051338273,float,True,DICLOFOP METHYL,'metadata': {'comment': 'DICLOFOP METHYL'}
051630581,float,True,FENVALERATE,'metadata': {'comment': 'FENVALERATE'}
052645531,float,True,PERMETHRIN,'metadata': {'comment': 'PERMETHRIN'}
053404607,float,True,"DAZOMET, SODIUM SALT","'metadata': {'comment': 'DAZOMET, SODIUM SALT'}"
055290647,float,True,DIMETHIPIN,'metadata': {'comment': 'DIMETHIPIN'}
055406536,float,True,3-IODO-2-PROPYNYL BUTYLCARBAMATE,'metadata': {'comment': '3-IODO-2-PROPYNYL BUTYLCARBAMATE'}
057213691,float,True,TRICLOPYR TRIETHYLAMMONIUM SALT,'metadata': {'comment': 'TRICLOPYR TRIETHYLAMMONIUM SALT'}
062476599,float,True,"ACIFLUORFEN, SODIUM SALT","'metadata': {'comment': 'ACIFLUORFEN, SODIUM SALT'}"
067485294,float,True,HYDRAMETHYLNON,'metadata': {'comment': 'HYDRAMETHYLNON'}
068085858,float,True,CYHALOTHRIN,'metadata': {'comment': 'CYHALOTHRIN'}
