TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
99835LSKPLMILE6,02220,AK,0,C,322110,1,1,322.0,1.0,32,322,3221
99835LSKPLMILE6,02220,AK,0,C,332813,1,1,332.0,1.0,33,332,3328
99901KTCHKMILE7,02130,AK,0,C,322110,1,1,322.0,1.0,32,322,3221
99752RDDGP90MIL,02188,AK,0,C,212231,1,1,2122.0,1.0,21,212,2122
99752RDDGP90MIL,02188,AK,0,C,212230,1,1,2122.0,1.0,21,212,2122
99901TSRLS1010S,02130,AK,0,C,424710,1,1,4247.0,1.0,42,424,4247
99801KNNCT13401,00000,AK,0,C,212231,1,1,2122.0,1.0,21,212,2122
99801KNNCT13401,00000,AK,0,C,212222,2,0,2122.0,1.0,21,212,2122
99801KNNCT13401,00000,AK,0,C,212221,3,0,2122.0,1.0,21,212,2122
99801KNNCT13401,00000,AK,0,C,212230,1,1,2122.0,1.0,21,212,2122
99801KNNCT13401,00000,AK,0,C,212222,2,0,,,21,212,2122
99801KNNCT13401,00000,AK,0,C,212221,3,0,,,21,212,2122
99801KNNCT13401,00000,AK,0,C,212221,2,0,2122.0,1.0,21,212,2122
99801KNNCT13401,00000,AK,0,C,212222,3,0,2122.0,1.0,21,212,2122
99801KNNCT13401,00000,AK,0,C,212221,2,0,,,21,212,2122
99801KNNCT13401,00000,AK,0,C,212222,3,0,,,21,212,2122
99553TRDNTAKUTA,02013,AK,0,C,311712,1,1,311.0,1.0,31,311,3117
99553TRDNTAKUTA,02013,AK,0,C,311710,1,1,311.0,1.0,31,311,3117
99615TRDNT111WM,02150,AK,0,C,311712,1,1,311.0,1.0,31,311,3117
99615TRDNT111WM,02150,AK,0,C,311711,1,1,311.0,1.0,31,311,3117
99613SRFRCKINGS,02060,AK,1,C,928110,1,1,999.0,0.0,92,928,9281
99627NXNFR32MIL,02290,AK,0,C,212221,1,1,2122.0,1.0,21,212,2122
99660NSBRGNWHAR,00000,AK,1,C,311712,1,1,311.0,1.0,31,311,3117
99661TRDNT229MA,02013,AK,0,C,311712,1,1,311.0,1.0,31,311,3117
99686PTRST25MIL,02261,AK,0,C,324110,1,1,324.0,1.0,32,324,3241
99501QLNNC1601T,02020,AK,2,C,424710,1,1,4247.0,1.0,42,424,4247
99501NCHRG459WB,02020,AK,0,C,424710,1,1,4247.0,1.0,42,424,4247
99501TSRLS1522P,02020,AK,0,C,424710,1,1,4247.0,1.0,42,424,4247
99501SDFNS1217P,02020,AK,0,F,424710,1,1,4247.0,1.0,42,424,4247
99743HLYPW25MIL,02068,AK,0,C,221112,1,1,2211.0,1.0,22,221,2211
99743HLYPW25MIL,02068,AK,0,C,221122,1,1,2211.0,1.0,22,221,2211
99752RDDGP13MIL,02188,AK,0,C,212231,1,1,2122.0,1.0,21,212,2122
99741SRFRCGALEN,02290,AK,0,F,928110,1,1,999.0,0.0,92,928,9281
99707FRTKN1FORT,02090,AK,0,C,424710,1,1,4247.0,1.0,42,424,4247
99611TSRLSMILE2,02122,AK,0,C,324110,1,1,324.0,1.0,32,324,3241
99707FRTKN1FORA,02090,AK,0,C,212221,1,1,2122.0,1.0,21,212,2122
99705PTRST1200H,02090,AK,0,C,324110,1,1,324.0,1.0,32,324,3241
99515VNWTR590E1,02020,AK,0,C,424690,1,1,4246.0,1.0,42,424,4246
