TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
35072BWTRF495WO,01037,AL,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
35022HRCRS1496H,01073,AL,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
35570HMLTNHWY78,01093,AL,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
35160TLLDG208NC,01121,AL,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
35805VXLCT4807B,01089,AL,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
36582NDSTR8475B,01097,AL,0,C,326122.0,1,1,326.0,1.0,32.0,326.0,3261.0
35756DRCTP26655,01083,AL,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
36476CHMBNHIGHW,01039,AL,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
36476CHMBNHIGHW,01039,AL,0,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
36207FTCXX13NAT,01015,AL,0,C,311999.0,1,1,311.0,1.0,31.0,311.0,3119.0
36303GLBMTNAPIE,01069,AL,0,C,335312.0,1,1,335.0,1.0,33.0,335.0,3353.0
36803MPXCR2230M,01081,AL,0,C,334613.0,1,1,334.0,1.0,33.0,334.0,3346.0
36330MRGNN200WE,01031,AL,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
35898GFCHMBUILD,01089,AL,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
36701RNSLS6MEAD,01047,AL,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
36105HGRHN150FO,01101,AL,0,C,332510.0,1,1,332.0,1.0,33.0,332.0,3325.0
35565FRSTTHWY19,01133,AL,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
35601WLVRN2100M,01103,AL,0,C,331421.0,1,1,331.0,1.0,33.0,331.0,3314.0
35601WLVRN2100M,01103,AL,0,C,331423.0,2,0,331.0,1.0,33.0,331.0,3314.0
36108CRGLL3250F,01101,AL,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
36545BSCSC307WE,01025,AL,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
36545BSCSC307WE,01025,AL,0,C,322110.0,2,0,322.0,1.0,32.0,322.0,3221.0
36545BSCSC307WE,01025,AL,0,C,321113.0,3,0,321.0,1.0,32.0,321.0,3211.0
36010BRNDD214NA,01109,AL,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
