TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
71730CNGRBSOUTH,05139,AR,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
71730CNGRBSOUTH,05139,AR,0,C,311613.0,2,0,311.0,1.0,31.0,311.0,3116.0
72002WHTNG4000H,05125,AR,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
72002WHTNG4000H,05125,AR,0,C,333319.0,2,0,333.0,1.0,33.0,333.0,3333.0
72757BKRTXONEBE,05007,AR,0,C,314992.0,1,1,314.0,1.0,31.0,314.0,3149.0
72902HCKRY4925S,05131,AR,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
72160LNNXN200LE,05001,AR,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
71852PLGRM200EA,05061,AR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
71801PLGRMHWY29,05057,AR,1,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
72901CPLSN5106W,05131,AR,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
71731CNGRP653SM,05139,AR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
71639HSSMNHWY65,05041,AR,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
72902KFDSNREEDL,05131,AR,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
72315HCKTTCONYS,05093,AR,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
72455HRVRD3200C,05121,AR,0,C,332722.0,1,1,332.0,1.0,33.0,332.0,3327.0
72112FRMRS1033R,05067,AR,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
72160RCLND1STCO,05001,AR,0,C,311212.0,1,1,311.0,1.0,31.0,311.0,3112.0
72601PCNDS513HW,05009,AR,0,C,331521.0,1,1,331.0,1.0,33.0,331.0,3315.0
72801DWCHMLOCKA,05115,AR,0,C,333298.0,1,1,333.0,1.0,33.0,333.0,3332.0
72722PTRSNMAINS,05007,AR,0,C,311613.0,1,1,311.0,1.0,31.0,311.0,3116.0
75502RCKWL30GLO,05091,AR,0,C,332919.0,1,1,332.0,1.0,33.0,332.0,3329.0
72653BXTRH1900N,05005,AR,0,C,326113.0,1,1,326.0,1.0,32.0,326.0,3261.0
72653BXTRH1900N,05005,AR,0,C,339112.0,2,0,339.0,1.0,33.0,339.0,3391.0
71730PRSCL216MI,05139,AR,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
72834TYSNFSIXTH,05149,AR,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
72834TYSNFSIXTH,05149,AR,0,C,311119.0,2,0,311.0,1.0,31.0,311.0,3111.0
72006RKNSSHWY33,05147,AR,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
72301DZNTR301WY,05035,AR,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
72076VNWTR1925R,05119,AR,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
72958TYSNFENDOF,05127,AR,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
72958TYSNFENDOF,05127,AR,0,C,311119.0,2,0,311.0,1.0,31.0,311.0,3111.0
72104PRCSN1012E,05059,AR,1,C,331521.0,1,1,331.0,1.0,33.0,331.0,3315.0
72076CLMNH2500W,05119,AR,0,C,332811.0,1,1,332.0,1.0,33.0,332.0,3328.0
72081MRCNB1211N,05145,AR,0,C,331525.0,1,1,331.0,1.0,33.0,331.0,3315.0
72761CBBVN2125C,05007,AR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
72615BRGMNASHST,05009,AR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
72638TYSNF601E6,05015,AR,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
72901BLDRL5711S,05131,AR,0,C,335312.0,1,1,335.0,1.0,33.0,335.0,3353.0
72015RNC001007V,05125,AR,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
72901RVRSD1400S,05131,AR,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
72847CRGLLHWY64,05115,AR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
71901SVNDM5911M,05051,AR,0,C,212299.0,1,1,2122.0,1.0,21.0,212.0,2122.0
71901SVNDM5911M,05051,AR,0,C,325188.0,2,0,325.0,1.0,32.0,325.0,3251.0
72801DNCRP2301E,05115,AR,0,C,336312.0,1,1,336.0,1.0,33.0,336.0,3363.0
72112RKNSSVANDY,05067,AR,0,C,331111.0,1,1,331.0,1.0,33.0,331.0,3311.0
72112RKNSSVANDY,05067,AR,0,C,331221.0,2,0,331.0,1.0,33.0,331.0,3312.0
72764MRCNT1603F,05143,AR,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
72757PRFRM2740S,05007,AR,0,C,335932.0,1,1,335.0,1.0,33.0,335.0,3359.0
72031CNGRP1899C,05141,AR,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
72503CNGRF1810S,05063,AR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
72823CNGRFHWY64,05115,AR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
72476FRTNDINDUS,05075,AR,0,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
71611CNTRYEMMET,05069,AR,0,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
72830GRNVLLUCAS,05071,AR,0,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
72949BLDRL1910B,05047,AR,0,C,335312.0,1,1,335.0,1.0,33.0,335.0,3353.0
72712BNTNV1019S,05007,AR,1,C,331511.0,1,1,331.0,1.0,33.0,331.0,3315.0
71611HVRTRDIXIE,05069,AR,0,C,321999.0,1,1,321.0,1.0,32.0,321.0,3219.0
71611HVRTRDIXIE,05069,AR,0,C,321114.0,2,0,321.0,1.0,32.0,321.0,3211.0
72956LNDLK3101K,05033,AR,1,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
71921CRTBNSOUTH,05019,AR,0,C,321912.0,1,1,321.0,1.0,32.0,321.0,3219.0
72903RHMMN5600O,05131,AR,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
71833WYRHSHIGHW,05061,AR,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
72764TYSNF3801J,05143,AR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
72746SWFTCNORTH,05087,AR,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
72390HLNCHHWY49,05107,AR,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
71852MSSNP102MI,05061,AR,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
72104CMBRCGRIGS,05059,AR,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
72104CMBRCUSHIG,05059,AR,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
72403WHLRBHWY63,05031,AR,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
72830RKBRCPOBOX,05071,AR,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
72903THTRN4811S,05131,AR,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
72443MRCNR7755H,05055,AR,0,C,336510.0,1,1,336.0,1.0,33.0,336.0,3365.0
71944TYSNFHIGHW,05113,AR,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
72562NRGYN555PO,05063,AR,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
72032SNNTNHAIRS,05045,AR,0,C,316214.0,1,1,316.0,1.0,31.0,316.0,3162.0
72132NTRGY1100W,05069,AR,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
72764HKNCN1200S,05143,AR,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
72032MRCNTHWY65,05045,AR,0,C,336211.0,1,1,336.0,1.0,33.0,336.0,3362.0
72006NBCNCHWY33,05147,AR,0,C,331525.0,1,1,331.0,1.0,33.0,331.0,3315.0
72450MRCNR901JO,05055,AR,0,C,336510.0,1,1,336.0,1.0,33.0,336.0,3365.0
71602WHLNG5411I,05069,AR,0,C,332996.0,1,1,332.0,1.0,33.0,332.0,3329.0
72315TRRNT1000T,05093,AR,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
72855CLYSG615WW,05083,AR,0,C,336399.0,1,1,336.0,1.0,33.0,336.0,3363.0
72099SRFRC314CE,05119,AR,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
72701CMPBL1100W,05143,AR,0,C,311412.0,1,1,311.0,1.0,31.0,311.0,3114.0
72865CLYSGHWY22,05083,AR,0,C,336399.0,1,1,336.0,1.0,33.0,336.0,3363.0
75502CLTXC1JIMW,05091,AR,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
71852JNZPLHWY36,05061,AR,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
72753RKNSSPRAIR,05143,AR,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
72315PSCTB5460N,05093,AR,0,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
71730GRRSN181CO,05139,AR,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
71753THYLCROUTE,05027,AR,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
71753THYLCROUTE,05027,AR,0,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
72127GRNBYHWY64,05029,AR,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
72761GTSRB1800G,05007,AR,0,C,326220.0,1,1,326.0,1.0,32.0,326.0,3262.0
71611NTRNTFAIRF,05069,AR,0,C,322110.0,1,1,322.0,1.0,32.0,322.0,3221.0
71611NTRNTFAIRF,05069,AR,0,C,322130.0,2,0,322.0,1.0,32.0,322.0,3221.0
71611NTRNTFAIRF,05069,AR,0,C,322122.0,3,0,322.0,1.0,32.0,322.0,3221.0
72914PRCSN497CL,05131,AR,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
72117PRCSN315PH,05119,AR,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
71901CHMFB1923C,05051,AR,0,C,336413.0,1,1,336.0,1.0,33.0,336.0,3364.0
72143SPDQN200QU,05145,AR,1,C,335224.0,1,1,335.0,1.0,33.0,335.0,3352.0
72150STRLNOKLAH,05053,AR,0,C,332913.0,1,1,332.0,1.0,33.0,332.0,3329.0
72701MRSHL2200I,05143,AR,0,C,332212.0,1,1,332.0,1.0,33.0,332.0,3322.0
72076RSTCH1901R,05119,AR,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
72219PHLPS10701,05119,AR,0,C,333412.0,1,1,333.0,1.0,33.0,333.0,3334.0
71753HXSNL2500S,05027,AR,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
72117KPPRS2201E,05119,AR,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
71943CRTBNHWY8N,05109,AR,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
71943CRTBNHWY8N,05109,AR,0,C,321912.0,2,0,321.0,1.0,32.0,321.0,3219.0
71822NKSPPHIGHW,05081,AR,0,C,322110.0,1,1,322.0,1.0,32.0,322.0,3221.0
