TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
85009TRFFR1021N,04013,AZ,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
85009TRFFR1021N,04013,AZ,0,C,333512.0,2,0,333.0,1.0,33.0,333.0,3335.0
85244CLMNS25805,04013,AZ,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
85009SBZRF3865W,04013,AZ,0,C,335222.0,1,1,335.0,1.0,33.0,335.0,3352.0
85281SRFCM230SS,04013,AZ,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
85224PRFSS325SP,04013,AZ,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
85937STNST277SP,04017,AZ,0,C,322122.0,1,1,322.0,1.0,32.0,322.0,3221.0
85937STNST277SP,04017,AZ,0,C,322130.0,2,0,322.0,1.0,32.0,322.0,3221.0
85937STNST277SP,04017,AZ,0,C,322110.0,3,0,322.0,1.0,32.0,322.0,3221.0
85009PRXRD3918W,04013,AZ,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
85713NTRFB3050S,04019,AZ,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
85043NNDST622SO,04013,AZ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
85714NNDST4000E,04019,AZ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
85009SHMRC2228N,04013,AZ,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
86401PRXRNI40GR,04015,AZ,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
86401PRXRNI40GR,04015,AZ,0,C,325120.0,2,0,325.0,1.0,32.0,325.0,3251.0
85202TMPRS325SE,04013,AZ,0,C,334515.0,1,1,334.0,1.0,33.0,334.0,3345.0
85311FLTWD6112N,04013,AZ,1,C,321991.0,1,1,321.0,1.0,32.0,321.0,3219.0
85311FLTWD6112N,04013,AZ,1,C,,2,0,,,,,
85701TRNGL2560N,04019,AZ,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
85225RDMNH6420W,04013,AZ,0,C,321991.0,1,1,321.0,1.0,32.0,321.0,3219.0
85043MNRLF1832S,04013,AZ,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
85034HNDYH2113E,04013,AZ,0,C,331492.0,1,1,331.0,1.0,33.0,331.0,3314.0
85326SCHLT231NA,04013,AZ,0,C,321991.0,1,1,321.0,1.0,32.0,321.0,3219.0
86040NVJGN5MIOF,04005,AZ,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
85353BYSTT421S9,04013,AZ,0,C,311211.0,1,1,311.0,1.0,31.0,311.0,3112.0
85034MRLMN834EH,04013,AZ,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
85621CPPRF765NT,04023,AZ,0,C,331422.0,1,1,331.0,1.0,33.0,331.0,3314.0
85283CPTLC5857S,04013,AZ,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
85283CPTLC5857S,04013,AZ,0,C,331511.0,2,0,331.0,1.0,33.0,331.0,3315.0
85326BLKTR702N4,04013,AZ,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
85326BLKTR702N4,04013,AZ,0,C,484121.0,2,0,999.0,0.0,48.0,484.0,4841.0
85326BLKTR702N4,04013,AZ,0,C,484110.0,3,0,999.0,0.0,48.0,484.0,4841.0
85335CLYTN12345,04013,AZ,0,C,321991.0,1,1,321.0,1.0,32.0,321.0,3219.0
85281MCRCH1200S,04013,AZ,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
85226SHLND6839W,04013,AZ,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
85043DLPHN740SO,04013,AZ,0,C,331512.0,1,1,331.0,1.0,33.0,331.0,3315.0
85226HRSNC301NR,04013,AZ,0,C,332117.0,1,1,332.0,1.0,33.0,332.0,3321.0
85282SCHRB2122S,04013,AZ,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
85222CRGLL14721,04021,AZ,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
85734SDDSF1151E,04019,AZ,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
85008SCLLC5005E,04013,AZ,1,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
86434CHMCL25MIL,04025,AZ,0,C,212312.0,1,1,999.0,0.0,21.0,212.0,2123.0
85337SRFRCHWY85,04013,AZ,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
85222FRTLY1450W,04021,AZ,0,C,311919.0,1,1,311.0,1.0,31.0,311.0,3119.0
86434CHMCL25MIL,04025,AZ,0,C,327410.0,1,1,327.0,1.0,32.0,327.0,3274.0
85226STHBY6409W,04013,AZ,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
85226STHBY6409W,04013,AZ,0,C,334412.0,2,0,334.0,1.0,33.0,334.0,3344.0
85210MSFLL1111S,04013,AZ,0,C,326130.0,1,1,326.0,1.0,32.0,326.0,3261.0
85040BLMTL292EC,04013,AZ,1,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
85040BLMTL292EC,04013,AZ,1,C,488190.0,2,0,999.0,0.0,48.0,488.0,4881.0
85252MCRSM8700E,04013,AZ,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
85252MCRSM8700E,04013,AZ,0,C,332813.0,2,0,332.0,1.0,33.0,332.0,3328.0
85747HNSNP769EV,04019,AZ,0,C,327332.0,1,1,327.0,1.0,32.0,327.0,3273.0
85713TCSNT3770E,04019,AZ,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
85007CHMRS1122W,04013,AZ,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
85031MRCNN211NO,04013,AZ,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
85009WSTRN2016W,04013,AZ,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
85009MRCNT2613N,04013,AZ,0,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
85040CNTNN3502E,04013,AZ,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
85063WRGRC4220W,04013,AZ,0,C,212399.0,1,1,999.0,1.0,21.0,212.0,2123.0
85063WRGRC4220W,04013,AZ,0,C,424690.0,2,0,4246.0,1.0,42.0,424.0,4246.0
85338RZNGL15775,04013,AZ,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
85222STRCK1112A,04021,AZ,0,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
85222STRCK1112A,04021,AZ,0,C,331528.0,2,0,331.0,1.0,33.0,331.0,3315.0
86401MRCNW4475M,04015,AZ,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
85009CNYNS264N3,04013,AZ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
85220TMTCS2465W,04021,AZ,0,C,332313.0,1,1,332.0,1.0,33.0,332.0,3323.0
86047MSKTW162CP,04017,AZ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
86401MSKTK44IND,04015,AZ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
85019TRRNC4115W,04013,AZ,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
86032CHLLPOLDUS,04017,AZ,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
85303KCHSP7110W,04013,AZ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
85334MRGNC18275,04012,AZ,0,C,336212.0,1,1,336.0,1.0,33.0,336.0,3362.0
85208TRWVS11202,04013,AZ,0,C,336399.0,1,1,336.0,1.0,33.0,336.0,3363.0
85606RZNLCHWY19,04003,AZ,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
85043RCPHN5333W,04013,AZ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
85653SLVRB25000,04019,AZ,0,C,212234.0,1,1,2122.0,1.0,21.0,212.0,2122.0
86401GNRLC4900I,04015,AZ,1,C,331422.0,1,1,331.0,1.0,33.0,331.0,3314.0
85226RMCNV6760W,04013,AZ,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
85226RGNSP694WC,04013,AZ,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
85233WHTCP1285N,04013,AZ,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
85043SPRRS5736W,04013,AZ,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
85210STHWS539SD,04013,AZ,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
85938SPRNG12MIL,04001,AZ,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
85714RVNGT3950E,04019,AZ,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
85224RGRSC100ND,04013,AZ,0,C,335122.0,1,1,335.0,1.0,33.0,335.0,3351.0
85706BRSHW6100S,04019,AZ,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
85629SRCNC4201W,04019,AZ,0,C,212234.0,1,1,2122.0,1.0,21.0,212.0,2122.0
85043PNNRC306S4,04013,AZ,1,C,339920.0,1,1,339.0,1.0,33.0,339.0,3399.0
85037CMXWS11701,04013,AZ,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
85233CMXBS235EB,04013,AZ,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
85009PNRDS1300N,04013,AZ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
85231RZNPC805WC,04021,AZ,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
86324PHNXCENDOF,04025,AZ,0,C,327310.0,1,1,327.0,1.0,32.0,327.0,3273.0
85539BHPCPHWY60,04007,AZ,0,C,212234.0,1,1,2122.0,1.0,21.0,212.0,2122.0
85009PNGLS2401W,04013,AZ,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
85654RZNPR11115,04019,AZ,0,C,327310.0,1,1,327.0,1.0,32.0,327.0,3273.0
85248NTLCR4500S,04013,AZ,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
85226NTLCR5000W,04013,AZ,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
85224NRPLX165SP,04013,AZ,0,C,334419.0,1,1,334.0,1.0,33.0,334.0,3344.0
85224GLDLC2929W,04013,AZ,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
85338MSMTF3829S,04013,AZ,0,C,331314.0,1,1,331.0,1.0,33.0,331.0,3313.0
85706TCSNR931SS,04019,AZ,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
