TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
80011TNLCT245AI,08001,CO,0,C,335313.0,1,1,335.0,1.0,33.0,335.0,3353.0
81007NTRST646NS,08101,CO,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
80525DVNCD16PRS,08069,CO,0,C,334419.0,1,1,334.0,1.0,33.0,334.0,3344.0
80403HRCRS454TA,08059,CO,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
80020MCRSM800HO,08014,CO,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
80204NTDST320WE,08031,CO,0,F,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
80216WNSCR5201F,08001,CO,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
80640DLTRC9155B,08001,CO,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
80640DLTRC9155B,08001,CO,0,C,325110.0,2,0,325.0,1.0,32.0,325.0,3251.0
80642DPCND23500,08123,CO,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
80751FRRBT219RI,08075,CO,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
80216SGRNF435KE,08031,CO,0,C,322299.0,1,1,322.0,1.0,32.0,322.0,3222.0
80401TRGNN2510T,08059,CO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
80401TRGNN2510T,08059,CO,0,C,221330.0,2,0,999.0,1.0,22.0,221.0,2213.0
80549RWHDN2700E,08069,CO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
80503HLXTC6450D,08013,CO,0,C,333295.0,1,1,333.0,1.0,33.0,333.0,3332.0
81526PBLCS4MILE,08077,CO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
80216PBLCS6198F,08001,CO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
81006PBLCS2005L,08101,CO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
81639PBLCS12795,08107,CO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
80723PBLCS14940,08087,CO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
80223PBLCS2601S,08031,CO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
80216VNWTR4300H,08031,CO,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
80401CRSCR17750,08059,CO,0,C,327113.0,1,1,327.0,1.0,32.0,327.0,3271.0
80216DNVRM3100E,08031,CO,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
80239MLHGH11100,08031,CO,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
80216RDYMX4395W,08031,CO,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
80640MNRLF10121,08001,CO,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
80302PBLCS1800N,08013,CO,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
80216WRGHT4245E,08031,CO,0,C,339920.0,1,1,339.0,1.0,33.0,339.0,3399.0
80550MTLCN12011,08123,CO,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
80525GLNTT4380S,08069,CO,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
80204RBNSN241W6,08031,CO,1,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
81052RNCHM700EA,08099,CO,0,C,336212.0,1,1,336.0,1.0,33.0,336.0,3362.0
80216SHLND156W5,08001,CO,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
80110MRCNS1600W,08005,CO,0,C,332322.0,1,1,332.0,1.0,33.0,332.0,3323.0
