TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
06051MCRST206NE,09003,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06051MCRST206NE,09003,CT,0,C,332913.0,2,0,332.0,1.0,33.0,332.0,3329.0
06051MCRST206NE,09003,CT,0,C,332116.0,3,0,332.0,1.0,33.0,332.0,3321.0
06721WTRBR952SO,09009,CT,0,C,339993.0,1,1,339.0,1.0,33.0,339.0,3399.0
06484MCCRP9MOUN,09001,CT,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
06484MCCRP9MOUN,09001,CT,0,C,325613.0,2,0,325.0,1.0,32.0,325.0,3256.0
06320SCSTG15MOH,09011,CT,0,F,611310.0,1,1,999.0,0.0,61.0,611.0,6113.0
06010LBSCR7EMME,09003,CT,0,C,332721.0,1,1,332.0,1.0,33.0,332.0,3327.0
06410GSTCH1855P,09009,CT,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
06410GSTCH1855P,09009,CT,0,C,339993.0,2,0,339.0,1.0,33.0,339.0,3399.0
06479FFCNC11WMA,09003,CT,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
06023STNCH401BE,09003,CT,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
06023STNCH401BE,09003,CT,0,C,325520.0,2,0,325.0,1.0,32.0,325.0,3255.0
06517GLFLL42850,09009,CT,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
06074KFBRC1440J,09003,CT,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
06720HGHLN1240W,09009,CT,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
06098STRLN249RO,09005,CT,0,C,332117.0,1,1,332.0,1.0,33.0,332.0,3321.0
06489YMRNT24TWN,09003,CT,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
06770XMTCR7GREA,09009,CT,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
06795THSMN60ECH,09005,CT,0,C,334210.0,1,1,334.0,1.0,33.0,334.0,3342.0
06604BRDGP1ATLA,09001,CT,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
06511SRGNT100SA,09009,CT,0,C,332510.0,1,1,332.0,1.0,33.0,332.0,3325.0
06721PHNXS130FR,09009,CT,1,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
06513CMDVL166CH,09009,CT,1,C,322222.0,1,1,322.0,1.0,32.0,322.0,3222.0
06513CMDVL166CH,09009,CT,1,C,325510.0,2,0,325.0,1.0,32.0,325.0,3255.0
06513CMDVL166CH,09009,CT,1,C,313320.0,3,0,313.0,1.0,31.0,313.0,3133.0
06051WNSLW23STC,09003,CT,0,C,336412.0,1,1,336.0,1.0,33.0,336.0,3364.0
06813THBRD200PA,09001,CT,0,C,332991.0,1,1,332.0,1.0,33.0,332.0,3329.0
06076TYCPR15TYC,09013,CT,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
06513LSZCN340CH,09009,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06450SZSPHWESTF,09009,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06379WHTTK82MEC,09011,CT,0,C,335911.0,1,1,335.0,1.0,33.0,335.0,3359.0
06379WHTTK82MEC,09011,CT,0,C,335912.0,2,0,335.0,1.0,33.0,335.0,3359.0
06810TNCNS9SOUT,09001,CT,0,C,335314.0,1,1,335.0,1.0,33.0,335.0,3353.0
06098SCSCN28WIL,09005,CT,0,C,454311.0,1,1,999.0,0.0,45.0,454.0,4543.0
06098SCSCN28WIL,09005,CT,0,C,454319.0,2,0,999.0,0.0,45.0,454.0,4543.0
06098SCSCN28WIL,09005,CT,0,C,454312.0,3,0,999.0,0.0,45.0,454.0,4543.0
06483SYMRN15DAY,09009,CT,0,C,454311.0,1,1,999.0,0.0,45.0,454.0,4543.0
06776SCSCN7YUNG,09005,CT,1,C,454311.0,1,1,999.0,0.0,45.0,454.0,4543.0
06776SCSCN7YUNG,09005,CT,1,C,454319.0,2,0,999.0,0.0,45.0,454.0,4543.0
06776SCSCN7YUNG,09005,CT,1,C,454312.0,3,0,999.0,0.0,45.0,454.0,4543.0
06492CYRNDSOUTH,09009,CT,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
06254CRGLL14RT3,09011,CT,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
06854NRWLKMANRE,09001,CT,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
06607BRDGP250EA,09001,CT,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
06512NRTHS481ES,09009,CT,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
06026THRCKBRADL,09003,CT,0,C,335929.0,1,1,335.0,1.0,33.0,335.0,3359.0
06018MRCNS43CLA,09005,CT,0,C,327999.0,1,1,327.0,1.0,32.0,327.0,3279.0
06108DRFLX95GOO,09003,CT,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
06704MRCNL1358T,09009,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06010PQCNT95DOL,09003,CT,0,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
06795KLRLN856EC,09005,CT,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
06010MTLFN60WOO,09003,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06810RSCRP36OLD,09001,CT,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
06514MPHNL720SH,09009,CT,0,C,335929.0,1,1,335.0,1.0,33.0,335.0,3359.0
06040TLCNC301HA,09003,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06040TLCNC301HA,09003,CT,0,C,212319.0,2,0,999.0,0.0,21.0,212.0,2123.0
06471TLCNC1FORE,09009,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06471TLCNC1FORE,09009,CT,0,C,212319.0,2,0,999.0,0.0,21.0,212.0,2123.0
06473TLCNC377SA,09009,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06810TLCNC5PLUM,09001,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06470TLCNC9BUTO,09001,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06475TLCNC1BOST,09007,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06475TLCNC1BOST,09007,CT,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
06255TLCNC50WIL,09015,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06795PHLSN1465M,09005,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06040TLCNC569NM,09003,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06353TLCNC4753C,09011,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06353TLCNC4753C,09011,CT,0,C,212319.0,2,0,999.0,0.0,21.0,212.0,2123.0
06050TLCNC642BL,09003,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06050TLCNC642BL,09003,CT,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
06050TLCNC642BL,09003,CT,0,C,212319.0,3,0,999.0,0.0,21.0,212.0,2123.0
06480TLCNC231AI,09007,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06480TLCNC231AI,09007,CT,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
06506NWHVN1WATE,09009,CT,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
06340RWDCR839PO,09011,CT,0,C,331512.0,1,1,331.0,1.0,33.0,331.0,3315.0
06096HMLTN1HAMI,09003,CT,0,C,336413.0,1,1,336.0,1.0,33.0,336.0,3364.0
06108PRTTW400MA,09003,CT,0,C,336412.0,1,1,336.0,1.0,33.0,336.0,3364.0
06026NLSNH2CONN,09003,CT,0,C,335999.0,1,1,335.0,1.0,33.0,335.0,3359.0
06492TLCNC1605D,09007,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06492TLCNC1605D,09007,CT,0,C,212319.0,2,0,999.0,0.0,21.0,212.0,2123.0
06512GTTYT85FOR,09009,CT,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
06050PTRPL480JO,09003,CT,0,C,339999.0,1,1,339.0,1.0,33.0,339.0,3399.0
06725FBRCT172EA,09009,CT,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
06450CNBRR105PO,09009,CT,0,C,334519.0,1,1,334.0,1.0,33.0,334.0,3345.0
06082TLCNC246SH,09003,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06902PLYCS69SOU,09001,CT,0,C,326113.0,1,1,326.0,1.0,32.0,326.0,3261.0
06111DVNCD681NM,09003,CT,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
06723THWTR114PO,09009,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06723THWTR114PO,09009,CT,0,C,332812.0,2,0,332.0,1.0,33.0,332.0,3328.0
06010LCKNT575BI,09003,CT,0,C,334119.0,1,1,334.0,1.0,33.0,334.0,3341.0
06010LCKNT575BI,09003,CT,0,C,334418.0,2,0,334.0,1.0,33.0,334.0,3344.0
06032TLCNC322CO,09003,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06241FRTLYMAPLE,09015,CT,0,C,311919.0,1,1,311.0,1.0,31.0,311.0,3119.0
06241LKRDG56ALE,09015,CT,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
06787QLTYR135SO,09005,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06010NWDPR780JA,09003,CT,0,C,324122.0,1,1,324.0,1.0,32.0,324.0,3241.0
06010NWDPR780JA,09003,CT,0,C,326150.0,2,0,326.0,1.0,32.0,326.0,3261.0
06473NTDST195MC,09009,CT,0,C,339112.0,1,1,339.0,1.0,33.0,339.0,3391.0
06473NTDST195MC,09009,CT,0,C,339113.0,2,0,339.0,1.0,33.0,339.0,3391.0
06770DNHMC15EAS,09009,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06360PHLPS41WAW,09011,CT,0,C,331421.0,1,1,331.0,1.0,33.0,331.0,3314.0
06450CNNCX400RE,09009,CT,0,C,333999.0,1,1,333.0,1.0,33.0,333.0,3339.0
06611MHLNC20NUT,09001,CT,0,C,333618.0,1,1,333.0,1.0,33.0,333.0,3336.0
06050THSTN600MY,09003,CT,0,C,332212.0,1,1,332.0,1.0,33.0,332.0,3322.0
06479SPRML455AT,09003,CT,0,C,332721.0,1,1,332.0,1.0,33.0,332.0,3327.0
06277NRMPC72THM,09015,CT,0,C,322211.0,1,1,322.0,1.0,32.0,322.0,3222.0
06002KMNRSBLUEH,09003,CT,0,C,336411.0,1,1,336.0,1.0,33.0,336.0,3364.0
06002KMNRSBLUEH,09003,CT,0,C,336413.0,2,0,336.0,1.0,33.0,336.0,3364.0
06702WTRBR31131,09009,CT,0,C,332721.0,1,1,332.0,1.0,33.0,332.0,3327.0
06403GNDSTRAILR,09009,CT,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
06403GNDSTRAILR,09009,CT,0,C,327991.0,2,0,327.0,1.0,32.0,327.0,3279.0
06605GNDST2426B,09001,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06605GNDST2426B,09001,CT,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
06791GNDST255BG,09005,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06791GNDST255BG,09005,CT,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
06801SLDRC6RESE,09001,CT,1,C,326111.0,1,1,326.0,1.0,32.0,326.0,3261.0
06902GNDST72DAV,09001,CT,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
06902GNDST72DAV,09001,CT,0,C,324121.0,2,0,324.0,1.0,32.0,324.0,3241.0
06075NRTHMOLDMO,09013,CT,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
06051MTLFR555JO,09003,CT,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
06062DSNSL190CA,09003,CT,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
06488GNDST236RX,09009,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06488GNDST236RX,09009,CT,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
06110NTMGC111VA,09003,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06383FDRLPINLAN,09011,CT,0,C,322130.0,1,1,322.0,1.0,32.0,322.0,3221.0
06483LCTRC15FRA,09009,CT,1,C,325212.0,1,1,325.0,1.0,32.0,325.0,3252.0
06095STNDY92DEE,09003,CT,0,C,333618.0,1,1,333.0,1.0,33.0,333.0,3336.0
06096THDXTTWOEL,09003,CT,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
06096THDXTTWOEL,09003,CT,0,C,313230.0,2,0,313.0,1.0,31.0,313.0,3132.0
06098HWMTCPRICE,09005,CT,0,C,336412.0,1,1,336.0,1.0,33.0,336.0,3364.0
06340MRDHS443EA,09011,CT,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
06804PHRMC58VAL,09001,CT,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
06070NSGNB640HO,09003,CT,0,C,332993.0,1,1,332.0,1.0,33.0,332.0,3329.0
06340GNRLD75EAS,09011,CT,0,C,336611.0,1,1,336.0,1.0,33.0,336.0,3366.0
06516BLCCX37WAT,09009,CT,0,C,332321.0,1,1,332.0,1.0,33.0,332.0,3323.0
06708GNDST566SL,09009,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06037MHRTN225EP,09003,CT,0,C,332510.0,1,1,332.0,1.0,33.0,332.0,3325.0
06382STHMS141DE,09011,CT,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
06241NTNLPBOX41,09015,CT,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
06516NTHNN350FR,09009,CT,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
06615SCHRM175GA,09001,CT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
06340TLCNC185SR,09011,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06340TLCNC185SR,09011,CT,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
06387CMCRP51SOU,09015,CT,1,C,335929.0,1,1,335.0,1.0,33.0,335.0,3359.0
06517TLCNC155PI,09009,CT,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
06070THNSG660HO,09003,CT,0,C,325920.0,1,1,325.0,1.0,32.0,325.0,3259.0
06226BRNTC1600W,09015,CT,0,C,335929.0,1,1,335.0,1.0,33.0,335.0,3359.0
06708HBBRD563SL,09009,CT,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
06492MTKNC21TOE,09009,CT,0,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
06492MTKNC21TOE,09009,CT,0,C,332999.0,2,0,332.0,1.0,33.0,332.0,3329.0
06492MTKNC21TOE,09009,CT,0,C,332811.0,3,0,332.0,1.0,33.0,332.0,3328.0
06492MTKNC21TOE,09009,CT,0,C,332618.0,4,0,332.0,1.0,33.0,332.0,3326.0
06492MTKNC21TOE,09009,CT,0,C,331421.0,5,0,331.0,1.0,33.0,331.0,3314.0
06492MTKNC21TOE,09009,CT,0,C,331319.0,6,0,331.0,1.0,33.0,331.0,3313.0
06497RSSRB1299W,09001,CT,1,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
06497RSSRB1299W,09001,CT,1,C,326199.0,2,0,326.0,1.0,32.0,326.0,3261.0
06497RSSRB1299W,09001,CT,1,C,326113.0,3,0,326.0,1.0,32.0,326.0,3261.0
06051SKNNR95EDG,09003,CT,0,C,332912.0,1,1,332.0,1.0,33.0,332.0,3329.0
06051SKNNR95EDG,09003,CT,0,C,335999.0,2,0,335.0,1.0,33.0,335.0,3359.0
06790FLCLL539TE,09005,CT,0,C,335999.0,1,1,335.0,1.0,33.0,335.0,3359.0
06787YLTSF45OLD,09005,CT,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
06258LSCNCRTE10,09015,CT,0,C,331222.0,1,1,331.0,1.0,33.0,331.0,3312.0
