TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
20019BNNNG3400B,11001,DC,0,C,221112,1,1,2211.0,1.0,22,221,2211
20024SPRRC1601S,11001,DC,1,C,327320,1,1,327.0,1.0,32,327,3273
20011FRTTT5001F,11001,DC,0,C,327320,1,1,327.0,1.0,32,327,3273
20315SCDLC5900M,11001,DC,0,F,221310,1,1,999.0,0.0,22,221,2213
20228BRFNG14THC,11001,DC,0,F,323111,1,1,323.0,1.0,32,323,3231
20228BRFNG14THC,11001,DC,0,F,332813,2,0,,,33,332,3328
20228BRFNG14THC,11001,DC,0,F,332813,2,0,332.0,1.0,33,332,3328
20228BRFNG14THC,11001,DC,0,F,323122,3,0,323.0,1.0,32,323,3231
20228BRFNG14THC,11001,DC,0,F,323119,4,0,323.0,1.0,32,323,3231
20332BLLNG20MAC,11001,DC,0,F,928110,1,1,999.0,0.0,92,928,9281
20332BLLNG20MAC,11001,DC,0,F,921190,1,1,999.0,0.0,92,921,9211
20004SSCRTARIEL,11001,DC,0,F,922120,1,1,999.0,0.0,92,922,9221
20018CPTLP806CH,11001,DC,0,C,325910,1,1,325.0,1.0,32,325,3259
20004DCMTR25POT,11001,DC,0,C,327320,1,1,327.0,1.0,32,327,3273
20024BZZRD1STVS,11001,DC,0,C,221112,1,1,2211.0,1.0,22,221,2211
20004SGSFPSEFED,11001,DC,0,F,921190,1,1,999.0,0.0,92,921,9211
20226SDJBR650MA,11001,DC,0,F,922120,1,1,999.0,0.0,92,922,9221
20536SDHSM425IS,11001,DC,0,F,922190,1,1,999.0,0.0,92,922,9221
2001WVRGNC2155Q,11001,DC,0,C,327320,1,1,327.0,1.0,32,327,3273
20001SCMCM2500F,11001,DC,0,F,221310,1,1,999.0,0.0,22,221,2213
2022WSTRSR15PEN,11001,DC,0,F,926110,1,1,999.0,0.0,92,926,9261
2001WFRTMY1155W,11001,DC,0,C,324121,1,1,324.0,1.0,32,324,3241
2000WVRGNC2SSTR,11001,DC,0,C,327320,1,1,327.0,1.0,32,327,3273
2003WDCVLL3DCVI,11001,DC,0,C,327320,1,1,327.0,1.0,32,327,3273
2000WSPRRC1721S,11001,DC,0,C,327320,1,1,327.0,1.0,32,327,3273
