TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
33612PPSCL11315,12057,FL,0,C,312112.0,1,1,3121.0,1.0,31.0,312.0,3121.0
33802HRRLL72KRA,12105,FL,0,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
33612PPSCL11315,12057,FL,0,C,,2,0,,,,,
32808TRNSP2150B,12095,FL,0,C,336322.0,1,1,336.0,1.0,33.0,336.0,3363.0
33760DXPLT50951,12103,FL,2,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
33714MRNND45906,12103,FL,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
33873VNDLH2394V,12049,FL,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
32724SHRWD2010N,12127,FL,0,C,339112.0,1,1,339.0,1.0,33.0,339.0,3391.0
34475MCKYT601NW,12083,FL,0,C,336211.0,1,1,336.0,1.0,33.0,336.0,3362.0
33762NDVRC37031,12103,FL,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
33069MNRLF1369H,12011,FL,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
33916CHMPL2443R,12071,FL,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
32759VKNGP155VA,12127,FL,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
33065WSTNG4300C,12011,FL,0,C,335314.0,1,1,335.0,1.0,33.0,335.0,3353.0
34243BKRLC8323L,12081,FL,0,C,334310.0,1,1,334.0,1.0,33.0,334.0,3343.0
32962NVRNF2105S,12061,FL,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
32533CHMPN375MU,12033,FL,0,C,322110.0,1,1,322.0,1.0,32.0,322.0,3221.0
32533CHMPN375MU,12033,FL,0,C,322121.0,2,0,322.0,1.0,32.0,322.0,3221.0
32811CTLRH3827S,12095,FL,0,C,335313.0,1,1,335.0,1.0,33.0,335.0,3353.0
34654PLLLN7070M,12101,FL,0,C,336413.0,1,1,336.0,1.0,33.0,336.0,3364.0
33619HRCRS5132T,12057,FL,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
34666TRNST9251B,12103,FL,0,C,339115.0,1,1,339.0,1.0,33.0,339.0,3391.0
32236RCHHLWESTB,12031,FL,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
34221HMSCH7610H,12081,FL,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
33616GLDBN6110C,12057,FL,0,C,327420.0,1,1,327.0,1.0,32.0,327.0,3274.0
32333CSTLLHIGHW,12039,FL,0,C,321212.0,1,1,321.0,1.0,32.0,321.0,3212.0
32333CSTLLHIGHW,12039,FL,0,C,321114.0,2,0,321.0,1.0,32.0,321.0,3211.0
33534NWNGC12949,12057,FL,0,C,327420.0,1,1,327.0,1.0,32.0,327.0,3274.0
33830TRCLR170AV,12105,FL,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
33805CDMCN3030E,12105,FL,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
32542GLNRF501DE,12091,FL,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
32548SGNLT84HIL,12091,FL,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
33404RVRPW20030,12099,FL,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
