TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
31015SSCFR408N1,13081,GA,0,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
30161KTSSH300WH,13115,GA,0,C,333120.0,1,1,333.0,1.0,33.0,333.0,3331.0
30721WFTYL361US,13313,GA,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
30004L3CMM1355B,13117,GA,0,C,334511.0,1,1,334.0,1.0,33.0,334.0,3345.0
31092GRGPCSOUTH,13093,GA,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
30680HRRSN243EM,13013,GA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
31520KNGPR100LA,13127,GA,0,C,311712.0,1,1,311.0,1.0,31.0,311.0,3117.0
30336LCHMX5625F,13121,GA,1,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
31709HCKRYSOUTH,13261,GA,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
30001WRMDW100RI,13015,GA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
31021STLFB902AS,13175,GA,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
30137NFRCR350JO,13015,GA,0,C,325612.0,1,1,325.0,1.0,32.0,325.0,3256.0
30137NFRCR350JO,13015,GA,0,C,325611.0,2,0,325.0,1.0,32.0,325.0,3256.0
30137NFRCR350JO,13015,GA,0,C,325320.0,3,0,325.0,1.0,32.0,325.0,3253.0
30293SPRLN212DR,13199,GA,1,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
30122STHST152WE,13097,GA,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
30165GNRLS121TU,13115,GA,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
31728TRRNG2525T,13131,GA,0,C,332991.0,1,1,332.0,1.0,33.0,332.0,3329.0
31323NTRSTONEIN,13179,GA,0,C,322110.0,1,1,322.0,1.0,32.0,322.0,3221.0
31323NTRSTONEIN,13179,GA,0,C,322130.0,2,0,322.0,1.0,32.0,322.0,3221.0
31708MLLRB405CO,13095,GA,0,C,312120.0,1,1,3121.0,1.0,31.0,312.0,3121.0
30265KSNND57AML,13077,GA,0,C,332510.0,1,1,332.0,1.0,33.0,332.0,3325.0
30127HRCRS4030F,13067,GA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
30188JDSGL1175H,13057,GA,1,C,327215.0,1,1,327.0,1.0,32.0,327.0,3272.0
30188JDSGL1175H,13057,GA,1,C,337212.0,2,0,337.0,1.0,33.0,337.0,3372.0
30082PLLND1850S,13067,GA,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
31040RCKWL720IN,13175,GA,1,C,335314.0,1,1,335.0,1.0,33.0,335.0,3353.0
31730CGLFD2611U,13205,GA,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
31730QTYGR330IN,13205,GA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
30084NNCRB2043S,13089,GA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
30427DRMTCPOBOX,13267,GA,0,C,333112.0,1,1,333.0,1.0,33.0,333.0,3331.0
30903THNTR1750L,13245,GA,1,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
30253KNSFD155KI,13151,GA,0,C,311941.0,1,1,311.0,1.0,31.0,311.0,3119.0
30318PVMRK1855P,13121,GA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
31404NCLCR110FO,13051,GA,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
30753MNTVROLDUS,13055,GA,0,C,313210.0,1,1,313.0,1.0,31.0,313.0,3132.0
30753MNTVROLDUS,13055,GA,0,C,313311.0,2,0,313.0,1.0,31.0,313.0,3133.0
30577PTTRSHWY12,13257,GA,0,C,333911.0,1,1,333.0,1.0,33.0,333.0,3339.0
30577PTTRSHWY12,13257,GA,0,C,333611.0,2,0,333.0,1.0,33.0,333.0,3336.0
30577PTTRSHWY12,13257,GA,0,C,332710.0,3,0,332.0,1.0,33.0,332.0,3327.0
