TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
96915SNVYCCOMNA,66010,GU,0,F,928110,1,1,999.0,0.0,92,928,9281
96913STHPC816NM,66010,GU,0,C,424710,1,1,4247.0,1.0,42,424,4247
96915SNVYCBLDG1,66010,GU,0,F,928110,1,1,999.0,0.0,92,928,9281
96912TNGSSPARCE,66010,GU,0,C,221112,1,1,2211.0,1.0,22,221,2211
96915SNVYCBLDGA,66010,GU,0,F,928110,1,1,999.0,0.0,92,928,9281
96913HWNRC1402R,66010,GU,0,C,327310,1,1,327.0,1.0,32,327,3273
96913HWNRC1402R,66010,GU,0,C,327320,1,1,327.0,1.0,32,327,3273
96915GMPWR322CA,66010,GU,0,C,221112,1,1,2211.0,1.0,22,221,2211
96543SRFRC36CES,66010,GU,0,F,928110,1,1,999.0,0.0,92,928,9281
96543SRFRC36CES,66010,GU,0,F,115310,1,1,999.0,0.0,11,115,1153
96543SRFRC36CES,66010,GU,0,F,488119,1,1,999.0,0.0,48,488,4881
96543SRFRC36CES,66010,GU,0,F,928110,2,0,999.0,0.0,92,928,9281
96543SRFRC36CES,66010,GU,0,F,493190,3,0,999.0,0.0,49,493,4931
9691WNVYWTMAGAZ,66010,GU,0,F,928110,1,1,999.0,0.0,92,928,9281
96915PHLDNCABRA,66010,GU,0,C,424710,1,1,4247.0,1.0,42,424,4247
96915SNVYPCODE9,66010,GU,0,F,928110,1,1,999.0,0.0,92,928,9281
96915SNVYPCODE9,66010,GU,0,F,221320,2,0,999.0,0.0,22,221,2213
96915SNVYPCODE9,66010,GU,0,F,336611,1,1,336.0,1.0,33,336,3366
96928SHLLGTENJO,66010,GU,0,C,424710,1,1,4247.0,1.0,42,424,4247
96925MBLLC1189C,66010,GU,0,C,424710,1,1,4247.0,1.0,42,424,4247
9692WNPPCR29CHA,66010,GU,0,C,324121,1,1,324.0,1.0,32,324,3241
9691WFRMST49NRT,66010,GU,0,C,311511,1,1,311.0,1.0,31,311,3115
9691WTNJVSLT19T,66010,GU,0,C,221112,1,1,2211.0,1.0,22,221,2211
9692WDDDCM11221,66010,GU,0,C,221122,1,1,2211.0,1.0,22,221,2211
