TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
96732KHLGN200HO,15009,HI,0,C,221112,1,1,2211.0,1.0,22,221,2211
96732KHLGN200HO,15009,HI,0,C,221121,2,0,2211.0,1.0,22,221,2211
96732KHLGN200HO,15009,HI,0,C,221121,2,0,,,22,221,2211
96792SRMYMFARRI,15003,HI,0,F,928110,1,1,999.0,0.0,92,928,9281
96782WGNRT475KA,15003,HI,0,C,221112,1,1,2211.0,1.0,22,221,2211
96782WGNRT475KA,15003,HI,0,C,221121,2,0,2211.0,1.0,22,221,2211
96782WGNRT475KA,15003,HI,0,C,221121,2,0,,,22,221,2211
96792KHGNR89900,15003,HI,0,C,221112,1,1,2211.0,1.0,22,221,2211
96792KHGNR89900,15003,HI,0,C,221121,2,0,2211.0,1.0,22,221,2211
96792KHGNR89900,15003,HI,0,C,221121,2,0,,,22,221,2211
96783HLCSTMILLV,15001,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96777KGRBSPOBOX,15001,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96777KGRBSPOBOX,15001,HI,0,C,111930,1,1,999.0,0.0,11,111,1119
96793BRWRN275EW,15009,HI,0,C,424690,1,1,4246.0,1.0,42,424,4246
96793BRWRN275EW,15009,HI,0,C,325314,2,0,325.0,1.0,32,325,3253
96782LHSHY96120,15003,HI,0,C,311941,1,1,311.0,1.0,31,311,3119
96782LHSHY96120,15003,HI,0,C,311421,1,1,311.0,1.0,31,311,3114
96732HWWDP356HA,15009,HI,0,C,321114,1,1,321.0,1.0,32,321,3211
96784HWNCMHANSE,15009,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96779HWNCM497BA,15009,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96776HMKSGPOBOX,15001,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96791WLSGRKEALO,15003,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96766THLHP2970K,15007,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96747LKLSGKAUMA,15007,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96732BRWRC2910B,15009,HI,0,C,325314,1,1,325.0,1.0,32,325,3253
96817BRWRC311PA,15003,HI,0,C,424690,1,1,4246.0,1.0,42,424,4246
96817BRWRC311PA,15003,HI,0,C,325314,2,0,325.0,1.0,32,325,3253
96817BRWRC311PA,15003,HI,0,C,325314,1,1,325.0,1.0,32,325,3253
96817BRWRC311PA,15003,HI,0,C,327112,1,1,327.0,1.0,32,327,3271
96720HLTRM666KA,15001,HI,0,C,424710,1,1,4247.0,1.0,42,424,4247
96720HLWDT66KUK,15001,HI,0,C,321114,1,1,321.0,1.0,32,321,3211
96720HWPLN150KE,15001,HI,0,C,321114,1,1,321.0,1.0,32,321,3211
96720HLLGN54HAL,15001,HI,0,C,221112,1,1,2211.0,1.0,22,221,2211
96720HLLGN54HAL,15001,HI,0,C,221121,2,0,2211.0,1.0,22,221,2211
96720HLLGN54HAL,15001,HI,0,C,221121,2,0,,,22,221,2211
96749PNGNRPUNAM,15001,HI,0,C,221112,1,1,2211.0,1.0,22,221,2211
96749PNGNRPUNAM,15001,HI,0,C,221121,2,0,,,22,221,2211
96749PNGNRPUNAM,15001,HI,0,C,221121,2,0,2211.0,1.0,22,221,2211
96752KKHSG8315K,15007,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96752KKHSG8315K,15007,HI,0,C,326291,1,1,326.0,1.0,32,326,3262
96766BRWRCKAUMU,15007,HI,0,C,325314,1,1,325.0,1.0,32,325,3253
96720SHPMN20BAY,15001,HI,0,C,221112,1,1,2211.0,1.0,22,221,2211
96720SHPMN20BAY,15001,HI,0,C,221121,2,0,2211.0,1.0,22,221,2211
96721BRWRC60KUH,15001,HI,0,C,325314,1,1,325.0,1.0,32,325,3253
96721BRWRC60KUH,15001,HI,0,C,424690,1,1,4246.0,1.0,42,424,4246
96817TSCDS411PA,15003,HI,0,C,424710,1,1,4247.0,1.0,42,424,4247
96817LPCCR815WA,15003,HI,0,C,312111,1,1,3121.0,1.0,31,312,3121
96817HNLLT933NN,15003,HI,0,C,424710,1,1,4247.0,1.0,42,424,4247
96707HWNCM91055,15003,HI,0,C,327310,1,1,327.0,1.0,32,327,3273
96863SMRNCMAGAZ,15003,HI,0,F,928110,1,1,999.0,0.0,92,928,9281
96707RLMJR91104,15003,HI,0,C,332812,1,1,332.0,1.0,33,332,3328
96707SHWNC91086,15003,HI,0,C,221112,1,1,2211.0,1.0,22,221,2211
96817HNLLM777NN,15003,HI,0,C,424710,1,1,4247.0,1.0,42,424,4247
96817DLPCK650IW,15003,HI,0,C,311421,1,1,311.0,1.0,31,311,3114
96707KLLCG91111,15003,HI,0,C,221112,1,1,2211.0,1.0,22,221,2211
96707BRWRN91291,15003,HI,0,C,325188,1,1,325.0,1.0,32,325,3251
96707BRWRN91291,15003,HI,0,C,325320,1,1,325.0,1.0,32,325,3253
96707BRWRN91291,15003,HI,0,C,325314,2,0,325.0,1.0,32,325,3253
96707BRWRN91291,15003,HI,0,C,325311,3,0,325.0,1.0,32,325,3253
96707BRWRN91291,15003,HI,0,C,325312,4,0,325.0,1.0,32,325,3253
96705MCBRYNUMIL,15007,HI,0,C,311311,1,1,311.0,1.0,31,311,3113
96707CHVRN91480,15003,HI,0,C,324110,1,1,324.0,1.0,32,324,3241
96707CHVRN91480,15003,HI,0,C,325188,2,0,325.0,1.0,32,325,3251
96707CHVRN91480,15003,HI,0,C,325180,2,0,,,32,325,3251
96707CHVRN91480,15003,HI,0,C,325180,2,0,325.0,1.0,32,325,3251
