TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
50703BRTCH1205P,19013,IA,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
50501LQDCROLDHW,19187,IA,0,C,325120.0,1,1,325.0,1.0,32.0,325.0,3251.0
52722SVYRS225S3,19163,IA,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
52240SHLLR2500H,19103,IA,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
50801MRCNC56EMN,19175,IA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
50316MRCNC1626E,19153,IA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
50501MRCNC26QUA,19187,IA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
50022MRCNC61W2N,19029,IA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
50669DLTND117EK,19075,IA,0,C,339920.0,1,1,339.0,1.0,33.0,339.0,3399.0
52627SLGNCJEFFE,19111,IA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
51248SSCTD101W1,19141,IA,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
52632SCHLG3200M,19111,IA,0,C,326299.0,1,1,326.0,1.0,32.0,326.0,3262.0
52240JMSRV2000I,19103,IA,0,C,323112.0,1,1,323.0,1.0,32.0,323.0,3231.0
50501SLGNC3591M,19187,IA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
52761HCKTT1770Z,19139,IA,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
52310CMMND22223,19105,IA,0,C,332311.0,1,1,332.0,1.0,33.0,332.0,3323.0
50220BPNCXRR2XX,19049,IA,0,C,311611.0,1,1,311.0,1.0,31.0,311.0,3116.0
50220BPNCXRR2XX,19049,IA,0,C,311613.0,2,0,311.0,1.0,31.0,311.0,3116.0
50401CRRSC2519T,19033,IA,0,C,332321.0,1,1,332.0,1.0,33.0,332.0,3323.0
50021CRGLL61SEC,19153,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
50648BRTCH12301,19019,IA,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
50702BRTCH4747C,19013,IA,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
50009KNTFD2031S,19153,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
51106KNTFD4001S,19193,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
50703KNTFD2233W,19013,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
52655BGRVR15211,19057,IA,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
52358CRGLL610NF,19031,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
50401CRRSC16001,19033,IA,0,C,332321.0,1,1,332.0,1.0,33.0,332.0,3323.0
50401WDHRB32779,19033,IA,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
52404JDMSN10256,19113,IA,0,C,332322.0,1,1,332.0,1.0,33.0,332.0,3323.0
52404JDMSN10256,19113,IA,0,C,332710.0,2,0,332.0,1.0,33.0,332.0,3327.0
50438STLLR28WTH,19081,IA,0,C,336211.0,1,1,336.0,1.0,33.0,336.0,3362.0
52402LCTRC911SH,19113,IA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
50514GKNRM24207,19063,IA,0,C,333924.0,1,1,333.0,1.0,33.0,333.0,3339.0
50010MNNST900DA,19169,IA,0,C,327910.0,1,1,327.0,1.0,32.0,327.0,3279.0
52732LLNTN2001B,19045,IA,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
50514RMSTRHWY9B,19063,IA,0,C,333924.0,1,1,333.0,1.0,33.0,333.0,3339.0
50801FNSTLUSROU,19175,IA,0,C,331524.0,1,1,331.0,1.0,33.0,331.0,3315.0
51566PRKRHHWY48,19137,IA,0,C,326220.0,1,1,326.0,1.0,32.0,326.0,3262.0
50670NVRFRCOUNT,19023,IA,0,C,333111.0,1,1,333.0,1.0,33.0,333.0,3331.0
52240XRXSC515WE,19031,IA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
50574BRNDF21215,19151,IA,0,C,336211.0,1,1,336.0,1.0,33.0,336.0,3362.0
52404MDLND10150,19113,IA,0,C,332111.0,1,1,332.0,1.0,33.0,332.0,3321.0
50003NTDBR1831W,19049,IA,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
51054BLLBR504FS,19193,IA,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
50138MNNST3406E,19125,IA,0,C,322222.0,1,1,322.0,1.0,32.0,322.0,3222.0
51301WSDMG33651,19041,IA,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
50511MRPHY21209,19109,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
50659SPRSWNORTH,19037,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
50111RYKMN11600,19153,IA,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
52162NRPLXNECOU,19005,IA,0,C,326130.0,1,1,326.0,1.0,32.0,326.0,3261.0
51566DGLSL2700N,19137,IA,0,C,336360.0,1,1,336.0,1.0,33.0,336.0,3363.0
51566DGLSL2700N,19137,IA,0,C,336370.0,2,0,336.0,1.0,33.0,336.0,3363.0
50588BPNCXFLIND,19021,IA,0,C,311611.0,1,1,311.0,1.0,31.0,311.0,3116.0
50588BPNCXFLIND,19021,IA,0,C,311613.0,2,0,311.0,1.0,31.0,311.0,3116.0
50588BPNCXFLIND,19021,IA,0,C,311612.0,3,0,311.0,1.0,31.0,311.0,3116.0
52577CLWVLOLDHW,19123,IA,0,C,331511.0,1,1,331.0,1.0,33.0,331.0,3315.0
51201LNDLK100WE,19141,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
51106PRNML4600S,19193,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
50313MLSLV1979N,19153,IA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
51442BPNCXRURAL,19047,IA,0,C,311611.0,1,1,311.0,1.0,31.0,311.0,3116.0
51442BPNCXRURAL,19047,IA,0,C,311613.0,2,0,311.0,1.0,31.0,311.0,3116.0
50129WCLND601EC,19073,IA,0,C,335224.0,1,1,335.0,1.0,33.0,335.0,3352.0
52761FRSTT3800H,19139,IA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
52804DVNPRHWY22,19163,IA,0,C,327310.0,1,1,327.0,1.0,32.0,327.0,3273.0
51101NTRFL514SO,19193,IA,0,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
51101NTRFL514SO,19193,IA,0,C,311119.0,2,0,311.0,1.0,31.0,311.0,3111.0
50158FSHRCGOVER,19127,IA,0,C,332911.0,1,1,332.0,1.0,33.0,332.0,3329.0
50674RCKWL1021W,19017,IA,1,C,335314.0,1,1,335.0,1.0,33.0,335.0,3353.0
52732STHNS1347B,19045,IA,0,C,311999.0,1,1,311.0,1.0,31.0,311.0,3119.0
51503BNGCR19560,19155,IA,0,C,311222.0,1,1,311.0,1.0,31.0,311.0,3112.0
52339BTMNS3380L,19171,IA,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
52101DRLLT13011,19191,IA,0,C,332722.0,1,1,332.0,1.0,33.0,332.0,3327.0
50130PTBRF26132,19079,IA,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
50112JLDWN82IND,19157,IA,0,C,321911.0,1,1,321.0,1.0,32.0,321.0,3219.0
52601WNDSTKIRKW,19057,IA,0,C,336322.0,1,1,336.0,1.0,33.0,336.0,3363.0
50548DDGNNHWY16,19091,IA,0,C,336112.0,1,1,336.0,1.0,33.0,336.0,3361.0
50548DDGNNHWY16,19091,IA,0,C,326199.0,2,0,326.0,1.0,32.0,326.0,3261.0
52302CDRMN46018,19113,IA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
50401MNNST17001,19033,IA,0,C,326299.0,1,1,326.0,1.0,32.0,326.0,3262.0
50401MNNST17001,19033,IA,0,C,326291.0,2,0,326.0,1.0,32.0,326.0,3262.0
52151LNSNG2320P,19005,IA,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
51502BRTNS21359,19155,IA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
52761LSGNR86021,19115,IA,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
52722RVRSD6001S,19163,IA,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
52806SFTYK3035W,19163,IA,0,C,562112.0,1,1,562.0,1.0,56.0,562.0,5621.0
52806SFTYK3035W,19163,IA,0,C,484230.0,2,0,999.0,0.0,48.0,484.0,4842.0
52806SFTYK3035W,19163,IA,0,C,484220.0,3,0,999.0,0.0,48.0,484.0,4842.0
50313SFTYK4704N,19153,IA,0,C,562112.0,1,1,562.0,1.0,56.0,562.0,5621.0
50313SFTYK4704N,19153,IA,0,C,484230.0,2,0,999.0,0.0,48.0,484.0,4842.0
50313SFTYK4704N,19153,IA,0,C,484220.0,3,0,999.0,0.0,48.0,484.0,4842.0
52761GRNPR1600O,19139,IA,0,C,311221.0,1,1,311.0,1.0,31.0,311.0,3112.0
52761GRNPR1600O,19139,IA,0,C,312140.0,2,0,3121.0,1.0,31.0,312.0,3121.0
52761GRNPR1600O,19139,IA,0,C,311999.0,3,0,311.0,1.0,31.0,311.0,3119.0
52761GRNPR1600O,19139,IA,0,C,311119.0,4,0,311.0,1.0,31.0,311.0,3111.0
51234FRMRS602MA,19167,IA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
51234FRMRS602MA,19167,IA,0,C,424590.0,2,0,999.0,0.0,42.0,424.0,4245.0
