TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
83221BLCKF591W1,16011,ID,0,C,331528.0,1,1,331.0,1.0,33.0,331.0,3315.0
83352RCKYM601NI,16063,ID,0,C,332510.0,1,1,332.0,1.0,33.0,332.0,3325.0
83333RCKYM1030A,16013,ID,0,C,332510.0,1,1,332.0,1.0,33.0,332.0,3325.0
83501CLMNL335MI,16069,ID,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
83705MRRSN4600A,16001,ID,0,C,336510.0,1,1,336.0,1.0,33.0,336.0,3365.0
83402MRCNF2517W,16019,ID,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
83647CCMNT15E1T,16039,ID,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
83617CCMMT1333W,16045,ID,0,C,212319.0,1,1,999.0,0.0,21.0,212.0,2123.0
83617CCMMT1333W,16045,ID,0,C,327320.0,2,0,327.0,1.0,32.0,327.0,3273.0
83705FBRGL4545E,16001,ID,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
83301LNDLK2407W,16083,ID,1,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
83330LNDLK1711S,16047,ID,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
83642LPWDP420WF,16001,ID,0,C,321999.0,1,1,321.0,1.0,32.0,321.0,3219.0
83201MRCNM2300B,16005,ID,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
83706MCRNT2805E,16001,ID,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
83501PTLTC805MI,16069,ID,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
83501PTLTC805MI,16069,ID,0,C,321912.0,2,0,321.0,1.0,32.0,321.0,3219.0
83330VNMRW1728S,16047,ID,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
83330VNMRW1728S,16047,ID,0,C,311514.0,2,0,311.0,1.0,31.0,311.0,3115.0
83276MNSNTHIGHW,16029,ID,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
83705KCHMT4303G,16001,ID,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
83861STMRSMILLR,16009,ID,0,C,321212.0,1,1,321.0,1.0,32.0,321.0,3212.0
83861STMRSMILLR,16009,ID,0,C,321912.0,2,0,321.0,1.0,32.0,321.0,3219.0
83861STMRSMILLR,16009,ID,0,C,321113.0,3,0,321.0,1.0,32.0,321.0,3211.0
83873SLVRVLAKEG,16079,ID,0,C,212222.0,1,1,2122.0,1.0,21.0,212.0,2122.0
83873SLVRVLAKEG,16079,ID,0,C,212234.0,2,0,2122.0,1.0,21.0,212.0,2122.0
83873SLVRVLAKEG,16079,ID,0,C,212231.0,3,0,2122.0,1.0,21.0,212.0,2122.0
83338STNDR383E3,16053,ID,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
83301NVRSL856RU,16083,ID,0,C,311411.0,1,1,311.0,1.0,31.0,311.0,3114.0
83815DVNCD600WW,16055,ID,0,C,334119.0,1,1,334.0,1.0,33.0,334.0,3341.0
83201JRSMPDONSI,16077,ID,0,C,325312.0,1,1,325.0,1.0,32.0,325.0,3253.0
83854DHSPH16425,16055,ID,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
83854MRMNF5676E,16055,ID,0,C,334111.0,1,1,334.0,1.0,33.0,334.0,3341.0
83221DHSPH75N55,16011,ID,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
83846LCKYFI90EX,16079,ID,0,C,212222.0,1,1,2122.0,1.0,21.0,212.0,2122.0
83846LCKYFI90EX,16079,ID,0,C,212231.0,2,0,2122.0,1.0,21.0,212.0,2122.0
83318RDFDSHIGHW,16031,ID,0,C,424420.0,1,1,999.0,0.0,42.0,424.0,4244.0
83501MRKND1023S,16069,ID,0,C,332992.0,1,1,332.0,1.0,33.0,332.0,3329.0
83501MRKND2299S,16069,ID,0,C,332992.0,1,1,332.0,1.0,33.0,332.0,3329.0
83501BLNTN150SO,16069,ID,0,C,332992.0,1,1,332.0,1.0,33.0,332.0,3329.0
83276NWSTN3010C,16029,ID,0,C,325312.0,1,1,325.0,1.0,32.0,325.0,3253.0
83221BSCMR419CO,16011,ID,0,C,311423.0,1,1,311.0,1.0,31.0,311.0,3114.0
83274THPLL434SO,16011,ID,0,C,311423.0,1,1,311.0,1.0,31.0,311.0,3114.0
83605WSTRN200NK,16027,ID,0,C,336214.0,1,1,336.0,1.0,33.0,336.0,3362.0
83605GLPRC259SI,16027,ID,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
83704DRGLD618AL,16001,ID,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
83606DRYMN520AL,16027,ID,0,C,311514.0,1,1,311.0,1.0,31.0,311.0,3115.0
83338DRGLD1703S,16053,ID,0,C,311514.0,1,1,311.0,1.0,31.0,311.0,3115.0
