TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
60449BMBMFUSRTE,17197,IL,0,C,333995.0,1,1,333.0,1.0,33.0,333.0,3339.0
60938NCBRS540EU,17075,IL,0,C,311222.0,1,1,311.0,1.0,31.0,311.0,3112.0
60106CRCMN55WMA,17043,IL,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
62959SNLGH19RED,17199,IL,0,C,336399.0,1,1,336.0,1.0,33.0,336.0,3363.0
61048DKNSN4350W,17177,IL,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
61048DKNSN4350W,17177,IL,0,C,311119.0,2,0,311.0,1.0,31.0,311.0,3111.0
60658GRFFT12200,17031,IL,0,C,311999.0,1,1,311.0,1.0,31.0,311.0,3119.0
60658GRFFT12200,17031,IL,0,C,311822.0,2,0,311.0,1.0,31.0,311.0,3118.0
60410CLMNC23247,17197,IL,0,C,425120.0,1,1,999.0,1.0,42.0,425.0,4251.0
61327XLNCXRRIBO,17155,IL,0,C,327910.0,1,1,327.0,1.0,32.0,327.0,3279.0
60090RXSLD634GL,17031,IL,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
60104BRGWR700SO,17031,IL,0,C,336350.0,1,1,336.0,1.0,33.0,336.0,3363.0
62234MWPRN526VA,17119,IL,0,C,323110.0,1,1,323.0,1.0,32.0,323.0,3231.0
62234MWPRN526VA,17119,IL,0,C,323114.0,2,0,323.0,1.0,32.0,323.0,3231.0
60915CRWNC1035E,17091,IL,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
60534PLRNC7847W,17031,IL,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
60638GMTHS6100S,17031,IL,0,C,332322.0,1,1,332.0,1.0,33.0,332.0,3323.0
61244TLSNR3110M,17161,IL,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
61008YNGBR6863I,17007,IL,0,C,332313.0,1,1,332.0,1.0,33.0,332.0,3323.0
60622CRBTP927WB,17031,IL,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
60473GBRLT114E1,17031,IL,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
60658VNLRC4300W,17031,IL,0,C,332439.0,1,1,332.0,1.0,33.0,332.0,3324.0
60131STBCC11601,17031,IL,1,C,312229.0,1,1,3122.0,1.0,31.0,312.0,3122.0
60131STBCC11601,17031,IL,1,C,332116.0,2,0,332.0,1.0,33.0,332.0,3321.0
60131STBCC11601,17031,IL,1,C,322214.0,3,0,322.0,1.0,32.0,322.0,3222.0
61764NTHNY1037W,17105,IL,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
60056SNPRC1660K,17031,IL,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
60123DNTSP1212A,17089,IL,1,C,339114.0,1,1,339.0,1.0,33.0,339.0,3391.0
61704MCKYTRR1XX,17113,IL,0,C,336211.0,1,1,336.0,1.0,33.0,336.0,3362.0
60419CLMTB14610,17031,IL,0,C,331524.0,1,1,331.0,1.0,33.0,331.0,3315.0
60608MDWST1414S,17031,IL,0,C,337127.0,1,1,337.0,1.0,33.0,337.0,3371.0
61204SRVSF11362,17161,IL,0,C,316211.0,1,1,316.0,1.0,31.0,316.0,3162.0
60410XXNMD24420,17197,IL,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
