TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
47804BMSCM1350N,18167,IN,0,C,322221.0,1,1,322.0,1.0,32.0,322.0,3222.0
47804BMSCM1350N,18167,IN,0,C,326111.0,2,0,326.0,1.0,32.0,326.0,3261.0
46680NWNRG3201W,18141,IN,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
47903SSXGR3400U,18157,IN,0,C,331422.0,1,1,331.0,1.0,33.0,331.0,3314.0
46710HSRWRPROGR,18113,IN,0,C,331422.0,1,1,331.0,1.0,33.0,331.0,3314.0
46506CPPRF515CP,18099,IN,0,C,331422.0,1,1,331.0,1.0,33.0,331.0,3314.0
46947LCNDSUS29B,18017,IN,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
46947LCNDSUS29B,18017,IN,0,C,332813.0,2,0,332.0,1.0,33.0,332.0,3328.0
46947LCNDSUS29B,18017,IN,0,C,332812.0,3,0,332.0,1.0,33.0,332.0,3328.0
46947LCNDSUS29B,18017,IN,0,C,332811.0,4,0,332.0,1.0,33.0,332.0,3328.0
46224NNCRB1500P,18097,IN,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
46506CPPRF1115W,18099,IN,0,C,331422.0,1,1,331.0,1.0,33.0,331.0,3314.0
47591SSXGRESSEX,18083,IN,0,C,331421.0,1,1,331.0,1.0,33.0,331.0,3314.0
46563GLCRF904MA,18099,IN,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
46506TPRDC747DO,18099,IN,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
46176TBNTL1004W,18145,IN,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
47346CNSLD4359S,18177,IN,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
46706BLLBR520HA,18033,IN,0,C,331528.0,1,1,331.0,1.0,33.0,331.0,3315.0
46368NDNPC6600U,18127,IN,0,C,423510.0,1,1,999.0,0.0,42.0,423.0,4235.0
47711RVNNC1175D,18163,IN,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
47711RVNNC1175D,18163,IN,0,C,339999.0,2,0,339.0,1.0,33.0,339.0,3399.0
47711RVNNC1175D,18163,IN,0,C,336399.0,3,0,336.0,1.0,33.0,336.0,3363.0
46016GNRLM2915P,18095,IN,0,C,336321.0,1,1,336.0,1.0,33.0,336.0,3363.0
47229CRRWR1002I,18071,IN,0,C,331422.0,1,1,331.0,1.0,33.0,331.0,3314.0
47421NDNST957JS,18093,IN,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
47421NDNST957JS,18093,IN,0,C,332999.0,2,0,332.0,1.0,33.0,332.0,3329.0
47620BRRTT2700B,18129,IN,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
