TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
67205CRLSN4601N,20173,KS,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
67449HDGDN1347S,20127,KS,0,C,325920.0,1,1,325.0,1.0,32.0,325.0,3259.0
67213BGPRD701SW,20173,KS,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
66002NRTHW8154I,20005,KS,0,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
67530GRTBNRT1BO,20009,KS,0,C,333995.0,1,1,333.0,1.0,33.0,333.0,3339.0
67209SHRPL1520S,20173,KS,0,C,323113.0,1,1,323.0,1.0,32.0,323.0,3231.0
67801RFFNN500ET,20057,KS,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
66061DMRKD100SP,20091,KS,0,C,311999.0,1,1,311.0,1.0,31.0,311.0,3119.0
66115LCTTC3255H,20209,KS,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
67213MRBLP2080S,20173,KS,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
67846FRRBT3680W,20055,KS,1,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
67575KBKNDEASTH,20165,KS,0,C,326122.0,1,1,326.0,1.0,32.0,326.0,3261.0
67460CRGLL1STBA,20113,KS,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
66110PBGRD300S3,20209,KS,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
67665SNRGY1224E,20167,KS,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
66106HRCRS5200S,20209,KS,0,C,325613.0,1,1,325.0,1.0,32.0,325.0,3256.0
66106HRCRS5200S,20209,KS,0,C,424690.0,2,0,4246.0,1.0,42.0,424.0,4246.0
67301TMTVC1300W,20125,KS,0,C,336322.0,1,1,336.0,1.0,33.0,336.0,3363.0
66105STNLY511OS,20209,KS,0,C,339112.0,1,1,339.0,1.0,33.0,339.0,3391.0
67209SPRTC1444S,20173,KS,0,C,326113.0,1,1,326.0,1.0,32.0,326.0,3261.0
67504CSSNFEAST4,20155,KS,0,C,333996.0,1,1,333.0,1.0,33.0,333.0,3339.0
66736LFRGCSOUTH,20205,KS,0,C,327310.0,1,1,327.0,1.0,32.0,327.0,3273.0
66736LFRGCSOUTH,20205,KS,0,C,562211.0,2,0,562.0,1.0,56.0,562.0,5622.0
66609FRTLY4236K,20177,KS,0,C,311919.0,1,1,311.0,1.0,31.0,311.0,3119.0
66061MRBLC1401W,20091,KS,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
67439CSHCNHWY14,20053,KS,0,C,332911.0,1,1,332.0,1.0,33.0,332.0,3329.0
66040LCYGNRR1BO,20107,KS,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
66105PQCRP17THS,20209,KS,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
66106SHLND5420S,20209,KS,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
67002NTRNT215E1,20015,KS,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
67002NTRNT215E1,20015,KS,0,C,339999.0,2,0,339.0,1.0,33.0,339.0,3399.0
67401TNYSP3019S,20169,KS,0,C,311412.0,1,1,311.0,1.0,31.0,311.0,3114.0
67530THFLLWESTP,20009,KS,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
67530THFLLWESTP,20009,KS,0,C,339994.0,2,0,339.0,1.0,33.0,339.0,3399.0
67530THFLLWESTP,20009,KS,0,C,325612.0,3,0,325.0,1.0,32.0,325.0,3256.0
67401CRSTW601EA,20169,KS,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
67530GRTBNSOUTH,20009,KS,0,C,311612.0,1,1,311.0,1.0,31.0,311.0,3116.0
67579JCMCH425S1,20159,KS,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
67880CLMBNRRROU,20067,KS,0,C,325182.0,1,1,325.0,1.0,32.0,325.0,3251.0
67062NRTHM3NMAI,20079,KS,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
66801BPNCX2101W,20111,KS,0,C,311611.0,1,1,311.0,1.0,31.0,311.0,3116.0
66801BPNCX2101W,20111,KS,0,C,311613.0,2,0,311.0,1.0,31.0,311.0,3116.0
66720PCBRD210WM,20133,KS,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
67301CSSNR1CESS,20125,KS,0,C,336411.0,1,1,336.0,1.0,33.0,336.0,3364.0
67062XCLND200SO,20079,KS,0,C,333112.0,1,1,333.0,1.0,33.0,333.0,3331.0
66547BLDRS600BA,20149,KS,0,C,333120.0,1,1,333.0,1.0,33.0,333.0,3331.0
66547BLDRS600BA,20149,KS,0,C,333111.0,2,0,333.0,1.0,33.0,333.0,3331.0
66032STRCP410NC,20003,KS,0,C,336214.0,1,1,336.0,1.0,33.0,336.0,3362.0
66061DYMNN805EA,20091,KS,0,C,325612.0,1,1,325.0,1.0,32.0,325.0,3256.0
66061DYMNN805EA,20091,KS,0,C,325998.0,2,0,325.0,1.0,32.0,325.0,3259.0
66061DYMNN805EA,20091,KS,0,C,325620.0,3,0,325.0,1.0,32.0,325.0,3256.0
66061DYMNN805EA,20091,KS,0,C,325510.0,4,0,325.0,1.0,32.0,325.0,3255.0
66061DYMNN805EA,20091,KS,0,C,325320.0,5,0,325.0,1.0,32.0,325.0,3253.0
67277CSSNRK42AN,20173,KS,0,C,336411.0,1,1,336.0,1.0,33.0,336.0,3364.0
66725BTTRBWK96X,20021,KS,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
66757PRSTG1101I,20205,KS,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
66024FRMNT15THA,20043,KS,0,C,325412.0,1,1,325.0,1.0,32.0,325.0,3254.0
67218CSSNR5800E,20173,KS,0,C,336411.0,1,1,336.0,1.0,33.0,336.0,3364.0
66548TTNTR2306H,20117,KS,0,C,336212.0,1,1,336.0,1.0,33.0,336.0,3362.0
67544SSXGRRR1XX,20009,KS,0,C,331422.0,1,1,331.0,1.0,33.0,331.0,3314.0
66411GRGPC2127H,20117,KS,0,C,327420.0,1,1,327.0,1.0,32.0,327.0,3274.0
67215CSTMC3738N,20173,KS,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
66061WRGRC701SK,20091,KS,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
67357DYTNS1900W,20099,KS,0,C,331222.0,1,1,331.0,1.0,33.0,331.0,3312.0
67357DYTNS1900W,20099,KS,0,C,332312.0,2,0,332.0,1.0,33.0,332.0,3323.0
67801FRMLNEASTH,20057,KS,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
67861LNDLK42NWY,20203,KS,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
