TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
42029PNNWLALTON,21157,KY,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
42029PNNWLALTON,21157,KY,0,C,325211.0,2,0,325.0,1.0,32.0,325.0,3252.0
42029PNNWLALTON,21157,KY,0,C,325120.0,3,0,325.0,1.0,32.0,325.0,3251.0
40299RSSTC11208,21111,KY,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
42420SNCPR3100O,21101,KY,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
40422HBRTC58COR,21021,KY,0,C,333319.0,1,1,333.0,1.0,33.0,333.0,3333.0
42352LVRMR101KE,21149,KY,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
42320CRMWL5025H,21183,KY,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
40258NTRPL7501D,21111,KY,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
40701GNRLS212SO,21111,KY,1,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
41042HCHST8040D,21015,KY,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
42101STDYC5557N,21227,KY,0,C,332618.0,1,1,332.0,1.0,33.0,332.0,3326.0
40211JLLCC829SO,21111,KY,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
41071NWPRTLICKI,21037,KY,0,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
41094CRBLLONECA,21015,KY,0,C,336413.0,1,1,336.0,1.0,33.0,336.0,3364.0
40033TGKYL633EM,21155,KY,0,C,336399.0,1,1,336.0,1.0,33.0,336.0,3363.0
42141RMNCX20ABE,21009,KY,0,C,336340.0,1,1,336.0,1.0,33.0,336.0,3363.0
42303GNRLL3301O,21059,KY,0,C,335312.0,1,1,335.0,1.0,33.0,335.0,3353.0
42701DWCRN760HO,21093,KY,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
42701DWCRN760HO,21093,KY,0,C,325212.0,2,0,325.0,1.0,32.0,325.0,3252.0
40219HDCNK4000O,21111,KY,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
40204KNTFD932EA,21111,KY,1,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
42134BRWNPBRODE,21213,KY,0,C,323111.0,1,1,323.0,1.0,32.0,323.0,3231.0
40210LCNLM1430S,21111,KY,0,C,331315.0,1,1,331.0,1.0,33.0,331.0,3313.0
42420PBSCH1405H,21101,KY,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
42050SGLCR2320M,21075,KY,0,C,335991.0,1,1,335.0,1.0,33.0,335.0,3359.0
42519CPRPW1247S,21199,KY,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
40391DLPWR1925F,21049,KY,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
41056SPRLCRTE8X,21161,KY,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
41653CTNPT10BAL,21071,KY,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
42164SMTML2687O,21003,KY,0,C,335931.0,1,1,335.0,1.0,33.0,335.0,3359.0
42134THKNDUS31W,21213,KY,0,C,326299.0,1,1,326.0,1.0,32.0,326.0,3262.0
42134THKNDUS31W,21213,KY,0,C,325520.0,2,0,325.0,1.0,32.0,325.0,3255.0
40353CPRTR250OA,21173,KY,0,C,326220.0,1,1,326.0,1.0,32.0,326.0,3262.0
41042VNLRC7425I,21015,KY,0,C,332439.0,1,1,332.0,1.0,33.0,332.0,3324.0
40213FRDMTFERNV,21111,KY,0,C,336112.0,1,1,336.0,1.0,33.0,336.0,3361.0
41051MGNND10250,21015,KY,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
42642SPRRBHIGHW,21207,KY,0,C,335911.0,1,1,335.0,1.0,33.0,335.0,3359.0
42101KBLMN525CE,21227,KY,0,C,332112.0,1,1,332.0,1.0,33.0,332.0,3321.0
40216MRCNS4500C,21111,KY,0,C,325212.0,1,1,325.0,1.0,32.0,325.0,3252.0
40211THGNC4200B,21111,KY,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
40391STHRN5799R,21049,KY,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
40444LLSNB163IN,21079,KY,0,C,327910.0,1,1,327.0,1.0,32.0,327.0,3279.0
40422SCHST15SPI,21015,KY,0,C,336350.0,1,1,336.0,1.0,33.0,336.0,3363.0
42087WSTVCHIGHA,21007,KY,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
40391MRTKB555RO,21049,KY,0,C,311225.0,1,1,311.0,1.0,31.0,311.0,3112.0
42240SPRRG4021C,21047,KY,0,C,327999.0,1,1,327.0,1.0,32.0,327.0,3279.0
42351CMMNWKYHWY,21091,KY,0,C,331314.0,1,1,331.0,1.0,33.0,331.0,3313.0
42351CMMNWKYHWY,21091,KY,0,C,332812.0,2,0,332.0,1.0,33.0,332.0,3328.0
42351CMMNWKYHWY,21091,KY,0,C,331315.0,3,0,331.0,1.0,33.0,331.0,3313.0
42240PTCLL5PLAN,21047,KY,1,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
42101HSHDT385SO,21227,KY,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
40214LRDNC7753N,21111,KY,0,C,325120.0,1,1,325.0,1.0,32.0,325.0,3251.0
41042RTKNC8060P,21015,KY,0,C,332710.0,1,1,332.0,1.0,33.0,332.0,3327.0
41042MRCNS7430I,21015,KY,0,C,339950.0,1,1,339.0,1.0,33.0,339.0,3399.0
40212NGLHR3400B,21111,KY,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
40212NGLHR3400B,21111,KY,0,C,325132.0,2,0,325.0,1.0,32.0,325.0,3251.0
40324NTRNT101CA,21209,KY,0,C,332111.0,1,1,332.0,1.0,33.0,332.0,3321.0
42431FLTRTHIGHW,21107,KY,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
40222FRDMT3001C,21111,KY,0,C,336112.0,1,1,336.0,1.0,33.0,336.0,3361.0
40403LCNRC302MA,21151,KY,0,C,331314.0,1,1,331.0,1.0,33.0,331.0,3313.0
40216SPRRS4211B,21111,KY,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
42420STRNL5800R,21101,KY,0,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
42420STRNL5800R,21101,KY,0,C,331492.0,2,0,331.0,1.0,33.0,331.0,3314.0
40211SHLND4185A,21111,KY,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
42240PLYMT201CO,21047,KY,0,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
42240PLYMT201CO,21047,KY,0,C,331222.0,2,0,331.0,1.0,33.0,331.0,3312.0
42240PLYMT201CO,21047,KY,0,C,331210.0,3,0,331.0,1.0,33.0,331.0,3312.0
40358MCRTHSOURS,21011,KY,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
41031MCMPNNEWLA,21097,KY,0,C,322222.0,1,1,322.0,1.0,32.0,322.0,3222.0
41031MCMPNNEWLA,21097,KY,0,C,322221.0,2,0,322.0,1.0,32.0,322.0,3222.0
40004TRMMS1051W,21179,KY,0,C,336360.0,1,1,336.0,1.0,33.0,336.0,3363.0
42071BRGGS110MA,21035,KY,0,C,333618.0,1,1,333.0,1.0,33.0,333.0,3336.0
42101PNSTN6944L,21227,KY,0,C,337127.0,1,1,337.0,1.0,33.0,337.0,3371.0
42101PNSTN6944L,21227,KY,0,C,337215.0,2,0,337.0,1.0,33.0,337.0,3372.0
40513WBSTR2INNV,21067,KY,0,C,336399.0,1,1,336.0,1.0,33.0,336.0,3363.0
42066SBRDFMACED,21083,KY,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
42101GNRLMI65US,21227,KY,0,C,336111.0,1,1,336.0,1.0,33.0,336.0,3361.0
40403KSCRP501MA,21151,KY,0,C,336370.0,1,1,336.0,1.0,33.0,336.0,3363.0
40403KSCRP501MA,21151,KY,0,C,332812.0,2,0,332.0,1.0,33.0,332.0,3328.0
41097SNMNF107IN,21081,KY,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
40330SGNTS551TA,21167,KY,0,C,336391.0,1,1,336.0,1.0,33.0,336.0,3363.0
