TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
71234CLGCL2247H,22073,LA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
70518DPSTH228MI,22055,LA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
71483CHMBNHIGHW,22127,LA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
71483CHMBNHIGHW,22127,LA,0,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
70776HRCRS3920H,22047,LA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
71107HRCRS1011J,22017,LA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
71449CNGRB100MC,22085,LA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
70719TRNTY7555C,22121,LA,0,C,336611.0,1,1,336.0,1.0,33.0,336.0,3366.0
70663GLFCS1697P,22019,LA,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
70663GLFCS1697P,22019,LA,0,C,488310.0,2,0,999.0,0.0,48.0,488.0,4883.0
70123XCHMN6120J,22051,LA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
70057NNCRBROUTE,22089,LA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
70084JNSCH520WE,22095,LA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
71292PLYMT601GR,22073,LA,0,C,331210.0,1,1,331.0,1.0,33.0,331.0,3312.0
71457CNGRBHWY1B,22069,LA,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
71280NGSCHLAHWY,22073,LA,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
70517RYLFB1407A,22099,LA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
70427GYLRD4THST,22117,LA,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
70663WRGRCDAVIS,22019,LA,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
70520VNWTR220HE,22055,LA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
70070CCDNT12501,22089,LA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
70070CCDNT12501,22089,LA,0,C,325188.0,2,0,325.0,1.0,32.0,325.0,3251.0
70123CNTNR6000J,22051,LA,1,C,332439.0,1,1,332.0,1.0,33.0,332.0,3324.0
70734VNWTR34200,22005,LA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
70526CPTLM1125C,22001,LA,0,C,332919.0,1,1,332.0,1.0,33.0,332.0,3329.0
70456PRNMLHWY51,22105,LA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
71457LTTLC1855H,22069,LA,0,C,424720.0,1,1,999.0,0.0,42.0,424.0,4247.0
70510ZPTHYWY333,22113,LA,0,C,311712.0,1,1,311.0,1.0,31.0,311.0,3117.0
70631ZPTHYHC69B,22023,LA,0,C,311712.0,1,1,311.0,1.0,31.0,311.0,3117.0
70560MRTNNHWY83,22045,LA,0,C,333314.0,1,1,333.0,1.0,33.0,333.0,3333.0
71019HDNDS306WI,22081,LA,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
70776BPRDC3830H,22047,LA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
70302CMCND244HW,22057,LA,0,C,333111.0,1,1,333.0,1.0,33.0,333.0,3331.0
70070MNSNTRIVER,22089,LA,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
70070MNSNTRIVER,22089,LA,0,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
70070MNSNTRIVER,22089,LA,0,C,325188.0,3,0,325.0,1.0,32.0,325.0,3251.0
70776CMRCS4990B,22047,LA,0,C,325120.0,1,1,325.0,1.0,32.0,325.0,3251.0
71106PRNML223WE,22017,LA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
70047BNGCR12466,22089,LA,0,C,311222.0,1,1,311.0,1.0,31.0,311.0,3112.0
70508CTLYS100AM,22055,LA,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
70583CBTCRSTATE,22101,LA,0,C,325182.0,1,1,325.0,1.0,32.0,325.0,3251.0
70664HMSTD1750S,22019,LA,0,C,332410.0,1,1,332.0,1.0,33.0,332.0,3324.0
71110SRFRC2CES3,22015,LA,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
70710SDRCHPOBOX,22121,LA,0,C,325182.0,1,1,325.0,1.0,32.0,325.0,3251.0
70068DPNTD560HW,22095,LA,0,C,325212.0,1,1,325.0,1.0,32.0,325.0,3252.0
71107GSRFN620AE,22017,LA,0,C,324122.0,1,1,324.0,1.0,32.0,324.0,3241.0
70776CBGGYRIVER,22047,LA,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
70776CBGGYRIVER,22047,LA,0,C,325998.0,2,0,325.0,1.0,32.0,325.0,3259.0
70776CBGGYRIVER,22047,LA,0,C,325199.0,3,0,325.0,1.0,32.0,325.0,3251.0
70776CBGGYRIVER,22047,LA,0,C,325188.0,4,0,325.0,1.0,32.0,325.0,3251.0
70062MTVNT143FI,22051,LA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
70062SFTYK2423T,22051,LA,0,C,562112.0,1,1,562.0,1.0,56.0,562.0,5621.0
70062SFTYK2423T,22051,LA,0,C,484230.0,2,0,999.0,0.0,48.0,484.0,4842.0
70062SFTYK2423T,22051,LA,0,C,484220.0,3,0,999.0,0.0,48.0,484.0,4842.0
71360SFTYK518RY,22079,LA,0,C,562112.0,1,1,562.0,1.0,56.0,562.0,5621.0
71360SFTYK518RY,22079,LA,0,C,484230.0,2,0,999.0,0.0,48.0,484.0,4842.0
71360SFTYK518RY,22079,LA,0,C,484220.0,3,0,999.0,0.0,48.0,484.0,4842.0
