TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
01432XNTCS115JA,25027,MA,0,C,333314.0,1,1,333.0,1.0,33.0,333.0,3333.0
01104STRMS160CO,25013,MA,0,C,332111.0,1,1,332.0,1.0,33.0,332.0,3321.0
01887KCHMM850MA,25017,MA,0,C,333294.0,1,1,333.0,1.0,33.0,333.0,3332.0
02021NTRPL200DA,25021,MA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
02038FRNKL259CO,25021,MA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
01420SMNDS100IN,25027,MA,0,C,332213.0,1,1,332.0,1.0,33.0,332.0,3322.0
01746WFWDN29EVE,25017,MA,1,C,326140.0,1,1,326.0,1.0,32.0,326.0,3261.0
01606KMTKX40ROC,25027,MA,0,C,332111.0,1,1,332.0,1.0,33.0,332.0,3321.0
01606KMTKX40ROC,25027,MA,0,C,332112.0,2,0,332.0,1.0,33.0,332.0,3321.0
01606KMTKX40ROC,25027,MA,0,C,331512.0,3,0,331.0,1.0,33.0,331.0,3315.0
02125GLBNW135MO,25025,MA,0,C,511110.0,1,1,511.0,1.0,51.0,511.0,5111.0
01862GLBNW72SAL,25017,MA,0,C,511110.0,1,1,511.0,1.0,51.0,511.0,5111.0
01752KNSFD1DANG,25027,MA,0,C,311941.0,1,1,311.0,1.0,31.0,311.0,3119.0
01862TRNSM13STE,25017,MA,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
01862TRNSM13STE,25017,MA,0,C,325612.0,2,0,325.0,1.0,32.0,325.0,3256.0
02108TRDYN321HA,25025,MA,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
01089CMWST15AGA,25013,MA,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
01887TXTRN201LO,25017,MA,0,C,332993.0,1,1,332.0,1.0,33.0,332.0,3329.0
01453CMCMN165PI,25027,MA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
01364RDNYH46MIL,25011,MA,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
01527LWCTT86PRO,25027,MA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
02062THSVG259LE,25021,MA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
02742CSHNT200RI,25005,MA,0,C,339991.0,1,1,339.0,1.0,33.0,339.0,3399.0
02742CSHNT200RI,25005,MA,0,C,326291.0,2,0,326.0,1.0,32.0,326.0,3262.0
01510PLYMR179WO,25027,MA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
02370TCCNTAIRST,25023,MA,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
01104STRCH6494S,25015,MA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
01843BFGDRONEJA,25009,MA,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
01139TTFLX603HE,25013,MA,0,C,326220.0,1,1,326.0,1.0,32.0,326.0,3262.0
01028SPCTR50IND,25013,MA,1,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
01550RSSLH44RIV,25027,MA,0,C,332211.0,1,1,332.0,1.0,33.0,332.0,3322.0
01603HNRCH150GO,25027,MA,0,C,323113.0,1,1,323.0,1.0,32.0,323.0,3231.0
01022QBBNN1310S,25013,MA,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
01862BKRCM134BI,25017,MA,0,C,311613.0,1,1,311.0,1.0,31.0,311.0,3116.0
01950BRSHW22GRA,25009,MA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
01089FNTNP492PR,25013,MA,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
01089FNTNP492PR,25013,MA,0,C,332812.0,2,0,332.0,1.0,33.0,332.0,3328.0
01420CRCKR431WE,25027,MA,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
01760DRLCT61NOR,25017,MA,1,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
02081CLLHN18IND,25021,MA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
02210DVNCD12CHA,25025,MA,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
01570MCDHSROBER,25027,MA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
01570MCDHSROBER,25027,MA,0,C,325520.0,2,0,325.0,1.0,32.0,325.0,3255.0
01060PRSTR238NO,25015,MA,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
02745LNGSN50WEL,25005,MA,0,C,334419.0,1,1,334.0,1.0,33.0,334.0,3344.0
