TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
21001CLRXP1319P,24025,MD,0,C,325612.0,1,1,325.0,1.0,32.0,325.0,3256.0
21795RPLSM15952,24043,MD,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
21811PRDNCBRYAN,24047,MD,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
20794WMTBR2112M,24003,MD,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
21643HRLCK37DEL,24019,MD,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
21001MRYLN141CA,24025,MD,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
21030MRYLN1BEAV,24005,MD,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
21813SHWLLBISHO,24047,MD,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
21801PRDNCROUTE,24045,MD,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
21219HRSCCCNSTR,24005,MD,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
21220TLLYC501CH,24005,MD,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
21801PRDNCZIONC,24045,MD,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
20707STCST9090W,24027,MD,0,C,311520.0,1,1,311.0,1.0,31.0,311.0,3115.0
21750JFFRS14738,24043,MD,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
21226BTMRS6000P,24003,MD,0,C,324122.0,1,1,324.0,1.0,32.0,324.0,3241.0
21226BTMRS6000P,24003,MD,0,C,324121.0,2,0,324.0,1.0,32.0,324.0,3241.0
21740CHVRN11711,24043,MD,0,C,326122.0,1,1,326.0,1.0,32.0,326.0,3261.0
21221CNTNN8801C,24510,MD,1,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
21830LNGLFOLDRA,24045,MD,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
