TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
04106GLFLL175FR,23005,ME,0,C,424710,1,1,4247.0,1.0,42,424,4247
04861LYMNM82WAT,23013,ME,0,C,336612,1,1,336.0,1.0,33,336,3366
04457LNCLNKATAH,23019,ME,0,C,322110,1,1,322.0,1.0,32,322,3221
04457LNCLNKATAH,23019,ME,0,C,322121,2,0,322.0,1.0,32,322,3221
03901PRMTNSULLI,23031,ME,1,C,316110,1,1,316.0,1.0,31,316,3161
04210GNRLL135RO,23001,ME,0,C,332116,1,1,332.0,1.0,33,332,3321
04210GNRLL135RO,23001,ME,0,C,332813,2,0,332.0,1.0,33,332,3328
04210GNRLL135RO,23001,ME,0,C,332721,3,0,332.0,1.0,33,332,3327
04974RVNGL52STA,23027,ME,0,C,424710,1,1,4247.0,1.0,42,424,4247
04841FMCCRCROCK,23013,ME,0,C,311999,1,1,311.0,1.0,31,311,3119
04841FMCCRCROCK,23013,ME,0,C,325412,2,0,325.0,1.0,32,325,3254
04732FRSRTSTATE,23003,ME,0,C,321113,1,1,321.0,1.0,32,321,3211
04903HHTMK242CO,23011,ME,0,C,322299,1,1,322.0,1.0,32,322,3222
04943RVNGTPOBOX,23025,ME,0,C,316110,1,1,316.0,1.0,31,316,3161
03904PRTSMSEAVE,23031,ME,0,F,928110,1,1,999.0,0.0,92,928,9281
04240BCHMN29LEX,23001,ME,0,C,332312,1,1,332.0,1.0,33,332,3323
04084GTPRDROUTE,23005,ME,0,C,335314,1,1,335.0,1.0,33,335,3353
04084GTPRDROUTE,23005,ME,0,C,334513,2,0,334.0,1.0,33,334,3345
04210STRLNPIONI,23001,ME,0,C,326130,1,1,326.0,1.0,32,326,3261
04950MDSNPMAINS,23025,ME,1,C,322121,1,1,322.0,1.0,32,322,3221
04950MDSNPMAINS,23025,ME,1,C,322110,2,0,322.0,1.0,32,322,3221
