TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
56377CHMPN100EA,27009,MN,1,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
55104HRCRS584NF,27123,MN,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
55009MSBRY105WA,27049,MN,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
56118THNLLHWY60,27033,MN,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
56001THDTS200WR,27013,MN,0,C,331511.0,1,1,331.0,1.0,33.0,331.0,3315.0
55317PRKRH2860W,27019,MN,0,C,332912.0,1,1,332.0,1.0,33.0,332.0,3329.0
55362KNFRV98NE7,27171,MN,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
55303BLLNT840MC,27003,MN,0,C,333120.0,1,1,333.0,1.0,33.0,333.0,3331.0
55355FRSTD216WC,27093,MN,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
55355FRSTD216WC,27093,MN,0,C,311514.0,2,0,311.0,1.0,31.0,311.0,3115.0
55425VTCNC2800E,27053,MN,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
55427GNRLM9000P,27053,MN,0,C,541710.0,1,1,999.0,1.0,54.0,541.0,5417.0
55066RCHRD118MA,27049,MN,0,C,311223.0,1,1,311.0,1.0,31.0,311.0,3112.0
56055NRTHS19249,27013,MN,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
56379XCLPT806SB,27009,MN,0,C,339115.0,1,1,339.0,1.0,33.0,339.0,3391.0
55379CRTNT3303E,27139,MN,0,C,324122.0,1,1,324.0,1.0,32.0,324.0,3241.0
55379CRTNT3303E,27139,MN,0,C,322121.0,2,0,322.0,1.0,32.0,322.0,3221.0
55432MNNCS200NE,27003,MN,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
55449PRKRM14609,27003,MN,0,C,333995.0,1,1,333.0,1.0,33.0,333.0,3339.0
55068DPCND12800,27037,MN,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
55303HFFMN900EH,27003,MN,0,C,335932.0,1,1,335.0,1.0,33.0,335.0,3359.0
55303HFFMN1000N,27003,MN,0,C,335932.0,1,1,335.0,1.0,33.0,335.0,3359.0
55923FCDVFHWY52,27045,MN,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
55060CRWNC2929W,27147,MN,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
55303FDRLH900EH,27003,MN,0,C,332992.0,1,1,332.0,1.0,33.0,332.0,3329.0
55379CNKLN551VA,27139,MN,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
55379CNKLN551VA,27139,MN,0,C,325612.0,2,0,325.0,1.0,32.0,325.0,3256.0
55379CNKLN551VA,27139,MN,0,C,325611.0,3,0,325.0,1.0,32.0,325.0,3256.0
55379CNKLN551VA,27139,MN,0,C,325312.0,4,0,325.0,1.0,32.0,325.0,3253.0
55379CNKLN551VA,27139,MN,0,C,325311.0,5,0,325.0,1.0,32.0,325.0,3253.0
55379CNKLN551VA,27139,MN,0,C,324191.0,6,0,324.0,1.0,32.0,324.0,3241.0
55422HNYWL1985D,27053,MN,0,C,334512.0,1,1,334.0,1.0,33.0,334.0,3345.0
