TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
64063TTTCH777NB,29095,MO,1,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
64744MDMRCHIGHW,29039,MO,0,C,311514.0,1,1,311.0,1.0,31.0,311.0,3115.0
63301NWCNT365NE,29183,MO,0,C,333294.0,1,1,333.0,1.0,33.0,333.0,3332.0
63863FDRLMMALDE,29069,MO,0,C,331314.0,1,1,331.0,1.0,33.0,331.0,3313.0
63115HRCRS4330G,29510,MO,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
65672CNCRT586QU,29213,MO,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
65714CNCRT433TR,29043,MO,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
65738CNCRT34USH,29077,MO,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
65805CNCRT51SHE,29077,MO,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
63366HTCHNCANNO,29183,MO,0,C,331524.0,1,1,331.0,1.0,33.0,331.0,3315.0
63366HTCHNCANNO,29183,MO,0,C,331525.0,2,0,331.0,1.0,33.0,331.0,3315.0
65453BRKPR16MID,29055,MO,0,C,336340.0,1,1,336.0,1.0,33.0,336.0,3363.0
63104PVLYD1001S,29510,MO,0,C,112120.0,1,1,999.0,0.0,11.0,112.0,1121.0
64051CTYFN21500,29095,MO,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
64120MRTCS18NTP,29095,MO,0,C,325412.0,1,1,325.0,1.0,32.0,325.0,3254.0
64468KWSKMHWY71,29147,MO,0,C,333618.0,1,1,333.0,1.0,33.0,333.0,3336.0
64468KWSKMHWY71,29147,MO,0,C,333220.0,2,0,333.0,1.0,33.0,333.0,3332.0
64468KWSKMHWY71,29147,MO,0,C,331521.0,3,0,331.0,1.0,33.0,331.0,3315.0
63830TRNTYHWY84,29155,MO,0,C,336611.0,1,1,336.0,1.0,33.0,336.0,3366.0
