TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
39475RDMRR304OL,28073,MS,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
39077SNDRSHWY15,28029,MS,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
38879HCKRYLIPPA,28081,MS,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
38701PNSTRHARBO,28151,MS,0,C,336212.0,1,1,336.0,1.0,33.0,336.0,3362.0
39401BFGDR1301W,28035,MS,0,C,325212.0,1,1,325.0,1.0,32.0,325.0,3252.0
38941HRTLN55001,28083,MS,0,C,311712.0,1,1,311.0,1.0,31.0,311.0,3117.0
38655CTRPL36COU,28071,MS,0,C,332912.0,1,1,332.0,1.0,33.0,332.0,3329.0
38941MRCSCRTE1S,28083,MS,0,C,311712.0,1,1,311.0,1.0,31.0,311.0,3117.0
39428SNDRSOLDHW,28031,MS,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
39440SNDRS1WARE,28067,MS,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
39361SHQLKNMAIN,28103,MS,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
39759FLXST500IN,28105,MS,0,C,337121.0,1,1,337.0,1.0,33.0,337.0,3371.0
39401DCKTN977SU,28035,MS,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
38930SCTTP412MI,28083,MS,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
39702DVRSTYORKV,28087,MS,1,C,313320.0,1,1,313.0,1.0,31.0,313.0,3133.0
39208MRCNC550GU,28121,MS,0,C,325612.0,1,1,325.0,1.0,32.0,325.0,3256.0
38926HNKNS496CA,28043,MS,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
38930VKNGR561VI,28083,MS,0,C,335221.0,1,1,335.0,1.0,33.0,335.0,3352.0
38930VKNGR561VI,28083,MS,0,C,335222.0,2,0,335.0,1.0,33.0,335.0,3352.0
39341PNCKFOLDHW,28103,MS,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
38843TRSTTHWY25,28057,MS,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
38843TRSTTHWY25,28057,MS,0,C,321114.0,2,0,321.0,1.0,32.0,321.0,3211.0
39701SNDRSTUFFY,28087,MS,0,C,321999.0,1,1,321.0,1.0,32.0,321.0,3219.0
39701SNDRSTUFFY,28087,MS,0,C,326199.0,2,0,326.0,1.0,32.0,326.0,3261.0
38901RNDLLHIGHW,28043,MS,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
38901RNDLLHIGHW,28043,MS,0,C,332322.0,2,0,332.0,1.0,33.0,332.0,3323.0
38901RNDLLHIGHW,28043,MS,0,C,331221.0,3,0,331.0,1.0,33.0,331.0,3312.0
39367HDNDS915IN,28153,MS,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
39204NGLHR600EA,28049,MS,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
39074CHCTW1225J,28123,MS,0,C,112320.0,1,1,999.0,0.0,11.0,112.0,1123.0
39423HDNDSHWY98,28111,MS,0,C,321212.0,1,1,321.0,1.0,32.0,321.0,3212.0
38606CRWNCHWY35,28107,MS,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
39046VNLRC100IN,28089,MS,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
38606BTSVL310CR,28107,MS,1,C,339995.0,1,1,339.0,1.0,33.0,339.0,3399.0
39459STHRN1192M,28067,MS,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
39359GRNCRHWY21,28123,MS,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
