TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
59270HLLYSEASTH,30083,MT,0,C,311313.0,1,1,311.0,1.0,31.0,311.0,3113.0
59061SMCNY5MILE,30095,MT,0,C,212299.0,1,1,2122.0,1.0,21.0,212.0,2122.0
59759GLDNS453MO,30043,MT,0,C,212221.0,1,1,2122.0,1.0,21.0,212.0,2122.0
59101CNCBL401SO,30111,MT,0,C,324110.0,1,1,324.0,1.0,32.0,324.0,3241.0
59270LWSCLSOFSI,30083,MT,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
59262KNFRVPOBOX,30083,MT,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
59801THTCH3200R,30063,MT,0,C,211112.0,1,1,999.0,1.0,21.0,211.0,2111.0
59218SVSPC1MILE,30085,MT,0,C,221122.0,1,1,2211.0,1.0,22.0,221.0,2211.0
59801THNWD2800R,30063,MT,0,C,339114.0,1,1,339.0,1.0,33.0,339.0,3391.0
59714LSNPC400JA,30031,MT,0,C,321912.0,1,1,321.0,1.0,32.0,321.0,3219.0
59025DCKRC12LAK,30003,MT,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
59635MRCNCSMELT,30049,MT,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
59635MRCNCSMELT,30049,MT,0,C,325320.0,2,0,325.0,1.0,32.0,325.0,3253.0
59635MRCNCSMELT,30049,MT,0,C,325510.0,3,0,325.0,1.0,32.0,325.0,3255.0
59635MRCNCSMELT,30049,MT,0,C,325510.0,2,0,325.0,1.0,32.0,325.0,3255.0
59635MRCNCSMELT,30049,MT,0,C,325320.0,3,0,325.0,1.0,32.0,325.0,3253.0
59635MRCNCSMELT,30049,MT,0,C,325180.0,1,1,325.0,1.0,32.0,325.0,3251.0
59635MRCNCSMELT,30049,MT,0,C,325181.0,1,1,325.0,1.0,32.0,325.0,3251.0
