TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
27317RRWNT200CO,37151,NC,0,C,339112.0,1,1,339.0,1.0,33.0,339.0,3391.0
28107CRLNC13570,37025,NC,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
27213GLDKSOLDUS,37037,NC,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
27355LBRTY2607O,37151,NC,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
28334MCPGN1600S,37085,NC,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
28054JCHRL1010E,37071,NC,0,C,313112.0,1,1,313.0,1.0,31.0,313.0,3131.0
28732BLRDG180MI,37089,NC,0,C,331221.0,1,1,331.0,1.0,33.0,331.0,3312.0
28613HCKRYHIGHW,37035,NC,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
27360HRCRS125SE,37057,NC,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
27379NRGYD753CO,37033,NC,0,C,335999.0,1,1,335.0,1.0,33.0,335.0,3359.0
28001CLLNS313BE,37167,NC,0,C,314110.0,1,1,314.0,1.0,31.0,314.0,3141.0
27573THLXC1658O,37145,NC,0,C,331316.0,1,1,331.0,1.0,33.0,331.0,3313.0
28174WMPLR205ED,37179,NC,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
28739BLDNGHIGHW,37089,NC,0,C,313113.0,1,1,313.0,1.0,31.0,313.0,3131.0
28739BLDNGHIGHW,37089,NC,0,C,325211.0,2,0,325.0,1.0,32.0,325.0,3252.0
28726MNTMN305WK,37089,NC,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
28645BRYHLMILLE,37027,NC,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
28752BRYHL426WH,37111,NC,0,C,337121.0,1,1,337.0,1.0,33.0,337.0,3371.0
28645BRYHLVIRGI,37027,NC,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
27042HLSTDHWY31,37169,NC,0,C,331421.0,1,1,331.0,1.0,33.0,331.0,3314.0
28787RLNCLREEMS,37021,NC,0,C,333613.0,1,1,333.0,1.0,33.0,333.0,3336.0
28328KVTTS711SW,37163,NC,0,C,337211.0,1,1,337.0,1.0,33.0,337.0,3372.0
28328KVTTS711SW,37163,NC,0,C,326199.0,2,0,326.0,1.0,32.0,326.0,3261.0
28379PRDNC416SO,37153,NC,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
28603CRLNS22741,37035,NC,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
28352BTLRMHWY74,37165,NC,0,C,332311.0,1,1,332.0,1.0,33.0,332.0,3323.0
28752JLDWN1HENR,37111,NC,1,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
28612BKRFR1BAKE,37023,NC,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
28451NTNLSHIGHW,37019,NC,0,C,325613.0,1,1,325.0,1.0,32.0,325.0,3256.0
27229PRDNCSTATE,37091,NC,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
27229PRDNCSTATE,37091,NC,0,C,311222.0,2,0,311.0,1.0,31.0,311.0,3112.0
28103CDDYFHIGHW,37179,NC,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
27856PRDFRALTUS,37127,NC,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
27849PRDNCHIGHW,37015,NC,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
27849PRDNCHIGHW,37015,NC,0,C,311613.0,2,0,311.0,1.0,31.0,311.0,3116.0
28613HLSTD1004K,37035,NC,0,C,326291.0,1,1,326.0,1.0,32.0,326.0,3262.0
27261WFMCK1305T,37081,NC,0,C,336211.0,1,1,336.0,1.0,33.0,336.0,3362.0
27828DMNNT1200W,37147,NC,0,C,312210.0,1,1,3122.0,1.0,31.0,312.0,3122.0
27922HCKTT1505R,37091,NC,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
27103TYLRB2415S,37067,NC,0,C,312229.0,1,1,3122.0,1.0,31.0,312.0,3122.0
27409CMCMF121LA,37081,NC,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
28603CNTRY3086M,37035,NC,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
27288MLLRB863EA,37157,NC,1,C,312120.0,1,1,3121.0,1.0,31.0,312.0,3121.0
27886HCCMP19WSA,37065,NC,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
28625CCMCR133FA,37097,NC,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
27573MYLCT10660,37145,NC,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
28134RTLND9635I,37119,NC,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
28603CNTRY42012,37035,NC,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
27890RNKVL290PO,37083,NC,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
27261CNCPT2631E,37081,NC,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
27893CRGLL2500W,37195,NC,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
28645BRNHRPLAN5,37027,NC,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
27525NVBCHSTATE,37069,NC,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
28144NTNLL1709J,37159,NC,0,C,331315.0,1,1,331.0,1.0,33.0,331.0,3313.0
27835HNDRX1101I,37147,NC,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
28677SCCLMRTE15,37097,NC,1,C,336360.0,1,1,336.0,1.0,33.0,336.0,3363.0
28677SCCLMRTE15,37097,NC,1,C,326150.0,2,0,326.0,1.0,32.0,326.0,3261.0
27409MPNCB233BU,37081,NC,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
28273WRTHC11750,37119,NC,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
