TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
58237LCHML35DIV,38099,ND,0,C,325998,1,1,325.0,1.0,32,325,3259
58623ZNSFBRT1BO,38011,ND,0,C,327112,1,1,327.0,1.0,32,327,3271
58523KNFRVHWY49,38057,ND,0,C,212111,1,1,2121.0,1.0,21,212,2121
58501NRTHW3225E,38015,ND,0,C,312111,1,1,3121.0,1.0,31,312,3121
58502HRTLN1503Y,38015,ND,0,C,311119,1,1,311.0,1.0,31,311,3111
58502HRTLN1503Y,38015,ND,0,C,111110,1,1,999.0,0.0,11,111,1111
58502HRTLN1503Y,38015,ND,0,C,333112,2,0,333.0,1.0,33,333,3331
58502HRTLN1503Y,38015,ND,0,C,333112,2,0,,,33,333,3331
58523CTPRP204CO,38057,ND,0,C,212111,1,1,2121.0,1.0,21,212,2121
58335DVLSLBOX40,38005,ND,0,C,336992,1,1,336.0,1.0,33,336,3369
58335DVLSLBOX40,38005,ND,0,C,313210,1,1,313.0,1.0,31,313,3132
58523TTRTL62401,38057,ND,0,C,221112,1,1,2211.0,1.0,22,221,2211
58075PRMBR2441N,38077,ND,0,C,339999,1,1,339.0,1.0,33,339,3399
58075PRGLD18049,38077,ND,0,C,311221,1,1,311.0,1.0,31,311,3112
58530MLTNR34012,38065,ND,0,C,221112,1,1,2211.0,1.0,22,221,2211
58554RMHSKHWY18,38059,ND,0,C,221112,1,1,2211.0,1.0,22,221,2211
58102GPKPR16014,38017,ND,0,C,326122,1,1,326.0,1.0,32,326,3261
58102GNRLN13013,38017,ND,0,C,311911,1,1,311.0,1.0,31,311,3119
58102CLSSC1617M,38017,ND,0,C,336111,1,1,336.0,1.0,33,336,3361
58102CSCNC28007,38017,ND,0,C,333111,1,1,333.0,1.0,33,333,3331
58102GPKPR17203,38017,ND,1,C,326199,1,1,326.0,1.0,32,326,3261
58601HCDYC10021,38089,ND,0,C,424690,1,1,4246.0,1.0,42,424,4246
58201GSCGDRR1BO,38035,ND,0,C,325320,1,1,325.0,1.0,32,325,3253
58108WDSLL13304,38017,ND,0,C,333111,1,1,333.0,1.0,33,333,3331
58402HYBSTHWY28,38093,ND,0,C,333111,1,1,333.0,1.0,33,333,3331
58571GRTRV4001H,38057,ND,0,C,221112,1,1,2211.0,1.0,22,221,2211
58367WLLML213FI,38079,ND,0,C,339913,1,1,339.0,1.0,33,339,3399
58316TRTLMHIGHW,38079,ND,0,C,336214,1,1,336.0,1.0,33,336,3362
58368RGBYM5151S,38069,ND,0,C,333923,1,1,333.0,1.0,33,333,3339
58201JRSMP3630G,38035,ND,0,C,311411,1,1,311.0,1.0,31,311,3114
58201JRSMP3630G,38035,ND,0,C,311423,2,0,311.0,1.0,31,311,3114
58206LMGLS1580S,38035,ND,0,C,326199,1,1,326.0,1.0,32,326,3261
58206LMGLS1580S,38035,ND,0,C,333611,1,1,333.0,1.0,33,333,3336
58206LMGLS1580S,38035,ND,0,C,326130,1,1,326.0,1.0,32,326,3261
58571LLNDL3901H,38057,ND,0,C,221112,1,1,2211.0,1.0,22,221,2211
58075MCXXX1300N,38077,ND,0,C,326199,1,1,326.0,1.0,32,326,3261
58074HTCHNHIGHW,38077,ND,0,C,333111,1,1,333.0,1.0,33,333,3331
58108LVLLC11531,38017,ND,0,C,321114,1,1,321.0,1.0,32,321,3211
58103BRNCK4245M,38017,ND,0,C,333298,1,1,333.0,1.0,33,333,3332
58102PPSCL38021,38017,ND,0,C,312111,1,1,3121.0,1.0,31,312,3121
58107BRNCK26003,38017,ND,0,C,333518,1,1,333.0,1.0,33,333,3335
58102NRTHR38011,38017,ND,0,C,332999,1,1,332.0,1.0,33,332,3329
58576FLKRK3MILE,38055,ND,0,C,212111,1,1,2121.0,1.0,21,212,2121
58576GRTRV28753,38055,ND,0,C,221112,1,1,2211.0,1.0,22,221,2211
58102TCTNX44011,38017,ND,0,C,326199,1,1,326.0,1.0,32,326,3261
