TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
68352NDCTTE6MIH,31095,NE,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
68352NDCTTE6MIH,31095,NE,0,C,327122.0,2,0,327.0,1.0,32.0,327.0,3271.0
68601PPLTN2500E,31141,NE,1,C,335931.0,1,1,335.0,1.0,33.0,335.0,3359.0
68601PPLTN2500E,31141,NE,1,C,335932.0,2,0,335.0,1.0,33.0,335.0,3359.0
68601PPLTN2500E,31141,NE,1,C,335122.0,3,0,335.0,1.0,33.0,335.0,3351.0
68731BPNCXHIGHW,31043,NE,0,C,311611.0,1,1,311.0,1.0,31.0,311.0,3116.0
68731BPNCXHIGHW,31043,NE,0,C,316110.0,2,0,316.0,1.0,31.0,316.0,3161.0
68731BPNCXHIGHW,31043,NE,0,C,311613.0,3,0,311.0,1.0,31.0,311.0,3116.0
68731BPNCXHIGHW,31043,NE,0,C,311612.0,4,0,311.0,1.0,31.0,311.0,3116.0
68634CRGLLHWY30,31141,NE,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
68601MNNST3000E,31141,NE,0,C,311221.0,1,1,311.0,1.0,31.0,311.0,3112.0
68601MNNST3000E,31141,NE,0,C,325193.0,2,0,325.0,1.0,32.0,325.0,3251.0
68107VNWTR3002F,31055,NE,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
68333FRMLNPOBOX,31151,NE,0,C,311611.0,1,1,311.0,1.0,31.0,311.0,3116.0
68333FRMLNPOBOX,31151,NE,0,C,311613.0,2,0,311.0,1.0,31.0,311.0,3116.0
68333FRMLNPOBOX,31151,NE,0,C,311612.0,3,0,311.0,1.0,31.0,311.0,3116.0
68601BCTNDINDUS,31141,NE,0,C,339112.0,1,1,339.0,1.0,33.0,339.0,3391.0
69130MNRTQ121ME,31047,NE,0,C,336330.0,1,1,336.0,1.0,33.0,336.0,3363.0
68776SXCTY25GST,31043,NE,0,C,331511.0,1,1,331.0,1.0,33.0,331.0,3315.0
68776CNTRL39THD,31043,NE,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
68701SGRNF3421L,31167,NE,0,C,322299.0,1,1,322.0,1.0,32.0,322.0,3222.0
68172SWFTD9828J,31055,NE,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
69130CNTRL300WE,31047,NE,1,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
68522LSTRL625WE,31109,NE,0,C,335999.0,1,1,335.0,1.0,33.0,335.0,3359.0
68731BPNCWGSTXX,31043,NE,0,C,221320.0,1,1,999.0,0.0,22.0,221.0,2213.0
68731BPNCWGSTXX,31043,NE,0,C,316110.0,2,0,316.0,1.0,31.0,316.0,3161.0
68731BPNCWGSTXX,31043,NE,0,C,311613.0,3,0,311.0,1.0,31.0,311.0,3116.0
68731BPNCWGSTXX,31043,NE,0,C,311612.0,4,0,311.0,1.0,31.0,311.0,3116.0
68731BPNCWGSTXX,31043,NE,0,C,311611.0,5,0,311.0,1.0,31.0,311.0,3116.0
68025VGRTN943SS,31053,NE,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
68025GHRML900SO,31053,NE,0,C,311611.0,1,1,311.0,1.0,31.0,311.0,3116.0
68467SNDST2800D,31185,NE,0,C,336413.0,1,1,336.0,1.0,33.0,336.0,3364.0
69138LNDLK315WF,31047,NE,1,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
68025FRMLN330EA,31053,NE,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
68810LNPLSARGOI,31079,NE,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
68840NTRFL6090O,31019,NE,0,C,325314.0,1,1,325.0,1.0,32.0,325.0,3253.0
68601MRMNMHIGHW,31141,NE,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
68901WHLNNEHWY6,31001,NE,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
68501GDYRT4021N,31109,NE,0,C,326220.0,1,1,326.0,1.0,32.0,326.0,3262.0
68524KWSKM6600N,31109,NE,0,C,336999.0,1,1,336.0,1.0,33.0,336.0,3369.0
68524KWSKM6600N,31109,NE,0,C,336510.0,2,0,336.0,1.0,33.0,336.0,3365.0
68902GPCRN2801E,31001,NE,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
68803SFTYK2700W,31079,NE,0,C,562112.0,1,1,562.0,1.0,56.0,562.0,5621.0
68803SFTYK2700W,31079,NE,0,C,484230.0,2,0,999.0,0.0,48.0,484.0,4842.0
68803SFTYK2700W,31079,NE,0,C,484220.0,3,0,999.0,0.0,48.0,484.0,4842.0
68107CMRCS41110,31055,NE,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
68341PTRSN108SO,31151,NE,0,C,332212.0,1,1,332.0,1.0,33.0,332.0,3322.0
68410MRCNMINDUS,31131,NE,0,C,334514.0,1,1,334.0,1.0,33.0,334.0,3345.0
69001CRNBLNORTH,31145,NE,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
68305MGNLMMAGNO,31127,NE,0,C,331528.0,1,1,331.0,1.0,33.0,331.0,3315.0
68305MGNLMMAGNO,31127,NE,0,C,332710.0,2,0,332.0,1.0,33.0,332.0,3327.0
69044TRNTNHC2PB,31087,NE,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
68305TRNGLRR2BO,31127,NE,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
68701NCRCR1601W,31119,NE,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
68701NCRCR1601W,31119,NE,0,C,332322.0,2,0,332.0,1.0,33.0,332.0,3323.0
68701NCRCR1601W,31119,NE,0,C,331221.0,3,0,331.0,1.0,33.0,331.0,3312.0
68467HGHPL1414C,31185,NE,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
68769HSKRG5448H,31139,NE,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
688181FBRG1318W,31081,NE,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
68787GRTDN1200N,31179,NE,0,C,336212.0,1,1,336.0,1.0,33.0,336.0,3362.0
68701GDYRT2701W,31119,NE,0,C,326220.0,1,1,326.0,1.0,32.0,326.0,3262.0
68025CTYFF2701E,31053,NE,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
68025CTYFF2701E,31053,NE,0,C,221122.0,2,0,2211.0,1.0,22.0,221.0,2211.0
68776BFPRD36016,31043,NE,0,C,311612.0,1,1,311.0,1.0,31.0,311.0,3116.0
68131RBRTS2901C,31055,NE,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
69162PRSTL1GREE,31033,NE,0,C,335929.0,1,1,335.0,1.0,33.0,335.0,3359.0
68064MCXXX600EA,31055,NE,0,C,313230.0,1,1,313.0,1.0,31.0,313.0,3132.0
68064MCXXX600EA,31055,NE,0,C,339113.0,2,0,339.0,1.0,33.0,339.0,3391.0
68064MCXXX600EA,31055,NE,0,C,334510.0,3,0,334.0,1.0,33.0,334.0,3345.0
68064MCXXX600EA,31055,NE,0,C,325222.0,4,0,325.0,1.0,32.0,325.0,3252.0
68128SHMRC935S9,31153,NE,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
68137RDYMX4765S,31055,NE,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
68138RDYMX15353,31153,NE,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
68005RDYMX182HW,31153,NE,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
68134RDYMX2728N,31055,NE,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
68434GRHLD548S6,31159,NE,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
68869MDMRC102LI,31019,NE,1,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
68869MDMRC102LI,31019,NE,1,C,311514.0,2,0,311.0,1.0,31.0,311.0,3115.0
68601CNTNNHWY30,31141,NE,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
68818NBRSK1205S,31081,NE,0,C,325193.0,1,1,325.0,1.0,32.0,325.0,3251.0
