TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
03301PRXRT146PE,33013,NH,0,C,333298.0,1,1,333.0,1.0,33.0,333.0,3332.0
03051PRFRM4PARK,33011,NH,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
03063HRCRS8CAPI,33011,NH,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
03246MTZLCPRIMR,33001,NH,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
03743PCPPR130SU,33019,NH,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
03743PCPPR130SU,33019,NH,0,C,322211.0,2,0,322.0,1.0,32.0,322.0,3222.0
03301KLWLLRIVER,33013,NH,0,C,326130.0,1,1,326.0,1.0,32.0,326.0,3261.0
03801RVNGL5PREB,33015,NH,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
03442MNDNCANTRI,33011,NH,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
03584FTCHF178SU,33007,NH,0,C,454311.0,1,1,999.0,0.0,45.0,454.0,4543.0
03584FTCHF178SU,33007,NH,0,C,238220.0,2,0,999.0,0.0,23.0,238.0,2382.0
03755HYPRTETNAR,33009,NH,0,C,332721.0,1,1,332.0,1.0,33.0,332.0,3327.0
03235WBSTRSMAIN,33013,NH,0,C,332919.0,1,1,332.0,1.0,33.0,332.0,3329.0
03235WBSTRSMAIN,33013,NH,0,C,331525.0,2,0,331.0,1.0,33.0,331.0,3315.0
03055HTCHNOLDWI,33011,NH,0,C,331512.0,1,1,331.0,1.0,33.0,331.0,3315.0
03055HTCHN1SCAR,33011,NH,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
03801SMPLX4023W,33015,NH,0,C,335921.0,1,1,335.0,1.0,33.0,335.0,3359.0
03801CNDNW99OLD,33015,NH,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
03773STRMRGUILD,33019,NH,0,C,332994.0,1,1,332.0,1.0,33.0,332.0,3329.0
03773STRMRGUILD,33019,NH,0,C,331513.0,2,0,331.0,1.0,33.0,331.0,3315.0
03820DTMGN140CR,33017,NH,0,C,334416.0,1,1,334.0,1.0,33.0,334.0,3344.0
03054JNSCHRAILR,33011,NH,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
03458NWHMPROUTE,33011,NH,0,C,332991.0,1,1,332.0,1.0,33.0,332.0,3329.0
03867LYDLLCHEST,33017,NH,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
03867LYDLLCHEST,33017,NH,0,C,322299.0,2,0,322.0,1.0,32.0,322.0,3222.0
03581JMSRVCASCA,33007,NH,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
03570JMSRV650MA,33007,NH,0,C,322110.0,1,1,322.0,1.0,32.0,322.0,3221.0
03246NWHMP155LE,33001,NH,0,C,332991.0,1,1,332.0,1.0,33.0,332.0,3329.0
03827PLRRF89EXE,33015,NH,0,C,562920.0,1,1,562.0,1.0,56.0,562.0,5629.0
03874DXTRDONEDE,33015,NH,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
03874DXTRDONEDE,33015,NH,0,C,325510.0,2,0,325.0,1.0,32.0,325.0,3255.0
03103NYLTC333SU,33011,NH,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
03053BRTMF32IND,33015,NH,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
03060PCDHS3EAST,33011,NH,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
03103DSGRNGRENI,33011,NH,0,C,339991.0,1,1,339.0,1.0,33.0,339.0,3399.0
03304PTCFR509RT,33013,NH,0,C,333319.0,1,1,333.0,1.0,33.0,333.0,3333.0
03055SNTGB47POW,33011,NH,0,C,335228.0,1,1,335.0,1.0,33.0,335.0,3352.0
03055SNTGB47POW,33011,NH,0,C,335221.0,2,0,335.0,1.0,33.0,335.0,3352.0
03053PRTTY7DELT,33015,NH,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
03608CLDRVBREWE,33005,NH,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
03103LCTRP252WI,33011,NH,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
03106GNRLL31HOO,33013,NH,0,C,336412.0,1,1,336.0,1.0,33.0,336.0,3364.0
03833NRTHS6COMM,33015,NH,0,C,335121.0,1,1,335.0,1.0,33.0,335.0,3351.0
03302CNCRD12COM,33013,NH,0,C,323122.0,1,1,323.0,1.0,32.0,323.0,3231.0
03251BRNDYRT3AC,33009,NH,0,C,335931.0,1,1,335.0,1.0,33.0,335.0,3359.0
03103PLYVC253AB,33011,NH,0,C,339113.0,1,1,339.0,1.0,33.0,339.0,3391.0
03582JMSRVMAINS,33007,NH,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
03801SPRGR126RI,33015,NH,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
03062DVNCD118NO,33011,NH,0,C,334417.0,1,1,334.0,1.0,33.0,334.0,3344.0
03062DVNCD118NO,33011,NH,0,C,334412.0,2,0,334.0,1.0,33.0,334.0,3344.0
03062TRDYN4PITT,33011,NH,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
03103GTPRD655SW,33011,NH,1,C,335110.0,1,1,335.0,1.0,33.0,335.0,3351.0
03452MLLPRPRESC,33005,NH,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
03869JNCLC50GOO,33017,NH,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
03304PBLCS97RIV,33013,NH,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
03801NWNGT165GO,33015,NH,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
03801PBLCSGOSLI,33015,NH,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
03874KJQNN135FO,33015,NH,1,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
03874KJQNN135FO,33015,NH,1,C,325520.0,2,0,325.0,1.0,32.0,325.0,3255.0
03235PLYCLINDUS,33013,NH,0,C,334419.0,1,1,334.0,1.0,33.0,334.0,3344.0
03235PLYCL45TAN,33013,NH,0,C,334419.0,1,1,334.0,1.0,33.0,334.0,3344.0
03071WRWCK31TUR,33011,NH,0,C,313210.0,1,1,313.0,1.0,31.0,313.0,3132.0
