TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
08620CLYTN111MA,34021,NJ,1,C,327331.0,1,1,327.0,1.0,32.0,327.0,3273.0
07305DGNLC200KE,34017,NJ,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
08096GLFLL920KI,34015,NJ,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
07607VCTRS25BRK,34003,NJ,0,C,339913.0,1,1,339.0,1.0,33.0,339.0,3399.0
07657CLRTP101RA,34003,NJ,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
07004HTTMR20NEW,34013,NJ,0,C,334512.0,1,1,334.0,1.0,33.0,334.0,3345.0
07105SPNCR400DO,34013,NJ,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
07114GJCHM37037,34013,NJ,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
08224VKNGYRTE9X,34005,NJ,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
07058DCRNC5BADE,34027,NJ,0,C,333291.0,1,1,333.0,1.0,33.0,333.0,3332.0
08028GLLDF600EL,34015,NJ,0,C,311320.0,1,1,311.0,1.0,31.0,311.0,3113.0
08855NDXNCTURNE,34023,NJ,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
08875RTRCL187DA,34035,NJ,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
08875RTRCL187DA,34035,NJ,0,C,332812.0,2,0,332.0,1.0,33.0,332.0,3328.0
08875RTRCL187DA,34035,NJ,0,C,332811.0,3,0,332.0,1.0,33.0,332.0,3328.0
08066PLSBRUNIVE,34015,NJ,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
07928NTNLM12RIV,34027,NJ,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
07008SHLND350RO,34023,NJ,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
08805PLYMR1EEAS,34035,NJ,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
08822NTDST408RO,34019,NJ,1,C,331423.0,1,1,331.0,1.0,33.0,331.0,3314.0
08016CCDNTBEVER,34005,NJ,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
07865BRLSC176TH,34041,NJ,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
07306NCHLS120DU,34017,NJ,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
07647TKSGN267UN,34003,NJ,1,C,325620.0,1,1,325.0,1.0,32.0,325.0,3256.0
07036PXPLT725CO,34039,NJ,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
07011LFRDH5WELL,34031,NJ,0,C,332811.0,1,1,332.0,1.0,33.0,332.0,3328.0
07011LFRDH5WELL,34031,NJ,0,C,332813.0,2,0,332.0,1.0,33.0,332.0,3328.0
08518DCFBR801WF,34005,NJ,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
07011LMRTC16RIC,34031,NJ,0,C,322222.0,1,1,322.0,1.0,32.0,322.0,3222.0
07936SNDZP59ROU,34027,NJ,0,C,541710.0,1,1,999.0,1.0,54.0,541.0,5417.0
07647MRCNG220PE,34003,NJ,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
07095RSSLL14CON,34023,NJ,0,C,332439.0,1,1,332.0,1.0,33.0,332.0,3324.0
07068MRCNS565EA,34013,NJ,1,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
07601MSTRB154HB,34003,NJ,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
08902BRNTC1010J,34023,NJ,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
07109HRMNN600CO,34013,NJ,1,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
08065CLLHNBROAD,34005,NJ,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
07660CLLHN200IN,34003,NJ,1,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
07095FBRNT2CUTT,34023,NJ,0,C,326130.0,1,1,326.0,1.0,32.0,326.0,3261.0
08067THBFGUSROU,34033,NJ,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
08817MRCNN135NA,34023,NJ,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
08807BRDDC123CH,34035,NJ,0,C,332811.0,1,1,332.0,1.0,33.0,332.0,3328.0
08071SNYMS400NW,34015,NJ,1,C,334612.0,1,1,334.0,1.0,33.0,334.0,3346.0
08016FRNKLBEVER,34005,NJ,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
07104RDLLT849BR,34013,NJ,0,C,316110.0,1,1,316.0,1.0,31.0,316.0,3161.0
08030NDCNCNRAIL,34007,NJ,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
08818MBLCHRT27A,34023,NJ,0,C,325110.0,1,1,325.0,1.0,32.0,325.0,3251.0
08095CYRPSFLEMI,34007,NJ,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
07033SCHRN2000G,34039,NJ,0,C,325412.0,1,1,325.0,1.0,32.0,325.0,3254.0
07055HRCLS111SO,34031,NJ,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
08816MNCND5JOAN,34023,NJ,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
08110LMNMS9000R,34007,NJ,0,C,331316.0,1,1,331.0,1.0,33.0,331.0,3313.0
08110LMNMS9000R,34007,NJ,0,C,332323.0,2,0,332.0,1.0,33.0,332.0,3323.0
08110LMNMS9000R,34007,NJ,0,C,331314.0,3,0,331.0,1.0,33.0,331.0,3313.0
07105TMTDL185FO,34013,NJ,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
