TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
88101STHWS1141C,35009,NM,0,C,311513,1,1,311.0,1.0,31,311,3115
87113MTRLN4800A,35001,NM,0,C,335999,1,1,335.0,1.0,33,335,3359
87109GLTND6600G,35001,NM,0,C,336419,1,1,336.0,1.0,33,336,3364
88211LNDLK110EM,35015,NM,0,C,311119,1,1,311.0,1.0,31,311,3111
88008THMSN2700A,35013,NM,1,C,332116,1,1,332.0,1.0,33,332,3321
88240BJSRV5514C,35025,NM,0,C,424690,1,1,4246.0,1.0,42,424,4246
87401NCHM01215B,00000,NM,0,C,424690,1,1,4246.0,1.0,42,424,4246
88240NCHMN707NL,35025,NM,1,C,325998,1,1,325.0,1.0,32,325,3259
88240NCHMN707NL,35025,NM,1,C,424690,2,0,4246.0,1.0,42,424,4246
87401SFTYK4200A,00000,NM,0,C,562112,1,1,562.0,1.0,56,562,5621
87401SFTYK4200A,00000,NM,0,C,484230,2,0,999.0,0.0,48,484,4842
87401SFTYK4200A,00000,NM,0,C,484220,3,0,999.0,0.0,48,484,4842
87505LFRGC30COL,35049,NM,0,C,327320,1,1,327.0,1.0,32,327,3273
87505LFRGC30COL,35049,NM,0,C,327331,2,0,327.0,1.0,32,327,3273
87113LFRGC6211C,35001,NM,0,C,327320,1,1,327.0,1.0,32,327,3273
88008FMXPR2500A,35013,NM,0,C,326150,1,1,326.0,1.0,32,326,3261
88211DDNSW201MA,35015,NM,1,C,424710,1,1,4247.0,1.0,42,424,4247
88240DDNSW1400W,35025,NM,0,C,424710,1,1,4247.0,1.0,42,424,4247
88008GRFFT2400A,35013,NM,0,C,561910,1,1,999.0,0.0,56,561,5619
87059RGRND11783,35001,NM,0,C,327310,1,1,327.0,1.0,32,327,3273
88210KCHSP2411N,35015,NM,0,C,324121,1,1,324.0,1.0,32,324,3241
88201LPRNFRTE25,35005,NM,0,C,311513,1,1,311.0,1.0,31,311,3115
88201LPRNFRTE25,35005,NM,0,C,311514,2,0,311.0,1.0,31,311,3115
88220SDWST3MILE,35015,NM,0,F,562211,1,1,562.0,1.0,56,562,5622
87544SDLSL52835,35028,NM,0,F,928110,1,1,999.0,0.0,92,928,9281
88005RMGNT301RE,35013,NM,0,C,335929,1,1,335.0,1.0,33,335,3359
87113SMTCM9401S,35001,NM,0,C,334413,1,1,334.0,1.0,33,334,3344
88130HGHPL1827S,35041,NM,0,C,325193,1,1,325.0,1.0,32,325,3251
87413BLMFLNO50C,00000,NM,0,C,324110,1,1,324.0,1.0,32,324,3241
87401CSTLC10COU,00000,NM,0,C,424690,1,1,4246.0,1.0,42,424,4246
87416FRCRNCOUNT,00000,NM,0,C,221112,1,1,2211.0,1.0,22,221,2211
