TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
89115MDWGL635EC,32003,NV,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
89115RBLLC5054N,32003,NV,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
89506CHVRN14381,32031,NV,0,C,326122.0,1,1,326.0,1.0,32.0,326.0,3261.0
89701TYMRC2675A,32510,NV,0,C,325910.0,1,1,325.0,1.0,32.0,325.0,3259.0
89701CPTLC2505A,32510,NV,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
89883GRYMN15MIL,32007,NV,0,C,212312.0,1,1,999.0,0.0,21.0,212.0,2123.0
89005FBRGL16450,32003,NV,0,C,326130.0,1,1,326.0,1.0,32.0,326.0,3261.0
89883GRYMN15MIL,32007,NV,0,C,327410.0,1,1,327.0,1.0,32.0,327.0,3274.0
89406NVDRF347NT,32001,NV,0,C,331419.0,1,1,331.0,1.0,33.0,331.0,3314.0
89706SRRCS2727L,32510,NV,0,C,331512.0,1,1,331.0,1.0,33.0,331.0,3315.0
8949WSNVLRUSHWY,32001,NV,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
89014SLVRS45EAS,32003,NV,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
89115SLVRSRANGE,32003,NV,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
89431PRTTY75SPI,32031,NV,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
89408CNTRY2095N,32019,NV,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
89506PRCSN14255,32031,NV,0,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
89429NVDWD1680S,32019,NV,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
89408QBCRP2000E,32019,NV,0,C,323111.0,1,1,323.0,1.0,32.0,323.0,3231.0
89081CNYNS4581E,32003,NV,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
89506VKWST14250,32031,NV,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
89706WSTCS25STO,32019,NV,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
89025LSCBT201NM,32003,NV,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
89445CYNCX9000W,32013,NV,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
89025RDGRD1WALL,32003,NV,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
89410RVPCF1198S,32005,NV,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
89438NRTHVI80EX,32013,NV,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
89408RNCFR19RES,32019,NV,0,C,336214.0,1,1,336.0,1.0,33.0,336.0,3362.0
89118RGNSP64WRI,32003,NV,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
89419CRRCH180EX,32027,NV,0,C,212222.0,1,1,2122.0,1.0,21.0,212.0,2122.0
89419CRRCH180EX,32027,NV,0,C,212221.0,2,0,2122.0,1.0,21.0,212.0,2122.0
89706FRHNR2INDU,32019,NV,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
89434TRCYG191WU,32029,NV,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
89032STHRN413EG,32003,NV,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
89434FRHNR12I8E,32031,NV,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
89319BHPCP7MILE,32033,NV,0,C,212234.0,1,1,2122.0,1.0,21.0,212.0,2122.0
