TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
13160WCKSM107SA,36011,NY,0,C,423220.0,1,1,999.0,0.0,42.0,423.0,4232.0
14621DPNTR69SEN,36055,NY,1,C,325910.0,1,1,325.0,1.0,32.0,325.0,3259.0
11572LNDNC323LA,36059,NY,0,C,334411.0,1,1,334.0,1.0,33.0,334.0,3344.0
14086NTDMT561PA,36029,NY,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
14304BTLSP5000P,36063,NY,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
11220HCRPX1458T,36047,NY,0,C,334417.0,1,1,334.0,1.0,33.0,334.0,3344.0
14086HNRYH3765W,36029,NY,0,C,311930.0,1,1,311.0,1.0,31.0,311.0,3119.0
14207FRNTR1740E,36029,NY,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
11771MLLMX190PI,36059,NY,0,C,334417.0,1,1,334.0,1.0,33.0,334.0,3344.0
14218BTHLHBARRO,36029,NY,0,C,331111.0,1,1,331.0,1.0,33.0,331.0,3311.0
10001GDNNWJFKIN,36081,NY,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
13206SYRCS5985T,36067,NY,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
14443CRSMNRT520,36069,NY,0,C,332992.0,1,1,332.0,1.0,33.0,332.0,3329.0
14443CRSMNRT520,36069,NY,0,C,332994.0,2,0,332.0,1.0,33.0,332.0,3329.0
11729SNDCTONEBU,36103,NY,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
12202CRGLLCHURC,36001,NY,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
14005CRGLL3540R,36037,NY,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
13090CRGLL7700M,36067,NY,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
13601STTRL22543,36045,NY,0,C,335312.0,1,1,335.0,1.0,33.0,335.0,3353.0
14127LDMCC3875C,36029,NY,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
12550NWNGL40GOV,36071,NY,0,C,334419.0,1,1,334.0,1.0,33.0,334.0,3344.0
13460HMLTN43ART,36017,NY,0,C,332618.0,1,1,332.0,1.0,33.0,332.0,3326.0
14094JMSTW85GRA,36063,NY,0,C,322211.0,1,1,322.0,1.0,32.0,322.0,3222.0
14589MTTSX4363R,36117,NY,0,C,311421.0,1,1,311.0,1.0,31.0,311.0,3114.0
14589MTTSX4363R,36117,NY,0,C,312111.0,2,0,3121.0,1.0,31.0,312.0,3121.0
14107CWMCH1550B,36063,NY,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
10707MDRYN150MA,36119,NY,0,C,331522.0,1,1,331.0,1.0,33.0,331.0,3315.0
14623STMNT250ME,36055,NY,1,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
14701JMSTW178BL,36013,NY,0,C,339111.0,1,1,339.0,1.0,33.0,339.0,3391.0
14211BLWKN750EA,36029,NY,0,C,333298.0,1,1,333.0,1.0,33.0,333.0,3332.0
14150SHLND3701R,36029,NY,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
12188DGSSCSCHOO,36091,NY,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
13502TCCNV2214W,36065,NY,1,C,314992.0,1,1,314.0,1.0,31.0,314.0,3149.0
13357DPNTRCLARK,36043,NY,0,C,332994.0,1,1,332.0,1.0,33.0,332.0,3329.0
14094TWNLK520MI,36063,NY,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
11385NDPND7951C,36081,NY,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
14150TNWND3875R,36029,NY,0,C,324199.0,1,1,324.0,1.0,32.0,324.0,3241.0
13662GNRLMPOBOX,36089,NY,0,C,331524.0,1,1,331.0,1.0,33.0,331.0,3315.0
13201MLNFN1841L,36067,NY,0,C,331524.0,1,1,331.0,1.0,33.0,331.0,3315.0
13201MLNFN1841L,36067,NY,0,C,331525.0,2,0,331.0,1.0,33.0,331.0,3315.0
14733TRCKL310EE,36013,NY,0,C,336321.0,1,1,336.0,1.0,33.0,336.0,3363.0
14616FSHRS140BE,36055,NY,0,C,327215.0,1,1,327.0,1.0,32.0,327.0,3272.0
13820CSTMLBROWN,36077,NY,0,C,334414.0,1,1,334.0,1.0,33.0,334.0,3344.0
12306NSLTNONECA,36093,NY,0,C,327999.0,1,1,327.0,1.0,32.0,327.0,3279.0
12306NSLTNONECA,36093,NY,0,C,325510.0,2,0,325.0,1.0,32.0,325.0,3255.0
12306NSLTNONECA,36093,NY,0,C,325211.0,3,0,325.0,1.0,32.0,325.0,3252.0
12306NSLTNONECA,36093,NY,0,C,322222.0,4,0,322.0,1.0,32.0,322.0,3222.0
12306NSLTNONECA,36093,NY,0,C,313320.0,5,0,313.0,1.0,31.0,313.0,3133.0
14611RCHST2CAIR,36055,NY,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
14094VNDMR1NORT,36063,NY,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
14204GRPHC4EXCH,36029,NY,0,C,323119.0,1,1,323.0,1.0,32.0,323.0,3231.0
14760LNDVN1002S,36009,NY,0,C,334414.0,1,1,334.0,1.0,33.0,334.0,3344.0
14845CTLRH200WE,36015,NY,0,C,334411.0,1,1,334.0,1.0,33.0,334.0,3344.0
14701BLCKS1111A,36013,NY,0,C,336399.0,1,1,336.0,1.0,33.0,336.0,3363.0
14105FMCCR100NI,36063,NY,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
13088STRTHBURRD,36067,NY,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
14304VSHYT2160L,36063,NY,0,C,334415.0,1,1,334.0,1.0,33.0,334.0,3344.0
14150FMCCR37SAW,36029,NY,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
14150FMCCR37SAW,36029,NY,0,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
11691BYSWT1425B,36081,NY,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
12183ZKNCR1TIBB,36001,NY,0,C,332710.0,1,1,332.0,1.0,33.0,332.0,3327.0
12543STRNLHENRY,36071,NY,0,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
12543STRNLHENRY,36071,NY,0,C,331492.0,2,0,331.0,1.0,33.0,331.0,3314.0
14214WLLMS2978M,36029,NY,0,C,331492.0,1,1,331.0,1.0,33.0,331.0,3314.0
14214WLLMS2978M,36029,NY,0,C,332813.0,2,0,332.0,1.0,33.0,332.0,3328.0
14214WLLMS2978M,36029,NY,0,C,332116.0,3,0,332.0,1.0,33.0,332.0,3321.0
14214WLLMS2978M,36029,NY,0,C,331491.0,4,0,331.0,1.0,33.0,331.0,3314.0
13754MDFTCLAURE,36025,NY,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
14423JNSCH100SU,36051,NY,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
14533PNNWLROUTE,36051,NY,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
13221BRSTLTHOMP,36067,NY,0,C,325414.0,1,1,325.0,1.0,32.0,325.0,3254.0
10996SMNTXRT218,36071,NY,0,F,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
14546SBNMT1647W,36055,NY,0,C,331492.0,1,1,331.0,1.0,33.0,331.0,3314.0
14094MLWRD500MI,36063,NY,0,C,331312.0,1,1,331.0,1.0,33.0,331.0,3313.0
14094MLWRD500MI,36063,NY,0,C,331411.0,2,0,331.0,1.0,33.0,331.0,3314.0
13323LCTRN3683S,36065,NY,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
13323LCTRN3683S,36065,NY,0,C,326199.0,2,0,326.0,1.0,32.0,326.0,3261.0
14750CMMNS4720B,36013,NY,0,C,333618.0,1,1,333.0,1.0,33.0,333.0,3336.0
14527TRNSL1789T,36123,NY,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
13209SYRCS7055I,36067,NY,0,C,332811.0,1,1,332.0,1.0,33.0,332.0,3328.0
