TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
45014CLVRY9233S,39017,OH,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
45408PXDVS762WE,39113,OH,0,C,333991.0,1,1,333.0,1.0,33.0,333.0,3339.0
45408PXDVS762WE,39113,OH,0,C,333613.0,2,0,333.0,1.0,33.0,333.0,3336.0
45638LBRTC3040S,39087,OH,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
45638LBRTC3040S,39087,OH,0,C,334119.0,2,0,334.0,1.0,33.0,334.0,3341.0
44202MCRMR1395D,39133,OH,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
43402CPRND1175N,39173,OH,0,C,326291.0,1,1,326.0,1.0,32.0,326.0,3262.0
44258RPBLC2628P,39103,OH,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
43311THRMD1301W,39091,OH,0,C,326220.0,1,1,326.0,1.0,32.0,326.0,3262.0
45241NSBTB181RE,39061,OH,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
43701PLSKL11755,39119,OH,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
43701PLSKL11755,39119,OH,0,C,325211.0,2,0,325.0,1.0,32.0,325.0,3252.0
43219PLSKL1770J,39049,OH,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
43219PLSKL1770J,39049,OH,0,C,325211.0,2,0,325.0,1.0,32.0,325.0,3252.0
45404CSTRN1600W,39113,OH,0,C,336391.0,1,1,336.0,1.0,33.0,336.0,3363.0
43206TRRRS1379S,39049,OH,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
43402CHMRN1142N,39173,OH,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
44875SHLBY34MAN,39139,OH,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
43502SCTTP100TA,39051,OH,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
43502SCTTP100TA,39051,OH,0,C,323113.0,2,0,323.0,1.0,32.0,323.0,3231.0
45036SCHMD360HA,39165,OH,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
45036SCHMD360HA,39165,OH,0,C,337127.0,2,0,337.0,1.0,33.0,337.0,3371.0
43326CCDNT13717,39065,OH,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
45840PCNCD2151I,39063,OH,0,C,336360.0,1,1,336.0,1.0,33.0,336.0,3363.0
44111TTPNC3317W,39035,OH,0,C,332710.0,1,1,332.0,1.0,33.0,332.0,3327.0
44111TTPNC3317W,39035,OH,0,C,332813.0,2,0,332.0,1.0,33.0,332.0,3328.0
45242TRNSC11167,39061,OH,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
44131SFCSL5708S,39035,OH,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
