TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
74131MDSNN8500N,40143,OK,0,C,332322.0,1,1,332.0,1.0,33.0,332.0,3323.0
74147BRNRD12NPE,40143,OK,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
74131TDWLL6801S,40037,OK,0,C,333132.0,1,1,333.0,1.0,33.0,333.0,3331.0
74361RDDVLONEWE,40097,OK,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
74014LSTMR10908,40145,OK,1,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
74120STHWS422SO,40143,OK,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
74467LSTMR221SH,40145,OK,0,C,326150.0,1,1,326.0,1.0,32.0,326.0,3261.0
74631CFMCR102S2,40071,OK,0,C,331511.0,1,1,331.0,1.0,33.0,331.0,3315.0
73503SRMYFDIREC,40031,OK,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
74015RLNGR5610B,40131,OK,0,C,332996.0,1,1,332.0,1.0,33.0,332.0,3329.0
73762TMTRL15EOK,40073,OK,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
74115DVSFR5111E,40143,OK,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
73118GVRNR4841N,40109,OK,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
73127PRFBN910MO,40017,OK,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
74937KNDFDHWY12,40079,OK,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
73860CDRSYSANTA,40151,OK,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
74015SLVYF5010N,40131,OK,1,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
74012RSSLC1215E,40143,OK,0,C,335313.0,1,1,335.0,1.0,33.0,335.0,3353.0
73942FRRBTGUYMO,40139,OK,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
73801TRRNT1000T,40153,OK,0,C,325311.0,1,1,325.0,1.0,32.0,325.0,3253.0
73801TRRNT1000T,40153,OK,0,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
74602MDRNNPOBOX,40071,OK,1,C,331512.0,1,1,331.0,1.0,33.0,331.0,3315.0
74602MDRNNPOBOX,40071,OK,1,C,331528.0,2,0,331.0,1.0,33.0,331.0,3315.0
74602MDRNNPOBOX,40071,OK,1,C,331525.0,3,0,331.0,1.0,33.0,331.0,3315.0
74602MDRNNPOBOX,40071,OK,1,C,331524.0,4,0,331.0,1.0,33.0,331.0,3315.0
73401BLBNN100SM,40019,OK,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
