TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
97045PDMNF13963,41005,OR,0,C,331512.0,1,1,331.0,1.0,33.0,331.0,3315.0
97383PHLPS162WI,41047,OR,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
97603QGLSS5855W,41035,OR,1,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
97333VNTGL1551S,41003,OR,0,C,327993.0,1,1,327.0,1.0,32.0,327.0,3279.0
97402SPCTR959TE,41039,OR,0,C,334119.0,1,1,334.0,1.0,33.0,334.0,3341.0
97203RDDPN6123N,41051,OR,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
97266MLSFB8855S,41005,OR,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
97402CSCDP3790C,41039,OR,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
97402PLYMR2535P,41039,OR,0,C,326130.0,1,1,326.0,1.0,32.0,326.0,3261.0
97071FLTWD2655P,41047,OR,0,C,321991.0,1,1,321.0,1.0,32.0,321.0,3219.0
97071FLTWD2655P,41047,OR,0,C,,2,0,,,,,
97113SHLDN300N2,41067,OR,0,C,339111.0,1,1,339.0,1.0,33.0,339.0,3391.0
97230MLLRP12730,41051,OR,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
97068JMSRV4800M,41005,OR,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
97838LMBWSWESTL,41059,OR,0,C,311411.0,1,1,311.0,1.0,31.0,311.0,3114.0
97818BRDMN73334,41049,OR,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
97217CMCMF6840N,41051,OR,1,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
97330HWLTT1000N,41003,OR,0,C,334119.0,1,1,334.0,1.0,33.0,334.0,3341.0
97116WSTKF39412,41067,OR,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
97432WSTRN477DI,41019,OR,0,C,321911.0,1,1,321.0,1.0,32.0,321.0,3219.0
97132SMRFTWYNOO,41071,OR,0,C,322122.0,1,1,322.0,1.0,32.0,322.0,3221.0
97048CNRDW29175,41009,OR,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
97321PLMHR3737P,41043,OR,0,C,321991.0,1,1,321.0,1.0,32.0,321.0,3219.0
97321PLMHR3737P,41043,OR,0,C,337110.0,2,0,337.0,1.0,33.0,337.0,3371.0
97321PLMHR3737P,41043,OR,0,C,332312.0,3,0,332.0,1.0,33.0,332.0,3323.0
97487BHMVG22822,41039,OR,0,C,321213.0,1,1,321.0,1.0,32.0,321.0,3212.0
97402FRRST1011M,41039,OR,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
97401WYRHS92574,41039,OR,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
97401WYRHS92574,41039,OR,0,C,321212.0,2,0,321.0,1.0,32.0,321.0,3212.0
97321FLKBR255LD,41043,OR,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
97321FLKBR255LD,41043,OR,0,C,221330.0,2,0,999.0,1.0,22.0,221.0,2213.0
97217BLKTR11619,41051,OR,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
97217BLKTR11619,41051,OR,0,C,484121.0,2,0,999.0,0.0,48.0,484.0,4841.0
97217BLKTR11619,41051,OR,0,C,484110.0,3,0,999.0,0.0,48.0,484.0,4841.0
97210SHLND3322N,41051,OR,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
97402FRBDH4248W,41039,OR,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
97203CNTNN1200N,41051,OR,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
97601NRTHPHWY97,41035,OR,0,C,324121.0,1,1,324.0,1.0,32.0,324.0,3241.0
97914CCNTR1784S,41071,OR,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
97009SHWSF19402,41005,OR,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
97321SYNTH1290I,41043,OR,0,C,325412.0,1,1,325.0,1.0,32.0,325.0,3254.0
97321SYNTH1290I,41043,OR,0,C,325998.0,2,0,325.0,1.0,32.0,325.0,3259.0
97217RGNVR2301N,41051,OR,0,C,322222.0,1,1,322.0,1.0,32.0,322.0,3222.0
97217RGNVR2301N,41051,OR,0,C,325211.0,2,0,325.0,1.0,32.0,325.0,3252.0
97123DMNDC600SW,41067,OR,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
97501MDTCR2685N,41029,OR,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
97051BSCSC1300K,41009,OR,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
97051BSCSC1300K,41009,OR,0,C,322110.0,2,0,322.0,1.0,32.0,322.0,3221.0
97210TSCPR5528N,41051,OR,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
97023GLCRN294SE,41005,OR,1,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
97058KRRMCTIEPL,41065,OR,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
97210WCKRS7200N,41051,OR,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
97477SFTYK55SHE,41039,OR,0,C,562112.0,1,1,562.0,1.0,56.0,562.0,5621.0
97477SFTYK55SHE,41039,OR,0,C,484230.0,2,0,999.0,0.0,48.0,484.0,4842.0
97477SFTYK55SHE,41039,OR,0,C,484220.0,3,0,999.0,0.0,48.0,484.0,4842.0
97459CNRDW3998W,41011,OR,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
97459CNRDW3998W,41011,OR,0,C,321912.0,2,0,321.0,1.0,32.0,321.0,3219.0
97303RNSWT1460S,41047,OR,0,C,311411.0,1,1,311.0,1.0,31.0,311.0,3114.0
97116TKTRN1521P,41067,OR,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
97321NTNLF745SW,41043,OR,0,C,311411.0,1,1,311.0,1.0,31.0,311.0,3114.0
97071SPCLT2475P,41047,OR,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
97211NBSCB100NE,41051,OR,0,C,311821.0,1,1,311.0,1.0,31.0,311.0,3118.0
97478KNGSF3315M,41039,OR,0,C,325191.0,1,1,325.0,1.0,32.0,325.0,3251.0
97801PNDLT501SE,41059,OR,0,C,311211.0,1,1,311.0,1.0,31.0,311.0,3112.0
97203CHMCN10821,41051,OR,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
97526DMNDC550SE,41033,OR,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
97408MNCCC91320,41039,OR,0,C,336213.0,1,1,336.0,1.0,33.0,336.0,3362.0
97738CMPST12860,41025,OR,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
97477BLWTR632SH,41039,OR,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
97850SLNDCHWY82,41061,OR,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
97302RLNCN1660C,41047,OR,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
97420GRGPC1170A,41011,OR,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
97370GRGPC24808,41003,OR,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
97030CLMBB2300S,41051,OR,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
97402WLLMT586MC,41039,OR,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
97402WLLMT586MC,41039,OR,0,C,325998.0,2,0,325.0,1.0,32.0,325.0,3259.0
97338PRGTZ1270M,41053,OR,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
97005WLLMT5550S,41067,OR,0,C,325910.0,1,1,325.0,1.0,32.0,325.0,3259.0
97402GRGPC2665H,41039,OR,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
97128XCLTC2919N,41071,OR,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
97060GLCRN2176C,41051,OR,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
97210GLCRN5034F,41051,OR,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
97220BNGFP19000,41051,OR,0,C,336413.0,1,1,336.0,1.0,33.0,336.0,3364.0
97203CLMBS10425,41051,OR,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
97002DLMSF11671,41047,OR,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
97124NTLCR2501N,41067,OR,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
97378TYLRLROCKC,41071,OR,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
97124ZMNMG235NE,41067,OR,1,C,334416.0,1,1,334.0,1.0,33.0,334.0,3344.0
97227TRRNC2429N,41051,OR,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
97227TRRNC2429N,41051,OR,0,C,424690.0,2,0,4246.0,1.0,42.0,424.0,4246.0
97477CHMBN475NO,41039,OR,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
97477CHMBN475NO,41039,OR,0,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
97231RCPRD9930N,41051,OR,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
97141TLLMK4175H,41057,OR,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
97477BRDNN470SO,41039,OR,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
97477BRDNN470SO,41039,OR,0,C,325191.0,2,0,325.0,1.0,32.0,325.0,3251.0
97402BHMPR50NDA,41039,OR,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
97123PRMPS25600,41067,OR,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
97501MRBLD680SO,41029,OR,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
97211PRTLN755NE,41051,OR,0,C,327332.0,1,1,327.0,1.0,32.0,327.0,3273.0
97303NRRSP1675C,41047,OR,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
97827LGNCM90SOU,41061,OR,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
97827LGNCM90SOU,41061,OR,0,C,321212.0,2,0,321.0,1.0,32.0,321.0,3212.0
97440PRCCR10NOR,41039,OR,0,C,332996.0,1,1,332.0,1.0,33.0,332.0,3329.0
97440PRCCR10NOR,41039,OR,0,C,333111.0,2,0,333.0,1.0,33.0,333.0,3331.0
97007NTLCR3585S,41067,OR,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
97062JRGNN11555,41067,OR,0,C,334417.0,1,1,334.0,1.0,33.0,334.0,3344.0
97478SRRPN80048,41039,OR,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
97478WYRHS785N4,41039,OR,0,C,322110.0,1,1,322.0,1.0,32.0,322.0,3221.0
97478WYRHS785N4,41039,OR,0,C,322130.0,2,0,322.0,1.0,32.0,322.0,3221.0
97503MCMPN8124P,41029,OR,0,C,325992.0,1,1,325.0,1.0,32.0,325.0,3259.0
97321GRGPC2190O,41043,OR,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
97321GRGPC2190O,41043,OR,0,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
97321TLDYN1600O,41043,OR,0,C,331419.0,1,1,331.0,1.0,33.0,331.0,3314.0
97321TLDYN1600O,41043,OR,0,C,332999.0,2,0,332.0,1.0,33.0,332.0,3329.0
97128RBRBB904E1,41071,OR,0,C,326299.0,1,1,326.0,1.0,32.0,326.0,3262.0
97217FRGHT6936N,41051,OR,0,C,333924.0,1,1,333.0,1.0,33.0,333.0,3339.0
97222MRKND4909S,41005,OR,0,C,332213.0,1,1,332.0,1.0,33.0,332.0,3322.0
97070TLTYV28455,41005,OR,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
97850BRDNNHIGHW,41061,OR,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
97501BSCSC3285S,41029,OR,0,C,321212.0,1,1,321.0,1.0,32.0,321.0,3212.0
97501BSCSC3285S,41029,OR,0,C,221330.0,2,0,999.0,1.0,22.0,221.0,2213.0
97203RGNST14400,41051,OR,0,C,331111.0,1,1,331.0,1.0,33.0,331.0,3311.0
97203RGNST14400,41051,OR,0,C,331210.0,2,0,331.0,1.0,33.0,331.0,3312.0
97203WLDDT8735N,41051,OR,0,C,331111.0,1,1,331.0,1.0,33.0,331.0,3311.0
97203WLDDT8735N,41051,OR,0,C,331210.0,2,0,331.0,1.0,33.0,331.0,3312.0
97242DRGLD2720S,41051,OR,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
97210WLLBR5501N,41051,OR,0,C,324110.0,1,1,324.0,1.0,32.0,324.0,3241.0
97062PCFCS9700S,41067,OR,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
97070XRXFF26600,41005,OR,0,C,334119.0,1,1,334.0,1.0,33.0,334.0,3341.0
97886SMTHFDEPOT,41059,OR,0,C,311411.0,1,1,311.0,1.0,31.0,311.0,3114.0
97210VNWTR3950N,41051,OR,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
97227SKRTP1402N,41051,OR,0,C,327390.0,1,1,327.0,1.0,32.0,327.0,3273.0
97402GRGPC2665A,41039,OR,0,C,321211.0,1,1,321.0,1.0,32.0,321.0,3212.0
97321RGNMT530W3,41043,OR,0,C,331419.0,1,1,331.0,1.0,33.0,331.0,3314.0
97321RGNMT530W3,41043,OR,0,C,332811.0,2,0,332.0,1.0,33.0,332.0,3328.0
97321RGNMT530W3,41043,OR,0,C,332112.0,3,0,332.0,1.0,33.0,332.0,3321.0
97321RGNMT530W3,41043,OR,0,C,331492.0,4,0,331.0,1.0,33.0,331.0,3314.0
97402JHBXT85NBA,41039,OR,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
97006MBTCH14924,41067,OR,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
97218NDZNG5325N,41051,OR,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
97211NDZNG7933N,41051,OR,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
97211NDZNG7933N,41051,OR,0,C,331316.0,2,0,331.0,1.0,33.0,331.0,3313.0
97203NCLGR14003,41051,OR,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
97905SHGRV330CE,41001,OR,0,C,327310.0,1,1,327.0,1.0,32.0,327.0,3273.0
97355MRKNC250NO,41043,OR,0,C,326113.0,1,1,326.0,1.0,32.0,326.0,3261.0
97448CNTRY135EF,41039,OR,0,C,336120.0,1,1,336.0,1.0,33.0,336.0,3361.0
97062GYLRD10900,41067,OR,0,C,333319.0,1,1,333.0,1.0,33.0,333.0,3333.0
97914RDFDS175NE,41045,OR,0,C,311411.0,1,1,311.0,1.0,31.0,311.0,3114.0
97013SRSMT1017S,41005,OR,0,C,326122.0,1,1,326.0,1.0,32.0,326.0,3261.0
97208CHVRN5531N,41051,OR,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
97210MPRLP2526N,41051,OR,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
97603LTMKM4815T,41035,OR,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
97321RGNMT530W3,41043,OR,0,C,331492.0,2,0,331.0,1.0,33.0,331.0,3314.0
97321RGNMT530W3,41043,OR,0,C,332811.0,4,0,332.0,1.0,33.0,332.0,3328.0
97348JMSRV30470,41043,OR,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
97348JMSRV30470,41043,OR,0,C,322110.0,2,0,322.0,1.0,32.0,322.0,3221.0
97351MDLLN625HO,41053,OR,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
97058NRTHW3313W,41065,OR,1,C,331314.0,1,1,331.0,1.0,33.0,331.0,3313.0
