TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
18103RPRDC2801M,42077,PA,0,C,332919.0,1,1,332.0,1.0,33.0,332.0,3329.0
16148NTRST2797F,42085,PA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
18015LQDCR145SH,42095,PA,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
17103DYTNP1300N,42043,PA,0,C,332611.0,1,1,332.0,1.0,33.0,332.0,3326.0
18043TWRCHPOBOX,42095,PA,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
16101LLWDD700MO,42073,PA,0,C,331111.0,1,1,331.0,1.0,33.0,331.0,3311.0
15066CLFNSFRONT,42007,PA,0,C,331222.0,1,1,331.0,1.0,33.0,331.0,3312.0
15066CLFNSFRONT,42007,PA,0,C,331221.0,2,0,331.0,1.0,33.0,331.0,3312.0
17603LMXLM450RI,42071,PA,0,C,332322.0,1,1,332.0,1.0,33.0,332.0,3323.0
18106PHNXH7550W,42077,PA,0,C,332111.0,1,1,332.0,1.0,33.0,332.0,3321.0
19140HRRYM4THBR,42101,PA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
15445CSTLLSUMMI,42051,PA,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
18237NRTHSRTE30,42107,PA,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
19020DVNCD420IM,42017,PA,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
19363KYSTN121WA,42029,PA,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
16365WSTPN1425M,42123,PA,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
17404GTPRD1128R,42133,PA,0,C,332116.0,1,1,332.0,1.0,33.0,332.0,3321.0
17404GTPRD1128R,42133,PA,0,C,335110.0,2,0,335.0,1.0,33.0,335.0,3351.0
16254CLRNB44AMS,42031,PA,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
15067MTCHL50ELE,42125,PA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
15461HTFLDRD1BO,42059,PA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
16201RMSTRRD1ST,42005,PA,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
16102NVRSLEASDT,42073,PA,1,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
17350PLGRM304SW,42001,PA,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
16329NTNLF1FRON,42123,PA,0,C,332721.0,1,1,332.0,1.0,33.0,332.0,3327.0
17833WDMTL1SECO,42109,PA,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
16001HCKTTARMCO,42019,PA,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
15065HCKTTFEDER,42003,PA,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
19320HCKTTCOBLP,42029,PA,0,C,327992.0,1,1,327.0,1.0,32.0,327.0,3279.0
17347NWYRK152NM,42133,PA,0,C,314999.0,1,1,314.0,1.0,31.0,314.0,3149.0
18252HNSBR143MA,42107,PA,0,C,315192.0,1,1,315.0,1.0,31.0,315.0,3151.0
17604RMSTRLIBER,42071,PA,0,C,326192.0,1,1,326.0,1.0,32.0,326.0,3261.0
15522BDFRDRD2BO,42009,PA,0,C,326130.0,1,1,326.0,1.0,32.0,326.0,3261.0
15857PRCRB441HA,42047,PA,0,C,335991.0,1,1,335.0,1.0,33.0,335.0,3359.0
16335DVNCDPOBOX,42039,PA,0,C,331511.0,1,1,331.0,1.0,33.0,331.0,3315.0
16915PRCRBEAST2,42105,PA,0,C,335991.0,1,1,335.0,1.0,33.0,335.0,3359.0
16686QLTYCINDUS,42013,PA,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
15801TRNGLMALON,42033,PA,0,C,332611.0,1,1,332.0,1.0,33.0,332.0,3326.0
18255WTHRLCOMME,42025,PA,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
18020SPRRQ271BA,42095,PA,0,C,335110.0,1,1,335.0,1.0,33.0,335.0,3351.0
18020SPRRQ271BA,42095,PA,0,C,335122.0,2,0,335.0,1.0,33.0,335.0,3351.0
15225GLFLL5050G,42003,PA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
15024RDLND230RI,42003,PA,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
17522GSMND596WE,42071,PA,1,C,332322.0,1,1,332.0,1.0,33.0,332.0,3323.0
17522GSMND596WE,42071,PA,1,C,332313.0,2,0,332.0,1.0,33.0,332.0,3323.0
17522GSMND596WE,42071,PA,1,C,332312.0,3,0,332.0,1.0,33.0,332.0,3323.0
17403NWYRK441EM,42133,PA,0,C,332618.0,1,1,332.0,1.0,33.0,332.0,3326.0
15201MCCNW10948,42003,PA,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
15201MCCNW10948,42003,PA,0,C,331512.0,2,0,331.0,1.0,33.0,331.0,3315.0
17701LCNCB409RE,42081,PA,0,C,331319.0,1,1,331.0,1.0,33.0,331.0,3313.0
19525PNFLX15BIN,42091,PA,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
15601GNRLCGREEN,42129,PA,0,C,333514.0,1,1,333.0,1.0,33.0,333.0,3335.0
15601GNRLCGREEN,42129,PA,0,C,333511.0,2,0,333.0,1.0,33.0,333.0,3335.0
19020NTNLR539DU,42017,PA,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
17405NWYRK829LO,42133,PA,0,C,331222.0,1,1,331.0,1.0,33.0,331.0,3312.0
16046PRVSB321MA,42019,PA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
19124CRDNN55TAB,42101,PA,0,C,336322.0,1,1,336.0,1.0,33.0,336.0,3363.0
15077NWNGC168SH,42007,PA,0,C,327420.0,1,1,327.0,1.0,32.0,327.0,3274.0
19127RCHRD42022,42101,PA,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
19127RCHRD42022,42101,PA,0,C,325611.0,2,0,325.0,1.0,32.0,325.0,3256.0
17543FDRLM401WL,42071,PA,0,C,332991.0,1,1,332.0,1.0,33.0,332.0,3329.0
19123NTNLC401NO,42101,PA,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
19123NTNLC401NO,42101,PA,0,C,325612.0,2,0,325.0,1.0,32.0,325.0,3256.0
15632DVNCD1003C,42129,PA,1,C,331491.0,1,1,331.0,1.0,33.0,331.0,3314.0
15632DVNCD1003C,42129,PA,1,C,332813.0,2,0,332.0,1.0,33.0,332.0,3328.0
15632DVNCD1003C,42129,PA,1,C,332117.0,3,0,332.0,1.0,33.0,332.0,3321.0
15632DVNCD1003C,42129,PA,1,C,332116.0,4,0,332.0,1.0,33.0,332.0,3321.0
16915TRCKL100MA,42105,PA,0,C,336321.0,1,1,336.0,1.0,33.0,336.0,3363.0
16056SMNCXSAXON,42019,PA,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
17566BCKCXBOX23,42071,PA,0,C,331511.0,1,1,331.0,1.0,33.0,331.0,3315.0
15146PPGND440CO,42003,PA,0,C,325132.0,1,1,325.0,1.0,32.0,325.0,3251.0
15146PPGND440CO,42003,PA,0,C,541710.0,2,0,999.0,1.0,54.0,541.0,5417.0
16407MCNNS441EM,42049,PA,0,C,332111.0,1,1,332.0,1.0,33.0,332.0,3321.0
16407CRRYM519WE,42049,PA,0,C,336412.0,1,1,336.0,1.0,33.0,336.0,3364.0
19530MCCNWRAILR,42011,PA,1,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
19530MCCNWRAILR,42011,PA,1,C,331512.0,2,0,331.0,1.0,33.0,331.0,3315.0
18848GTPRDHAWES,42015,PA,0,C,331419.0,1,1,331.0,1.0,33.0,331.0,3314.0
18848GTPRDHAWES,42015,PA,0,C,332813.0,2,0,332.0,1.0,33.0,332.0,3328.0
