TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
29596PLMTT3501B,45069,SC,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
29488CSTLL1857B,45029,SC,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
29334CRYVC100RO,45083,SC,0,C,333993.0,1,1,333.0,1.0,33.0,333.0,3339.0
29710LTRDD975UL,45091,SC,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
29905SMCMRBLVDD,45013,SC,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
29675DVSBRHWY12,45073,SC,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
29904SDDMCHWY21,45013,SC,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
29560NNYPLHWY52,45041,SC,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
29560NNYPLHWY52,45041,SC,0,C,325222.0,2,0,325.0,1.0,32.0,325.0,3252.0
29560NNYPLHWY52,45041,SC,0,C,313112.0,3,0,313.0,1.0,31.0,313.0,3131.0
29560NNYPLHWY52,45041,SC,0,C,313111.0,4,0,313.0,1.0,31.0,313.0,3131.0
29681MLLKN2805K,45045,SC,0,C,313230.0,1,1,313.0,1.0,31.0,313.0,3132.0
29651HCHSTHOODR,45045,SC,0,C,326113.0,1,1,326.0,1.0,32.0,326.0,3261.0
29651HCHSTHOODR,45045,SC,0,C,325211.0,2,0,325.0,1.0,32.0,325.0,3252.0
29223WHLTR10250,45079,SC,0,C,327910.0,1,1,327.0,1.0,32.0,327.0,3279.0
29223WHLTR10250,45079,SC,0,C,332213.0,2,0,332.0,1.0,33.0,332.0,3322.0
29223WHLTR10250,45079,SC,0,C,332117.0,3,0,332.0,1.0,33.0,332.0,3321.0
29115DCLMNFIVEC,45075,SC,0,C,321999.0,1,1,321.0,1.0,32.0,321.0,3219.0
29032NWSTH1281S,45055,SC,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
29032NWSTH1281S,45055,SC,0,C,321114.0,2,0,321.0,1.0,32.0,321.0,3211.0
29526NWSTHHIGHW,45051,SC,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
29526NWSTHHIGHW,45051,SC,0,C,321114.0,2,0,321.0,1.0,32.0,321.0,3211.0
29720RXHMCHIGHW,45057,SC,0,C,326113.0,1,1,326.0,1.0,32.0,326.0,3261.0
29720RXHMCHIGHW,45057,SC,0,C,326130.0,2,0,326.0,1.0,32.0,326.0,3261.0
29630BSFCRHIGHW,45077,SC,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
29135LGLSSRURAL,45017,SC,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
29532HRTSV311WA,45031,SC,0,C,311223.0,1,1,311.0,1.0,31.0,311.0,3112.0
29145SLVRS598BU,45071,SC,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
29728CMTCK601NO,45025,SC,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
29405STHCH4200A,45019,SC,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
29633JCBSCSENEC,45073,SC,0,C,333512.0,1,1,333.0,1.0,33.0,333.0,3335.0
29625FBRCH1704D,45007,SC,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
29625FBRCH1704D,45007,SC,0,C,325613.0,2,0,325.0,1.0,32.0,325.0,3256.0
29625FBRCH1704D,45007,SC,0,C,325199.0,3,0,325.0,1.0,32.0,325.0,3251.0
29644KMTLC201FA,45045,SC,0,C,334414.0,1,1,334.0,1.0,33.0,334.0,3344.0
29150SMTRWEASTF,45085,SC,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
29630HNYWLHWY93,45077,SC,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
29630HNYWLHWY93,45077,SC,0,C,325222.0,2,0,325.0,1.0,32.0,325.0,3252.0
29154CRSCN43486,45085,SC,0,C,332212.0,1,1,332.0,1.0,33.0,332.0,3322.0
29201SHLND729MA,45079,SC,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
29644RCTCL110VA,45045,SC,0,C,336360.0,1,1,336.0,1.0,33.0,336.0,3363.0
29671TLFLX434FA,45077,SC,0,C,332721.0,1,1,332.0,1.0,33.0,332.0,3327.0
29812BRNWLJACKS,45011,SC,0,C,313312.0,1,1,313.0,1.0,31.0,313.0,3133.0
29731MNSYP2651C,45091,SC,0,C,324122.0,1,1,324.0,1.0,32.0,324.0,3241.0
29072BRLBRHWY1B,45063,SC,1,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
29302FLNTN510CE,45083,SC,0,C,325910.0,1,1,325.0,1.0,32.0,325.0,3259.0
29031CRLSLHIGHW,45087,SC,0,C,313312.0,1,1,313.0,1.0,31.0,313.0,3133.0
29123CMRPR7757E,45063,SC,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
29550TLLYMSCHWY,45025,SC,0,C,331111.0,1,1,331.0,1.0,33.0,331.0,3311.0
29646GRNWD215MI,45047,SC,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
29512MHWKN2118M,45069,SC,0,C,314110.0,1,1,314.0,1.0,31.0,314.0,3141.0
29677MCHLNHIGHW,45007,SC,0,C,326211.0,1,1,326.0,1.0,32.0,326.0,3262.0
29628KRSTNPOBOX,45001,SC,1,C,314110.0,1,1,314.0,1.0,31.0,314.0,3141.0
29849MHWKNHWY30,45005,SC,0,C,314110.0,1,1,314.0,1.0,31.0,314.0,3141.0
29706SPCLT869OL,45023,SC,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
29520CRWNC100EV,45025,SC,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
29406TXCRF4950V,45019,SC,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
29355NRBRD564WO,45059,SC,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
29323WTTSC815PI,45021,SC,0,C,332911.0,1,1,332.0,1.0,33.0,332.0,3329.0
29072MCHLN2420T,45063,SC,0,C,326211.0,1,1,326.0,1.0,32.0,326.0,3262.0
29745PRMRM1605T,45091,SC,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
29448CRLNC139PI,45035,SC,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
29483CTTNG213JE,45035,SC,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
29418MCCNN7421I,45019,SC,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
29201SNBRD2348S,45079,SC,0,C,336612.0,1,1,336.0,1.0,33.0,336.0,3366.0
29108TRCST81MAW,45071,SC,0,C,331528.0,1,1,331.0,1.0,33.0,331.0,3315.0
29048CHSPKHWY45,45075,SC,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
29405CHRLS2301A,45019,SC,1,C,332439.0,1,1,332.0,1.0,33.0,332.0,3324.0
29715BLDRL2499D,45091,SC,0,C,335312.0,1,1,335.0,1.0,33.0,335.0,3353.0
