TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
57648MDMRCMAINS,46021,SD,0,C,311513,1,1,311.0,1.0,31,311,3115
57201TWNCT122CE,46029,SD,0,C,331521,1,1,331.0,1.0,33,331,3315
57201TWNCT122CE,46029,SD,0,C,331522,2,0,331.0,1.0,33,331,3315
57006MCMPN60122,46011,SD,0,C,339112,1,1,339.0,1.0,33,339,3391
57006MCMPN60122,46011,SD,0,C,339113,2,0,339.0,1.0,33,339,3391
57783PPTLB1510W,46081,SD,0,C,321113,1,1,321.0,1.0,32,321,3211
57107HRLLR5100W,46099,SD,0,C,333922,1,1,333.0,1.0,33,333,3339
57702BHPLB409DE,46103,SD,0,C,221112,1,1,2211.0,1.0,22,221,2211
57445JMSVL44251,46013,SD,0,C,325193,1,1,325.0,1.0,32,325,3251
57034SXRVR29619,46083,SD,0,C,325193,1,1,325.0,1.0,32,325,3251
57117JHNMR1400N,46099,SD,0,C,311611,1,1,311.0,1.0,31,311,3116
57350BNNRN9915T,46005,SD,0,C,335999,1,1,335.0,1.0,33,335,3359
57216NRTHR48416,46051,SD,0,C,325193,1,1,325.0,1.0,32,325,3251
57201HBBRD1514T,46029,SD,0,C,311119,1,1,311.0,1.0,31,311,3111
57075DKTTH46269,46079,SD,0,C,325193,1,1,325.0,1.0,32,325,3251
57106GLDNS101SO,46099,SD,0,C,311119,1,1,311.0,1.0,31,311,3111
57201SMTHQ2601A,46029,SD,0,C,332721,1,1,332.0,1.0,33,332,3327
57201SMTHQ2601A,46029,SD,0,C,332813,2,0,332.0,1.0,33,332,3328
57450CSSCL44COM,46107,SD,0,C,311513,1,1,311.0,1.0,31,311,3115
57450CSSCL44COM,46107,SD,0,C,311514,2,0,311.0,1.0,31,311,3115
57078DLLCTEASTH,46135,SD,0,C,334416,1,1,334.0,1.0,33,334,3344
57078DLLCTEASTH,46135,SD,0,C,334417,2,0,334.0,1.0,33,334,3344
57252VLLYQ200ER,46051,SD,0,C,311513,1,1,311.0,1.0,31,311,3115
57252VLLYQ200ER,46051,SD,0,C,311514,2,0,311.0,1.0,31,311,3115
57401HRTLN38469,46013,SD,0,C,325193,1,1,325.0,1.0,32,325,3251
57793WHLRC12MIL,46081,SD,0,C,321114,1,1,321.0,1.0,32,321,3211
57260TRSTT47333,46109,SD,0,C,325193,1,1,325.0,1.0,32,325,3251
57104DSGNT612WB,46099,SD,0,C,326199,1,1,326.0,1.0,32,326,3261
57078LMXXT2300A,46135,SD,0,C,331316,1,1,331.0,1.0,33,331,3313
