TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
37716HMCRSHWY25,47001,TN,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
38372PRXSN435IN,47071,TN,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
37408CHTTN2100R,47065,TN,0,C,322130.0,1,1,322.0,1.0,32.0,322.0,3221.0
37303JHNSN1210E,47107,TN,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
38478CSTLL200MA,47055,TN,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
37841THRMDNO1IN,47151,TN,0,C,326220.0,1,1,326.0,1.0,32.0,326.0,3262.0
38585TWNSNDUNNS,47175,TN,0,C,332722.0,1,1,332.0,1.0,33.0,332.0,3327.0
37814WRGRC5700C,47063,TN,0,C,326299.0,1,1,326.0,1.0,32.0,326.0,3262.0
38118THJRD4661B,47157,TN,0,C,331316.0,1,1,331.0,1.0,33.0,331.0,3313.0
37659GNCRPOLDHW,47179,TN,0,C,331528.0,1,1,331.0,1.0,33.0,331.0,3315.0
37659GNCRPOLDHW,47179,TN,0,C,332995.0,2,0,332.0,1.0,33.0,332.0,3329.0
37659GNCRPOLDHW,47179,TN,0,C,332721.0,3,0,332.0,1.0,33.0,332.0,3327.0
37659GNCRPOLDHW,47179,TN,0,C,332117.0,4,0,332.0,1.0,33.0,332.0,3321.0
37210FRRCR20CUL,47037,TN,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
37716DHCMP1260C,47001,TN,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
37874NGKMT917ST,47123,TN,0,C,331421.0,1,1,331.0,1.0,33.0,331.0,3314.0
37874NGKMT917ST,47123,TN,0,C,331528.0,2,0,331.0,1.0,33.0,331.0,3315.0
37086WHRLP1714H,47037,TN,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
37043SPXCN901AL,47125,TN,0,C,331521.0,1,1,331.0,1.0,33.0,331.0,3315.0
37043SPXCN901AL,47125,TN,0,C,336399.0,2,0,336.0,1.0,33.0,336.0,3363.0
38401SWRCN91JAM,47119,TN,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
38401SWRCN91JAM,47119,TN,0,C,327215.0,2,0,327.0,1.0,32.0,327.0,3272.0
38025BKRTCONEBE,47045,TN,0,C,314992.0,1,1,314.0,1.0,31.0,314.0,3149.0
37642KNGST11KIN,47073,TN,0,C,326291.0,1,1,326.0,1.0,32.0,326.0,3262.0
38113HCCHM2701C,47157,TN,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
37334MNRFR1810W,47103,TN,0,C,335222.0,1,1,335.0,1.0,33.0,335.0,3352.0
37347VRFRM1134I,47115,TN,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
37409PBSCN317WA,47065,TN,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
37148CHLLN200CH,47165,TN,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
