TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
77507SPTNC11414,48201,TX,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
75693DMFGN1103C,48183,TX,0,C,331525.0,1,1,331.0,1.0,33.0,331.0,3315.0
75693DMFGN1103C,48183,TX,0,C,332710.0,2,0,332.0,1.0,33.0,332.0,3327.0
76010LNSPP120FA,48439,TX,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
76513BLCMN2303E,48027,TX,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
76179CRGLL401EI,48439,TX,0,C,311211.0,1,1,311.0,1.0,31.0,311.0,3112.0
77590PRXRN172GR,48167,TX,0,C,325120.0,1,1,325.0,1.0,32.0,325.0,3251.0
76106VLKSW4401B,48439,TX,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
79107PLNSD300NT,48375,TX,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
76111WRMDW2555N,48439,TX,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
76017NTNLS1111W,48439,TX,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
77008NTNLF330W2,48201,TX,0,C,333132.0,1,1,333.0,1.0,33.0,333.0,3331.0
77008NTNLF330W2,48201,TX,0,C,332111.0,2,0,332.0,1.0,33.0,332.0,3321.0
76354MRNFB1004A,48485,TX,0,C,326122.0,1,1,326.0,1.0,32.0,326.0,3261.0
78611TMNCX706HO,48053,TX,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
77520NTRLG3601D,48201,TX,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
77086KCHTT6611K,48201,TX,0,C,332618.0,1,1,332.0,1.0,33.0,332.0,3326.0
