TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
84088TTSNS4980W,49035,UT,0,C,311612.0,1,1,311.0,1.0,31.0,311.0,3116.0
84062GLBLC200WE,49049,UT,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
84119RDTHR361S3,49035,UT,0,C,322299.0,1,1,322.0,1.0,32.0,322.0,3222.0
84016TLTYT1111S,49011,UT,0,C,336212.0,1,1,336.0,1.0,33.0,336.0,3362.0
84720MRCNZ10622,49021,UT,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
84014SYRST950WE,49011,UT,1,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
84119RBBRN3459S,49035,UT,0,C,326291.0,1,1,326.0,1.0,32.0,326.0,3262.0
84624GRYMN32MIL,49027,UT,0,C,212312.0,1,1,999.0,0.0,21.0,212.0,2123.0
84624GRYMN32MIL,49027,UT,0,C,327410.0,1,1,327.0,1.0,32.0,327.0,3274.0
84751MRPHY585E6,49001,UT,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
84016SHLNDFREEP,49011,UT,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
84335STKRP250N3,49005,UT,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
84037KYSVL376N6,49011,UT,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
84088PPRCL8556S,49035,UT,0,C,332999.0,1,1,332.0,1.0,33.0,332.0,3329.0
84087VLLYP727SO,49011,UT,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
84104CHLTD331W9,49035,UT,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
84104MDWGL3730W,49035,UT,0,C,311511.0,1,1,311.0,1.0,31.0,311.0,3115.0
84057LRCHN1165N,49049,UT,1,C,325311.0,1,1,325.0,1.0,32.0,325.0,3253.0
84119PRKRP2220S,49035,UT,0,C,339999.0,1,1,339.0,1.0,33.0,339.0,3399.0
84119PRKRP2220S,49035,UT,0,C,326199.0,2,0,326.0,1.0,32.0,326.0,3261.0
84074TLRMYSDSTE,49045,UT,0,F,928110.0,1,1,999.0,0.0,92.0,928.0,9281.0
84087CHMCN2465S,49011,UT,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
84104PLKNG1225S,49035,UT,0,C,332813.0,1,1,332.0,1.0,33.0,332.0,3328.0
84116CMPQN620NO,49035,UT,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
84720CRRCP888N5,49021,UT,1,C,331421.0,1,1,331.0,1.0,33.0,331.0,3314.0
84404WSTRN10000,49057,UT,0,C,331419.0,1,1,331.0,1.0,33.0,331.0,3314.0
84404WSTRN10000,49057,UT,0,C,331491.0,2,0,331.0,1.0,33.0,331.0,3314.0
84302MRTNT9160N,49003,UT,0,C,336415.0,1,1,336.0,1.0,33.0,336.0,3364.0
84402HCDYC450EX,49057,UT,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
