TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
24590NRYLGBIRDS,51003,VA,0,C,314992.0,1,1,314.0,1.0,31.0,314.0,3149.0
22844HWLLM574DE,51171,VA,0,C,331423.0,1,1,331.0,1.0,33.0,331.0,3314.0
20175BRBRR110CA,51107,VA,0,C,321911.0,1,1,321.0,1.0,32.0,321.0,3219.0
23301PRDNCROUTE,51001,VA,0,C,311615.0,1,1,311.0,1.0,31.0,311.0,3116.0
23301PRDNCROUTE,51001,VA,0,C,311613.0,2,0,311.0,1.0,31.0,311.0,3116.0
24064GNRLS770WE,51023,VA,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
23860HPRWL1114H,51149,VA,0,C,221119.0,1,1,2211.0,1.0,22.0,221.0,2211.0
23860HPRWL1114H,51149,VA,0,C,221330.0,2,0,999.0,1.0,22.0,221.0,2213.0
24210FGCTN1837A,51191,VA,0,C,327211.0,1,1,327.0,1.0,32.0,327.0,3272.0
24477LCBLDRTE90,51015,VA,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
24506DVSPN3420C,51680,VA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
22931NTRNTROUTE,51003,VA,0,C,333415.0,1,1,333.0,1.0,33.0,333.0,3334.0
22630DPNTFPOBOX,51187,VA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
22630DPNTFPOBOX,51187,VA,0,C,325211.0,2,0,325.0,1.0,32.0,325.0,3252.0
24112VRGNM300MO,51089,VA,0,C,327215.0,1,1,327.0,1.0,32.0,327.0,3272.0
23681NSLNGHUNSA,51650,VA,0,F,927110.0,1,1,999.0,0.0,92.0,927.0,9271.0
24501SLCMC1409B,51680,VA,0,C,325520.0,1,1,325.0,1.0,32.0,325.0,3255.0
23324CRGLL501BA,51550,VA,0,C,311222.0,1,1,311.0,1.0,31.0,311.0,3112.0
24153MHWKR1500I,51161,VA,0,C,326211.0,1,1,326.0,1.0,32.0,326.0,3262.0
24151RNLNC510OR,51067,VA,0,C,313312.0,1,1,313.0,1.0,31.0,313.0,3133.0
23606CNNVR12000,51700,VA,0,C,334119.0,1,1,334.0,1.0,33.0,334.0,3341.0
24517PDMNT205FR,51031,VA,0,C,336399.0,1,1,336.0,1.0,33.0,336.0,3363.0
24301PLSKF2065T,51155,VA,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
24382KNGST1150S,51197,VA,0,C,326291.0,1,1,326.0,1.0,32.0,326.0,3262.0
24382KNGST1150S,51197,VA,0,C,325212.0,2,0,325.0,1.0,32.0,325.0,3252.0
24013HKRFR2005G,51770,VA,0,C,337122.0,1,1,337.0,1.0,33.0,337.0,3371.0
22801GMNCT3333W,51660,VA,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
22701QRLSP15427,51047,VA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
22403QRLSP3300B,51630,VA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
22630QRLSP195CO,51187,VA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
20109QRLSP8001W,51153,VA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
22601QRLSP779SM,51069,VA,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
24012SMCDC1967B,51161,VA,0,C,332322.0,1,1,332.0,1.0,33.0,332.0,3323.0
20138CHMTR4295C,51061,VA,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
23022BRMPWRTE65,51065,VA,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
23228MNVLL7400R,51087,VA,0,C,339999.0,1,1,339.0,1.0,33.0,339.0,3399.0
