TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
00851HSSLVLIMET,78010,VI,0,C,324110,1,1,324.0,1.0,32,324,3241
00803STTHMBLDG1,78030,VI,0,C,424710,1,1,4247.0,1.0,42,424,4247
00851VRGNSESTAT,78010,VI,0,C,331311,1,1,331.0,1.0,33,331,3313
00804SSSTTCYRIL,78030,VI,0,C,424710,1,1,4247.0,1.0,42,424,4247
00821VRGNSESTAT,78010,VI,0,C,221112,1,1,2211.0,1.0,22,221,2211
00821VRGNSESTAT,78010,VI,0,C,221119,1,1,2211.0,1.0,22,221,2211
00830SNTLP13CRU,78020,VI,0,F,924120,1,1,999.0,0.0,92,924,9241
00841VRGNSESTAT,78010,VI,0,C,312140,1,1,3121.0,1.0,31,312,3121
00851GNTTH1ESTA,78010,VI,0,C,325193,1,1,325.0,1.0,32,325,3251
00804VRGNSKRUMB,78030,VI,0,C,221112,1,1,2211.0,1.0,22,221,2211
00804VRGNSKRUMB,78030,VI,0,C,221119,1,1,2211.0,1.0,22,221,2211
0080WHVYMT7865E,78030,VI,0,C,327320,1,1,327.0,1.0,32,327,3273
0082WHVYMT91EST,78010,VI,0,C,327320,1,1,327.0,1.0,32,327,3273
