TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
05404YRKCP450WE,50007,VT,0,C,334414,1,1,334.0,1.0,33,334,3344
05488CRGLL100JO,50011,VT,0,C,311119,1,1,311.0,1.0,31,311,3111
05468WYTHNGEORG,50011,VT,0,C,311514,1,1,311.0,1.0,31,311,3115
05301WNTRPRR5PO,50025,VT,0,C,326150,1,1,326.0,1.0,32,326,3261
05495BLDGT290BO,50007,VT,0,C,333319,1,1,333.0,1.0,33,333,3333
05491HRCLSPANTO,50001,VT,0,C,336413,1,1,336.0,1.0,33,336,3364
05491HRCLSPANTO,50001,VT,0,C,336419,2,0,336.0,1.0,33,336,3364
05491HRCLSPANTO,50001,VT,0,C,334519,1,1,334.0,1.0,33,334,3345
05491HRCLSPANTO,50001,VT,0,C,332912,1,1,332.0,1.0,33,332,3329
05488NWNGLLAKES,50011,VT,0,C,331511,1,1,331.0,1.0,33,331,3315
05401HPHDN187SO,50007,VT,0,C,311511,1,1,311.0,1.0,31,311,3115
05401GNRLLLAKES,50007,VT,0,C,332994,1,1,332.0,1.0,33,332,3329
05401GNRLLINDUS,50007,VT,0,C,332994,1,1,332.0,1.0,33,332,3329
05468VRMNTGEORG,50011,VT,1,C,311514,1,1,311.0,1.0,31,311,3115
05468VRMNTGEORG,50011,VT,1,C,311511,1,1,311.0,1.0,31,311,3115
05748WYRHSRTE10,50001,VT,0,C,321211,1,1,321.0,1.0,32,321,3212
05089WNSRMROUTE,50027,VT,0,C,327992,1,1,327.0,1.0,32,327,3279
05101MLSRCRTE5S,50025,VT,0,C,326199,1,1,326.0,1.0,32,326,3261
05201JRDCNBOWEN,50003,VT,1,C,334414,1,1,334.0,1.0,33,334,3344
05201JHNSNROUTE,50003,VT,1,C,335911,1,1,335.0,1.0,33,335,3359
05150DLNTFPIPER,50027,VT,0,C,311511,1,1,311.0,1.0,31,311,3115
05446HZLTT217LA,50007,VT,0,C,333298,1,1,333.0,1.0,33,333,3332
05446HZLTT217LA,50007,VT,0,C,333249,1,1,333.0,1.0,33,333,3332
05446HZLTT217LA,50007,VT,0,C,333249,2,0,333.0,1.0,33,333,3332
05452BMXXX1000R,50007,VT,0,C,334413,1,1,334.0,1.0,33,334,3344
05451CPRNDTHOMP,50007,VT,0,C,335931,1,1,335.0,1.0,33,335,3359
05451CPRNDTHOMP,50007,VT,0,C,331422,1,1,331.0,1.0,33,331,3314
05482BLDGTHARBO,50007,VT,0,C,333319,1,1,333.0,1.0,33,333,3333
05764JYMRS28FSC,50021,VT,1,C,336991,1,1,336.0,1.0,33,336,3369
05250MCKML79EAR,50003,VT,0,C,326199,1,1,326.0,1.0,32,326,3261
05301CBRDLQUINN,50025,VT,0,C,325510,1,1,325.0,1.0,32,325,3255
05257CHMCL13WAT,50003,VT,0,C,313320,1,1,313.0,1.0,31,313,3133
05759GNRLL16WIN,50021,VT,0,C,336412,1,1,336.0,1.0,33,336,3364
05759GNRLL16WIN,50021,VT,0,C,333611,2,0,333.0,1.0,33,333,3336
05745NWNGLRT53X,50021,VT,0,C,337122,1,1,337.0,1.0,33,337,3371
05701SSMCCWINDC,50021,VT,0,C,335932,1,1,335.0,1.0,33,335,3359
05701SSMCCWINDC,50021,VT,0,C,322299,1,1,322.0,1.0,32,322,3222
05847VRMNTRR1BO,50019,VT,1,C,336340,1,1,336.0,1.0,33,336,3363
05851VRMNT79MAI,50005,VT,0,C,333515,1,1,333.0,1.0,33,333,3335
05851VRMNT79MAI,50005,VT,0,C,333512,1,1,333.0,1.0,33,333,3335
05860RLNSDRAILR,50019,VT,0,C,337122,1,1,337.0,1.0,33,337,3371
05301NTDCRONETE,50025,VT,0,C,334412,1,1,334.0,1.0,33,334,3344
05301NTDCRONETE,50025,VT,0,C,334220,1,1,334.0,1.0,33,334,3342
05461NTRNTPOBOX,50007,VT,0,C,311513,1,1,311.0,1.0,31,311,3115
05454MLTNB293FL,50011,VT,0,C,321999,1,1,321.0,1.0,32,321,3219
05830NNBTTBAXTE,50019,VT,0,C,325510,1,1,325.0,1.0,32,325,3255
05830NNBTTBAXTE,50019,VT,0,C,333515,1,1,333.0,1.0,33,333,3335
05488NTRTC50BRO,50011,VT,0,C,325320,1,1,325.0,1.0,32,325,3253
05478SPRRTSTALB,50011,VT,0,C,327113,1,1,327.0,1.0,32,327,3271
05201TNSTRWESTR,50003,VT,0,C,334416,1,1,334.0,1.0,33,334,3344
05201TNSTRWESTR,50003,VT,0,C,334414,1,1,334.0,1.0,33,334,3344
05301BSCSCBRUDI,50025,VT,0,C,322130,1,1,322.0,1.0,32,322,3221
05301BSCSCBRUDI,50025,VT,0,C,322222,2,0,322.0,1.0,32,322,3222
05301BSCSCBRUDI,50025,VT,0,C,322226,3,0,322.0,1.0,32,322,3222
05301BSCSCBRUDI,50025,VT,0,C,322226,2,0,322.0,1.0,32,322,3222
05301BSCSCBRUDI,50025,VT,0,C,322222,3,0,322.0,1.0,32,322,3222
05478STLBN140FE,50011,VT,0,C,311512,1,1,311.0,1.0,31,311,3115
05478STLBN140FE,50011,VT,0,C,311511,1,1,311.0,1.0,31,311,3115
05478STLBN140FE,50011,VT,0,C,311514,2,0,311.0,1.0,31,311,3115
05089GRNMNWINDS,50027,VT,1,C,326199,1,1,326.0,1.0,32,326,3261
05089GRNMNWINDS,50027,VT,1,C,327112,1,1,327.0,1.0,32,327,3271
05753CBTGR100EX,50001,VT,0,C,311513,1,1,311.0,1.0,31,311,3115
05753CBTGR100EX,50001,VT,0,C,311514,2,0,,,31,311,3115
05753CBTGR100EX,50001,VT,0,C,311514,2,0,311.0,1.0,31,311,3115
05363GSPRCWESTR,50025,VT,0,C,332721,1,1,332.0,1.0,33,332,3327
05201VRDYB401GA,50003,VT,0,C,335912,1,1,335.0,1.0,33,335,3359
05201VRDYB401GA,50003,VT,0,C,335999,1,1,335.0,1.0,33,335,3359
05641HPHDB219AL,50023,VT,0,C,311511,1,1,311.0,1.0,31,311,3115
05262STNLYROUTE,50003,VT,0,C,332212,1,1,332.0,1.0,33,332,3322
05482THSHLRTE7S,50007,VT,0,C,339920,1,1,339.0,1.0,33,339,3399
05482THSHLRTE7S,50007,VT,0,C,332116,1,1,332.0,1.0,33,332,3321
05101WHTNYINDUS,50025,VT,0,C,335931,1,1,335.0,1.0,33,335,3359
05101WHTNYINDUS,50025,VT,0,C,335129,1,1,335.0,1.0,33,335,3351
05156BRYNT257CL,50027,VT,0,C,333512,1,1,333.0,1.0,33,333,3335
05819HVWDMUSROU,50005,VT,0,C,322130,1,1,322.0,1.0,32,322,3221
05647CBTFRBOX12,50023,VT,0,C,311513,1,1,311.0,1.0,31,311,3115
05701RTLNDRIPLE,50021,VT,0,C,321211,1,1,321.0,1.0,32,321,3212
05156FLLWSPRECI,50027,VT,0,C,333512,1,1,333.0,1.0,33,333,3335
05478BNJRR900IN,50011,VT,0,C,311520,1,1,311.0,1.0,31,311,3115
05346PTNYPMAINS,50025,VT,0,C,322121,1,1,322.0,1.0,32,322,3221
05446CHMPLHERCU,50007,VT,0,C,335929,1,1,335.0,1.0,33,335,3359
05446CHMPLHERCU,50007,VT,0,C,331491,1,1,331.0,1.0,33,331,3314
05446CHMPLHERCU,50007,VT,0,C,331319,1,1,331.0,1.0,33,331,3313
05476BLSLFELEVA,50011,VT,0,C,311111,1,1,311.0,1.0,31,311,3111
05476BLSLFELEVA,50011,VT,0,C,311119,1,1,311.0,1.0,31,311,3111
05476BLSLFELEVA,50011,VT,0,C,311111,2,0,311.0,1.0,31,311,3111
05476BLSLFELEVA,50011,VT,0,C,311119,2,0,311.0,1.0,31,311,3111
05476BLSLFELEVA,50011,VT,0,C,311111,2,0,,,31,311,3111
05478FNDGR1521L,50011,VT,0,C,322215,1,1,322.0,1.0,32,322,3222
05855NWPRTDERBY,50019,VT,0,C,326199,1,1,326.0,1.0,32,326,3261
05201BNMNTBENMO,50003,VT,1,C,323111,1,1,323.0,1.0,32,323,3231
05301GSPRC101JO,50025,VT,0,C,336413,1,1,336.0,1.0,33,336,3364
05733DWTYLPROSP,50021,VT,0,C,334412,1,1,334.0,1.0,33,334,3344
05733DWTYLPROSP,50021,VT,0,C,334220,1,1,334.0,1.0,33,334,3342
05733DWTYLPROSP,50021,VT,0,C,335999,1,1,335.0,1.0,33,335,3359
05701MRBSNSEWAR,50021,VT,0,C,323116,1,1,323.0,1.0,32,323,3231
05142MCKMLRTE13,50027,VT,0,C,326199,1,1,326.0,1.0,32,326,3261
05201BJRLB50KOC,50003,VT,0,C,333999,1,1,333.0,1.0,33,333,3339
05762STNLY3950R,50021,VT,1,C,332212,1,1,332.0,1.0,33,332,3322
05488LCLLFPOBOX,50011,VT,0,C,311513,1,1,311.0,1.0,31,311,3115
05478BRTKN110LA,50011,VT,0,C,326199,1,1,326.0,1.0,32,326,3261
05478BRTKN110LA,50011,VT,0,C,322222,1,1,322.0,1.0,32,322,3222
05478BRTKN110LA,50011,VT,0,C,326130,1,1,326.0,1.0,32,326,3261
05478BRTKN110LA,50011,VT,0,C,325412,1,1,325.0,1.0,32,325,3254
05478BRTKN110LA,50011,VT,0,C,325412,2,0,325.0,1.0,32,325,3254
05478BRTKN110LA,50011,VT,0,C,322220,1,1,322.0,1.0,32,322,3222
05403SRFRC105NC,50007,VT,0,F,115310,1,1,999.0,0.0,11,115,1153
05403SRFRC105NC,50007,VT,0,F,928110,1,1,999.0,0.0,92,928,9281
05346PTNYPOLDDE,50025,VT,0,C,322121,1,1,322.0,1.0,32,322,3221
05346PTNYPOLDDE,50025,VT,0,C,322291,2,0,322.0,1.0,32,322,3222
05851MRDNNRT122,50005,VT,1,C,332999,1,1,332.0,1.0,33,332,3329
05402DLNDC159IN,50007,VT,0,C,333294,1,1,333.0,1.0,33,333,3332
05846THNLLRRNO1,50009,VT,0,C,337122,1,1,337.0,1.0,33,337,3371
05902THNLLMAINS,50009,VT,0,C,337122,1,1,337.0,1.0,33,337,3371
05902THNLLMAINS,50009,VT,0,C,321113,2,0,321.0,1.0,32,321,3211
05641SFTYK23WSE,50023,VT,0,C,562112,1,1,562.0,1.0,56,562,5621
05641SFTYK23WSE,50023,VT,0,C,484230,2,0,999.0,0.0,48,484,4842
05641SFTYK23WSE,50023,VT,0,C,484220,3,0,999.0,0.0,48,484,4842
05641SFTYK23WSE,50023,VT,0,C,484220,2,0,999.0,0.0,48,484,4842
05641SFTYK23WSE,50023,VT,0,C,484230,3,0,999.0,0.0,48,484,4842
05641SFTYK23WSE,50023,VT,0,C,484220,2,0,,,48,484,4842
05641SFTYK23WSE,50023,VT,0,C,484230,3,0,,,48,484,4842
05257KRNPT441WA,50003,VT,0,C,335921,1,1,335.0,1.0,33,335,3359
05753KRFTN500EX,50001,VT,0,C,311513,1,1,311.0,1.0,31,311,3115
05478GWYNC79WAL,50011,VT,0,C,311119,1,1,311.0,1.0,31,311,3111
05478GWYNC79WAL,50011,VT,0,C,312130,1,1,3121.0,1.0,31,312,3121
05089SCTNY2637U,50027,VT,0,C,332721,1,1,332.0,1.0,33,332,3327
05764FRSTL212ID,50021,VT,0,C,335110,1,1,335.0,1.0,33,335,3351
05465SRMYTETHAN,50007,VT,0,F,928110,1,1,999.0,0.0,92,928,9281
05446SRMYC789VE,50007,VT,0,F,928110,1,1,999.0,0.0,92,928,9281
05701RVNGL148SP,50021,VT,0,C,424710,1,1,4247.0,1.0,42,424,4247
0581WPKNDS2884D,50005,VT,0,C,324121,1,1,324.0,1.0,32,324,3241
05301FLFLXPUTNE,50025,VT,0,C,326299,1,1,326.0,1.0,32,326,3262
0549WPKNDS346AV,50007,VT,0,C,324121,1,1,324.0,1.0,32,324,3241
05701QSTCH92PAR,50021,VT,0,C,326199,1,1,326.0,1.0,32,326,3261
05401GLBLP2FLYN,50007,VT,0,C,424710,1,1,4247.0,1.0,42,424,4247
05641RVNGL24SMI,50023,VT,0,C,424710,1,1,4247.0,1.0,42,424,4247
05403CPRCN6GREE,50007,VT,0,C,335314,1,1,335.0,1.0,33,335,3353
0573WPKNDS2275R,50021,VT,0,C,324121,1,1,324.0,1.0,32,324,3241
05701GNRLL210CO,50021,VT,0,C,336412,1,1,336.0,1.0,33,336,3364
05701GNRLL210CO,50021,VT,0,C,333611,2,0,333.0,1.0,33,333,3336
05904GRGPCRIVER,50009,VT,0,C,322121,1,1,322.0,1.0,32,322,3221
05951NRTHSAIRPO,50005,VT,1,C,332212,1,1,332.0,1.0,33,332,3322
05902THNLLMAINS,50009,VT,0,C,321113,2,0,,,32,321,3211
05647CBTFRBOX12,50023,VT,0,C,311512,1,1,311.0,1.0,31,311,3115
05678BMBRDPITMA,50023,VT,0,C,336510,1,1,336.0,1.0,33,336,3365
05060THNLLHULLS,50017,VT,0,C,337125,1,1,337.0,1.0,33,337,3371
05060THNLLHULLS,50017,VT,0,C,321999,1,1,321.0,1.0,32,321,3219
05042CPMNCCHURC,50005,VT,0,C,322121,1,1,322.0,1.0,32,322,3221
05868KRFTNMILLS,50019,VT,0,C,311513,1,1,311.0,1.0,31,311,3115
05743SKYLNHWY22,50021,VT,0,C,321991,1,1,321.0,1.0,32,321,3219
0547WPKNDS326CA,50001,VT,0,C,324121,1,1,324.0,1.0,32,324,3241
05485BSCSCMILLS,50011,VT,0,C,322130,1,1,322.0,1.0,32,322,3221
