TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
99207TRVSPE1413,53063,WA,0,C,331521.0,1,1,331.0,1.0,33.0,331.0,3315.0
99207TRVSPE1413,53063,WA,0,C,332999.0,2,0,332.0,1.0,33.0,332.0,3329.0
99301NVRSL960GL,53021,WA,0,C,311411.0,1,1,311.0,1.0,31.0,311.0,3114.0
98671LLWTH725S3,53011,WA,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
98625KLMCH1296N,53015,WA,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
98421BRLNG1701E,53053,WA,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
98421BRLNG1701E,53053,WA,0,C,562112.0,2,0,562.0,1.0,56.0,562.0,5621.0
98032BRLNG20245,53033,WA,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
98032BRLNG20245,53033,WA,0,C,562219.0,2,0,562.0,1.0,56.0,562.0,5622.0
98032BRLNG20245,53033,WA,0,C,562112.0,3,0,562.0,1.0,56.0,562.0,5621.0
98032BRLNG20245,53033,WA,0,C,562111.0,4,0,999.0,0.0,56.0,562.0,5621.0
98421SLPRN1825A,53053,WA,0,C,562211.0,1,1,562.0,1.0,56.0,562.0,5622.0
98421GLCRN3601T,53053,WA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
98155GLCRN6423N,53033,WA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
98327GLCRN4301P,53053,WA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
98134GLCRN5975E,53033,WA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
98205GLCRN2222R,53061,WA,0,C,327320.0,1,1,327.0,1.0,32.0,327.0,3273.0
99215KSRLME1500,53063,WA,0,C,331315.0,1,1,331.0,1.0,33.0,331.0,3313.0
98682SHMRC4111N,53011,WA,0,C,334413.0,1,1,334.0,1.0,33.0,334.0,3344.0
98248CRGLL57443,53073,WA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
98932FRNDL7RUEH,53077,WA,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
98108PRSRV54005,53033,WA,1,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
98005PRNTD13221,53033,WA,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
98203BNGCM3003W,53061,WA,0,C,336411.0,1,1,336.0,1.0,33.0,336.0,3364.0
98001TNLCT16415,53033,WA,0,C,335313.0,1,1,335.0,1.0,33.0,335.0,3353.0
98507CNTNN1202F,53067,WA,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
99362KYTCH150AV,53071,WA,0,C,333111.0,1,1,333.0,1.0,33.0,333.0,3331.0
99362KYTCH150AV,53071,WA,0,C,333294.0,2,0,333.0,1.0,33.0,333.0,3332.0
99163SCHWT2350N,53075,WA,0,C,334515.0,1,1,334.0,1.0,33.0,334.0,3345.0
