TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
53209CMMRC3420W,55079,WI,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
53218CMMRC5611W,55079,WI,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
54611WSCNROUTEX,55011,WI,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
54004WSCNSMAINA,55095,WI,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
53925MRCNP850WE,55021,WI,0,C,323111.0,1,1,323.0,1.0,32.0,323.0,3231.0
53711SBZRF4717H,55025,WI,0,C,335222.0,1,1,335.0,1.0,33.0,335.0,3352.0
53719SBZRF6061B,55025,WI,0,C,335222.0,1,1,335.0,1.0,33.0,335.0,3352.0
53719WLFPP2866B,55025,WI,0,C,335221.0,1,1,335.0,1.0,33.0,335.0,3352.0
53126NCNCX3725N,55101,WI,0,C,335999.0,1,1,335.0,1.0,33.0,335.0,3359.0
54303PRCHM306SP,55009,WI,0,C,325612.0,1,1,325.0,1.0,32.0,325.0,3256.0
53072NRTHR845HI,55133,WI,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
53186HLMNF1231T,55133,WI,0,C,336322.0,1,1,336.0,1.0,33.0,336.0,3363.0
53223BDGRM4545W,55079,WI,0,C,334514.0,1,1,334.0,1.0,33.0,334.0,3345.0
54162NDSTRROUTE,55009,WI,0,C,333291.0,1,1,333.0,1.0,33.0,333.0,3332.0
54880MSLNC2206W,55031,WI,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
53186PLYDY1606P,55055,WI,0,C,325211.0,1,1,325.0,1.0,32.0,325.0,3252.0
53098TWBLTW6331,55027,WI,0,C,332722.0,1,1,332.0,1.0,33.0,332.0,3327.0
53142RNSNF33036,55059,WI,0,C,331513.0,1,1,331.0,1.0,33.0,331.0,3315.0
53190NVRSL640NP,55055,WI,0,C,334418.0,1,1,334.0,1.0,33.0,334.0,3344.0
53536BKRMN133EN,55105,WI,0,C,331511.0,1,1,331.0,1.0,33.0,331.0,3315.0
54453WSCNS2294R,55073,WI,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
54956NNHPP135NC,55139,WI,0,C,322121.0,1,1,322.0,1.0,32.0,322.0,3221.0
53154LCTRT7745S,55079,WI,0,C,334412.0,1,1,334.0,1.0,33.0,334.0,3344.0
53211WSCNS1514E,55079,WI,0,C,322130.0,1,1,322.0,1.0,32.0,322.0,3221.0
53151CLLGL15805,55133,WI,0,C,322222.0,1,1,322.0,1.0,32.0,322.0,3222.0
53092THRMS6411W,55089,WI,0,C,327999.0,1,1,327.0,1.0,32.0,327.0,3279.0
54487NKSPCN9090,55069,WI,0,C,322130.0,1,1,322.0,1.0,32.0,322.0,3221.0
53058DCKTNN44W3,55133,WI,0,C,326199.0,1,1,326.0,1.0,32.0,326.0,3261.0
54729NRTHRRTE3H,55017,WI,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
54140CRGLL1800E,55087,WI,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
54027WSCNS487HW,00000,WI,0,C,311513.0,1,1,311.0,1.0,31.0,311.0,3115.0
53142MTTHW82011,55059,WI,0,C,325510.0,1,1,325.0,1.0,32.0,325.0,3255.0
54901RRWHD3255M,55139,WI,0,C,333922.0,1,1,333.0,1.0,33.0,333.0,3339.0
