TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
26716CSTLLRTE1B,54077,WV,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
26222CSTLLWVRTE,54101,WV,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
26259CSTLLHWY25,54083,WV,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
26201CSTLLFIFTH,54097,WV,0,C,321113.0,1,1,321.0,1.0,32.0,321.0,3211.0
26836WMPLRHWY22,54031,WV,0,C,311119.0,1,1,311.0,1.0,31.0,311.0,3111.0
26287KNGSFPOBOX,54093,WV,0,C,325191.0,1,1,325.0,1.0,32.0,325.0,3251.0
26726KNGSFRTE46,54057,WV,0,C,325191.0,1,1,325.0,1.0,32.0,325.0,3251.0
26588RVSVLJACKS,54049,WV,1,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
26134PLSNTNO1PO,54073,WV,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
26366HRRSNRTE20,54033,WV,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
26541FRTMRRTE53,54061,WV,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
26205JLDWN600JE,54067,WV,0,C,321219.0,1,1,321.0,1.0,32.0,321.0,3212.0
26555LCNRLSPEED,54049,WV,0,C,331315.0,1,1,331.0,1.0,33.0,331.0,3313.0
25401CNTNN154CH,54003,WV,0,C,327121.0,1,1,327.0,1.0,32.0,327.0,3271.0
26720NRTHB2000E,54023,WV,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
26739MTSTRHC76B,54023,WV,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
25143PBSCHPLANT,54039,WV,0,C,424690.0,1,1,4246.0,1.0,42.0,424.0,4246.0
26726LLGNYWESTV,54057,WV,0,C,336415.0,1,1,336.0,1.0,33.0,336.0,3364.0
26726LLGNYWESTV,54057,WV,0,C,336413.0,2,0,336.0,1.0,33.0,336.0,3364.0
26726LLGNYWESTV,54057,WV,0,C,332993.0,3,0,332.0,1.0,33.0,332.0,3329.0
25401KRPLS2011M,54003,WV,0,C,326191.0,1,1,326.0,1.0,32.0,326.0,3261.0
25705JHFLT402HI,54011,WV,0,C,333131.0,1,1,333.0,1.0,33.0,333.0,3331.0
25401CLBNC942BA,54003,WV,0,C,325611.0,1,1,325.0,1.0,32.0,325.0,3256.0
25915LFTFRRTE33,54081,WV,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
26323CRCRBPHILI,54033,WV,0,C,335991.0,1,1,335.0,1.0,33.0,335.0,3359.0
25112RHNPLROUTE,54039,WV,1,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
25112RHNPLROUTE,54039,WV,1,C,325199.0,2,0,325.0,1.0,32.0,325.0,3251.0
26062NCHRH3011B,54009,WV,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
25031PPLCHUSRTE,54019,WV,0,C,212112.0,1,1,2121.0,1.0,21.0,212.0,2121.0
26155MBYCRSTATE,54051,WV,0,C,325110.0,1,1,325.0,1.0,32.0,325.0,3251.0
26155MBYCRSTATE,54051,WV,0,C,325211.0,2,0,325.0,1.0,32.0,325.0,3252.0
26155MBYCRSTATE,54051,WV,0,C,325199.0,3,0,325.0,1.0,32.0,325.0,3251.0
26155MBYCRSTATE,54051,WV,0,C,325192.0,4,0,325.0,1.0,32.0,325.0,3251.0
26155MBYCRSTATE,54051,WV,0,C,325188.0,5,0,325.0,1.0,32.0,325.0,3251.0
25401GRFFTBOYDA,54037,WV,0,C,454311.0,1,1,999.0,0.0,45.0,454.0,4543.0
25414GRFFTMARTI,54037,WV,0,C,454311.0,1,1,999.0,0.0,45.0,454.0,4543.0
25428GRDNFI81TA,54003,WV,0,C,327993.0,1,1,327.0,1.0,32.0,327.0,3279.0
25704CNTRY12013,54011,WV,0,C,324191.0,1,1,324.0,1.0,32.0,324.0,3241.0
26134MRCNC1DUGG,54073,WV,0,C,325411.0,1,1,325.0,1.0,32.0,325.0,3254.0
25314XXNCHSTAND,54039,WV,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
25143CTLYS1580F,54039,WV,0,C,339991.0,1,1,339.0,1.0,33.0,339.0,3399.0
24874KPLRPRTE97,54109,WV,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
26836MRCNW587RB,54031,WV,0,C,337110.0,1,1,337.0,1.0,33.0,337.0,3371.0
26003SFTYK10IND,54069,WV,0,C,562112.0,1,1,562.0,1.0,56.0,562.0,5621.0
26003SFTYK10IND,54069,WV,0,C,484230.0,2,0,999.0,0.0,48.0,484.0,4842.0
26003SFTYK10IND,54069,WV,0,C,484220.0,3,0,999.0,0.0,48.0,484.0,4842.0
25159WSTVRWRIGH,54079,WV,0,C,332312.0,1,1,332.0,1.0,33.0,332.0,3323.0
25303CWSTV437MA,54039,WV,0,C,325199.0,1,1,325.0,1.0,32.0,325.0,3251.0
26037WHLNGPENNM,54009,WV,0,C,332812.0,1,1,332.0,1.0,33.0,332.0,3328.0
24701FSRCNRTE29,54055,WV,0,C,325991.0,1,1,325.0,1.0,32.0,325.0,3259.0
26505MRGNT555BE,54061,WV,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
25438NVRSLPOBOX,54037,WV,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
25070DMNDLSTRT6,54079,WV,0,C,336350.0,1,1,336.0,1.0,33.0,336.0,3363.0
25419DPNTPROUTE,54003,WV,0,C,325998.0,1,1,325.0,1.0,32.0,325.0,3259.0
