TRIFID,COUNTYGEOID,STUSPS,FAC_CLOSED_IND,ASGN_FEDERAL_IND,NAICS_CODE,NAICS_SEQUENCE_NUM,PRIMARY_IND,INDUSTRY_CODE,COVERED_NAICS,NAICS_SECTOR,NAICS_SUBSECTOR,NAICS_GROUP
82716KFXFL3574G,56005,WY,0,C,324199.0,1,1,324.0,1.0,32.0,324.0,3241.0
82716KFXFL3574G,56005,WY,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
82401CRWNC4THST,56043,WY,0,C,332431.0,1,1,332.0,1.0,33.0,332.0,3324.0
82801WYMNG2264I,56033,WY,0,C,321114.0,1,1,321.0,1.0,32.0,321.0,3211.0
82401HLLYS300FI,56043,WY,0,C,311313.0,1,1,311.0,1.0,31.0,311.0,3113.0
82713BHPLS3363H,56045,WY,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
82716NLSMP13151,56005,WY,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
82732NRTHN339AA,56005,WY,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
82901CHVRN525SH,56037,WY,0,C,325312.0,1,1,325.0,1.0,32.0,325.0,3253.0
82701WYMNG740WE,56045,WY,0,C,324110.0,1,1,324.0,1.0,32.0,324.0,3241.0
82240HLLYSUSHIG,56015,WY,0,C,311313.0,1,1,311.0,1.0,31.0,311.0,3113.0
82942JMBRD9MILE,56037,WY,0,C,221111.0,1,1,2211.0,1.0,22.0,221.0,2211.0
82942JMBRD9MILE,56037,WY,0,C,212111.0,2,0,2121.0,1.0,21.0,212.0,2121.0
82942JMBRD9MILE,56037,WY,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
82942JMBRD9MILE,56037,WY,0,C,212111.0,2,0,,,21.0,212.0,2121.0
82942JMBRD9MILE,56037,WY,0,C,212112.0,2,0,2121.0,1.0,21.0,212.0,2121.0
82942JMBRD9MILE,56037,WY,0,C,221119.0,1,1,2211.0,1.0,22.0,221.0,2211.0
82007WYZNC475CO,56021,WY,0,C,325188.0,1,1,325.0,1.0,32.0,325.0,3251.0
82007WYZNC475CO,56021,WY,0,C,325320.0,1,1,325.0,1.0,32.0,325.0,3253.0
83101NGHTN5MISO,56023,WY,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
82717PWDRR12433,56005,WY,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
82717PWDRR2298B,56005,WY,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
82718TRTNC510RE,56005,WY,0,C,212111.0,1,1,2121.0,1.0,21.0,212.0,2121.0
82716WSTRNEXIT2,56005,WY,0,C,325920.0,1,1,325.0,1.0,32.0,325.0,3259.0
82718WYDKP48WYO,56005,WY,0,C,221112.0,1,1,2211.0,1.0,22.0,221.0,2211.0
82716TRRLN811ED,56005,WY,0,C,335312.0,1,1,335.0,1.0,33.0,335.0,3353.0
82716NLSNB509T7,56005,WY,0,C,325920.0,1,1,325.0,1.0,32.0,325.0,3259.0
82901FLSCH151NI,56037,WY,0,C,424710.0,1,1,4247.0,1.0,42.0,424.0,4247.0
