TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
99611CHVRNMILE2,-151.36700000000002,60.684,False,02,122,000200,02,02122,02122000200,1400000US02122000200,"CHEVRON USA INC., ALASKA REFY.",MILE 22.5 N. RD.,KENAI,AK,99611,"CHEVRON USA INC., ALASKA REFY..MILE 22.5 N. RD., KENAI ALASKA 99611 (KENAI PENINSULA BOROUGH)",1,C,,
99611NCLCHMILE2,-151.379,60.674,False,02,122,000200,02,02122,02122000200,1400000US02122000200,AGRIUM KENAI NITROGEN OPERATIO NS,MILE 21 KENAI SPUR HWY,KENAI,AK,99611,"AGRIUM KENAI NITROGEN OPERATIO NS.MILE 21 KENAI SPUR HWY, KENAI ALASKA 99611 (KENAI PENINSULA BOROUGH)",0,C,,110030488620
99611TSRLSMILE2,-151.36700000000002,60.684,False,02,122,000200,02,02122,02122000200,1400000US02122000200,TESORO ALASKA - KENAI REFINERY,3600 KENAI SPUR HWY,KENAI,AK,99611,"TESORO ALASKA - KENAI REFINERY.3600 KENAI SPUR HWY, KENAI ALASKA 99611 (KENAI PENINSULA BOROUGH)",0,C,,110017413299
99611KNPPLMILE2,-151.393,60.68600000000001,False,02,122,000200,02,02122,02122000200,1400000US02122000200,KENAI PIPE LINE COMPANY-KPL FACILITY,MILE 22.5 KENAI SPUR HWY,KENAI,AK,99611,"KENAI PIPE LINE COMPANY-KPL FACILITY.MILE 22.5 KENAI SPUR HWY, KENAI ALASKA 99611 (KENAI PENINSULA BOROUGH)",0,C,,110064436052
99611TSRLSMILE1,-151.388,60.678999999999995,False,02,122,000200,02,02122,02122000200,1400000US02122000200,TESORO LOGISTICS GP LLC-NIKISKI TERMINAL,MILE 19 KENAI SPUR HWY,KENAI,AK,99611,"TESORO LOGISTICS GP LLC-NIKISKI TERMINAL.MILE 19 KENAI SPUR HWY, KENAI ALASKA 99611 (KENAI PENINSULA BOROUGH)",0,C,,110007919547
99705MPCLS1100H,-147.34799999999998,64.737,False,02,090,001600,02,02090,02090001600,1400000US02090001600,FLINT HILLS RESOURCES ALASKA LLC,1100 H&H LN,NORTH POLE,AK,99705,"FLINT HILLS RESOURCES ALASKA LLC.1100 H&H LN, NORTH POLE ALASKA 99705 (FAIRBANKS NORTH STAR BOROUGH)",0,C,,110044875668
99705PTRST1200H,-147.345,64.733,False,02,090,001600,02,02090,02090001600,1400000US02090001600,PETRO STAR INC NORTH POLE REFINERY,1200 H & H LN,NORTH POLE,AK,99705,"PETRO STAR INC NORTH POLE REFINERY.1200 H & H LN, NORTH POLE ALASKA 99705 (FAIRBANKS NORTH STAR BOROUGH)",0,C,,110055089149
9970WGLDNV119HH,-147.349,64.736,False,02,090,001600,02,02090,02090001600,1400000US02090001600,GOLDEN VALLEY ELECTRIC ASSOC NORTH POLE POWER PLANT,1150 H & H LN,NORTH POLE,AK,99705,"GOLDEN VALLEY ELECTRIC ASSOC NORTH POLE POWER PLANT.1150 H & H LN, NORTH POLE ALASKA 99705 (FAIRBANKS NORTH STAR BOROUGH)",0,C,,110064086509
9970WMLSNP25HLL,-147.393,64.763,False,02,090,001600,02,02090,02090001600,1400000US02090001600,EMULSION PRODUCTS CO - NORTH POLE FACILITY,2500 HOLLAND AVIATION STREET,NORTH POLE,AK,99705,"EMULSION PRODUCTS CO - NORTH POLE FACILITY.2500 HOLLAND AVIATION STREET, NORTH POLE ALASKA 99705 (FAIRBANKS NORTH STAR BOROUGH)",0,C,,110039075489
99835LSKPLMILE6,-135.233,57.048,False,02,220,000100,02,02220,02220000100,1400000US02220000100,ALASKA PULP CORP,4600 SAWMILL CREEK RD,SITKA,AK,998359798,"ALASKA PULP CORP.4600 SAWMILL CREEK RD, SITKA ALASKA 99835 (SITKA)",0,C,,
