TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
35010RBNSNROBIN,-85.978,32.95,False,01,123,962100,01,01123,01123962100,1400000US01123962100,ROBINSON FOUNDRY INC.,505 ROBINSON CT,ALEXANDER CITY,AL,350103523,"ROBINSON FOUNDRY INC..505 ROBINSON CT, ALEXANDER CITY ALABAMA 35010 (TALLAPOOSA)",0,C,,110000366005
35010RSSLLLEEST,-85.963,32.938,False,01,123,962100,01,01123,01123962100,1400000US01123962100,"FRUIT OF THE LOOM, INC.",755 LEE ST,ALEXANDER CITY,AL,35010,"FRUIT OF THE LOOM, INC..755 LEE ST, ALEXANDER CITY ALABAMA 35010 (TALLAPOOSA)",0,C,,110000366014
35010LXNDR620RO,-85.98,32.949,False,01,123,962100,01,01123,01123962100,1400000US01123962100,INTERMET ALEXANDER CITY FNDY,620 ROBINSON CT,ALEXANDER CITY,AL,35010,"INTERMET ALEXANDER CITY FNDY.620 ROBINSON CT, ALEXANDER CITY ALABAMA 35010 (TALLAPOOSA)",1,C,,
35010VNDLMMAPLE,-85.94200000000001,32.935,False,01,123,962300,01,01123,01123962300,1400000US01123962300,AVONDALE MILLS INC,MAPLE ST,ALEXANDER CITY,AL,35010,"AVONDALE MILLS INC.MAPLE ST, ALEXANDER CITY ALABAMA 35010 (TALLAPOOSA)",0,C,,
35010WLLBR2212A,-85.96600000000001,32.917,False,01,123,962300,01,01123,01123962300,1400000US01123962300,WELLBORN FOREST PRODUCTS INC,2212 AIRPORT BLVD,ALEXANDER CITY,AL,35010,"WELLBORN FOREST PRODUCTS INC.2212 AIRPORT BLVD, ALEXANDER CITY ALABAMA 35010 (TALLAPOOSA)",0,C,,110020517859
3683WSHRMN4837D,-85.90100000000001,32.908,False,01,123,962300,01,01123,01123962300,1400000US01123962300,SHERMAN INDUSTRIES - ALEXANDER CITY PLANT,4837 DADEVILLE ROAD,ALEXANDER CITY,AL,35010,"SHERMAN INDUSTRIES - ALEXANDER CITY PLANT.4837 DADEVILLE ROAD, ALEXANDER CITY ALABAMA 35010 (TALLAPOOSA)",0,C,,110039493410
35016LSNPCWHITE,-85.34,31.901,False,01,005,950200,01,01005,01005950200,1400000US01005950200,LOUISIANA-PACIFIC CORPORATION CLAYTON MDF MILL,140 LP RD,CLAYTON,AL,36016,"LOUISIANA-PACIFIC CORPORATION CLAYTON MDF MILL.140 LP RD, CLAYTON ALABAMA 36016 (BARBOUR)",0,C,,
35016SCSYS1600H,-86.531,34.318000000000005,False,01,095,030401,01,01095,01095030401,1400000US01095030401,SCI SYS INC,1600 HULACO RD,ARAB,AL,35016,"SCI SYS INC.1600 HULACO RD, ARAB ALABAMA 35016 (MARSHALL)",0,C,,
3501WPRGRS3511T,-86.515,34.311,False,01,095,030401,01,01095,01095030401,1400000US01095030401,PROGRESS RAIL - ARAB BEARING SHOP,350 11TH ST SW,ARAB,AL,35016,"PROGRESS RAIL - ARAB BEARING SHOP.350 11TH ST SW, ARAB ALABAMA 35016 (MARSHALL)",0,C,,110003380822
35016THHLLHIGHW,-86.454,34.344,False,01,095,030500,01,01095,01095030500,1400000US01095030500,UMICORE SPECIALTY CHEMICALS-ARAB,1951 GUNTERSVILLE RD,ARAB,AL,35016,"UMICORE SPECIALTY CHEMICALS-ARAB.1951 GUNTERSVILLE RD, ARAB ALABAMA 35016 (MARSHALL)",0,C,,110000366032
35016DNCRPPOBOX,-86.477,34.319,False,01,095,030500,01,01095,01095030500,1400000US01095030500,HYCO ALABAMA LLC MONTANHYDRAULIK GROUP,218 ARAD THOMPSON RD,ARAB,AL,35016,"HYCO ALABAMA LLC MONTANHYDRAULIK GROUP.218 ARAD THOMPSON RD, ARAB ALABAMA 35016 (MARSHALL)",0,C,,110009456356
35016TYCLC331CI,-86.491,34.31,False,01,095,030500,01,01095,01095030500,1400000US01095030500,TYCO ELECTRONICS CORP,331 CITY PARK DR SE,ARAB,AL,35016,"TYCO ELECTRONICS CORP.331 CITY PARK DR SE, ARAB ALABAMA 35016 (MARSHALL)",0,C,,
35016HFLLC514TH,-86.491,34.31,False,01,095,030500,01,01095,01095030500,1400000US01095030500,HFI LLC,510 4TH ST SE,ARAB,AL,35016,"HFI LLC.510 4TH ST SE, ARAB ALABAMA 35016 (MARSHALL)",0,C,,110038335968
35020GRFFN2100G,-86.962,33.378,False,01,073,010401,01,01073,01073010401,1400000US01073010401,AMSTED RAIL CO,2100 GRIFFIN WHEEL DR,BESSEMER,AL,35020,"AMSTED RAIL CO.2100 GRIFFIN WHEEL DR, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,110000366050
35020HRBSN300NO,-86.94200000000001,33.417,False,01,073,010302,01,01073,01073010302,1400000US01073010302,BPI INC-BESSEMER AL PLANT,300 N 32ND ST,BESSEMER,AL,35020,"BPI INC-BESSEMER AL PLANT.300 N 32ND ST, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,110000366069
35020TRNTY5THAV,-86.95100000000001,33.409,False,01,073,010302,01,01073,01073010302,1400000US01073010302,TRINITY INDUSTRIES INC,501 24TH ST N,BESSEMER,AL,350204140,"TRINITY INDUSTRIES INC.501 24TH ST N, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,
35020MTRMT705NO,-86.956,33.409,False,01,073,010100,01,01073,01073010100,1400000US01073010100,PAULO PRODS CO,705 N 22ND ST,BESSEMER,AL,35020,"PAULO PRODS CO.705 N 22ND ST, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,
35020BRMCL22015,-86.95299999999999,33.407,False,01,073,010100,01,01073,01073010100,1400000US01073010100,BERMCO ALUMINUM,2201 5TH AVE N,BESSEMER,AL,35020,"BERMCO ALUMINUM.2201 5TH AVE N, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,
35020PGRNN2800A,-86.949,33.403,False,01,073,010200,01,01073,01073010200,1400000US01073010200,A P GREEN INDUSTRIES INC BESSEMER PLANT,2800 ALABAMA AVE,BESSEMER,AL,35020,"A P GREEN INDUSTRIES INC BESSEMER PLANT.2800 ALABAMA AVE, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,
35020STHST14181,-86.975,33.402,False,01,073,010200,01,01073,01073010200,1400000US01073010200,SOUTHEASTERN WIRE,1418 11TH ST N,BESSEMER,AL,35021,"SOUTHEASTERN WIRE.1418 11TH ST N, BESSEMER ALABAMA 35021 (JEFFERSON)",0,C,,
35020STHRN2217C,-86.947,33.405,False,01,073,010200,01,01073,01073010200,1400000US01073010200,GREDE II-BESSEMER,2217 CAROLINA AVE,BESSEMER,AL,35020,"GREDE II-BESSEMER.2217 CAROLINA AVE, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,110000824369
35021RCNCX26101,-86.965,33.422,False,01,073,013801,01,01073,01073013801,1400000US01073013801,AIRGAS USA LLC-BESSEMER,2610 18TH AVE N,BESSEMER,AL,35020,"AIRGAS USA LLC-BESSEMER.2610 18TH AVE N, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,110002104918
35023NTDST2023S,-86.971,33.417,False,01,073,013801,01,01073,01073013801,1400000US01073013801,US PIPE & FOUNDRY CO LLC,2023 ST LOUIS AVE,BESSEMER,AL,35020,"US PIPE & FOUNDRY CO LLC.2023 ST LOUIS AVE, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,110000366096
35061KPPRS2134K,-86.965,33.444,False,01,073,013801,01,01073,01073013801,1400000US01073013801,KOPPERS INDUSTRIES INC WOODWARD COKE PLANT,2134 KOPPERS DR,DOLOMITE,AL,35061,"KOPPERS INDUSTRIES INC WOODWARD COKE PLANT.2134 KOPPERS DR, DOLOMITE ALABAMA 35061 (JEFFERSON)",0,C,,
35021VLCNP2400W,-86.963,33.437,False,01,073,013801,01,01073,01073013801,1400000US01073013801,VULCAN PIPE & STEEL COATINGS I NC.,2400 WOODARD RD,BESSEMER,AL,35021,"VULCAN PIPE & STEEL COATINGS I NC..2400 WOODARD RD, BESSEMER ALABAMA 35021 (JEFFERSON)",0,C,,110000366087
35020RKNSS21011,-86.97200000000001,33.414,False,01,073,013801,01,01073,01073013801,1400000US01073013801,WILLIAMS BRIDGE CO,2101 18TH AVE N,BESSEMER,AL,35020,"WILLIAMS BRIDGE CO.2101 18TH AVE N, BESSEMER ALABAMA 35020 (JEFFERSON)",0,C,,
35023BCKRSVULCA,-86.96799999999999,33.346,False,01,073,014301,01,01073,01073014301,1400000US01073014301,BORAL BRICKS INC BESSEMER PLA NT 5,VULCAN RD,BESSEMER,AL,35022,"BORAL BRICKS INC BESSEMER PLA NT 5.VULCAN RD, BESSEMER ALABAMA 35022 (JEFFERSON)",0,C,,110000747764
35023BCKRSHOPEW,-86.955,33.347,False,01,073,014301,01,01073,01073014301,1400000US01073014301,MERIDIAN BRICK - BESSEMER PLANT 6,8250 HOPEWELL RD,BESSEMER,AL,35022,"MERIDIAN BRICK - BESSEMER PLANT 6.8250 HOPEWELL RD, BESSEMER ALABAMA 35022 (JEFFERSON)",0,C,,110000588980
35020CHMST3021D,-86.944,33.37,False,01,073,014301,01,01073,01073014301,1400000US01073014301,CHEMSTATION OF ALABAMA,3021 DUBLIN CIR,BESSEMER,AL,35022,"CHEMSTATION OF ALABAMA.3021 DUBLIN CIR, BESSEMER ALABAMA 35022 (JEFFERSON)",0,C,,110013287772
35023RFRCT1750H,-86.90299999999999,33.368,False,01,073,014302,01,01073,01073014302,1400000US01073014302,REFRACTORY SALES & SERVICE CO INC,1750 HWY 150,BESSEMER,AL,35022,"REFRACTORY SALES & SERVICE CO INC.1750 HWY 150, BESSEMER ALABAMA 35022 (JEFFERSON)",0,C,,110000588999
35023TTNCT1651H,-86.90299999999999,33.368,False,01,073,014302,01,01073,01073014302,1400000US01073014302,TITAN COATINGS INC,1651 HWY 150,BESSEMER,AL,35023,"TITAN COATINGS INC.1651 HWY 150, BESSEMER ALABAMA 35023 (JEFFERSON)",0,C,,
35020SHLBY100KI,-86.902,33.365,False,01,073,014302,01,01073,01073014302,1400000US01073014302,BLAZER FABRICATING BESSEMER PLANT,100 KILSBY CIRCLE,BESSEMER,AL,35023,"BLAZER FABRICATING BESSEMER PLANT.100 KILSBY CIRCLE, BESSEMER ALABAMA 35023 (JEFFERSON)",0,C,,
35022HRCRS1496H,-86.919,33.374,False,01,073,014302,01,01073,01073014302,1400000US01073014302,HARCROS CHEMICALS INC,1496 HWY 150,BESSEMER,AL,35022,"HARCROS CHEMICALS INC.1496 HWY 150, BESSEMER ALABAMA 35022 (JEFFERSON)",0,C,,110000604837
35211SPHCR25WPA,-86.844,33.461,False,01,073,014302,01,01073,01073014302,1400000US01073014302,MORRIS MATERIAL HANDLING,25 W PARK CIRCLE,BIRMINGHAM,AL,35211,"MORRIS MATERIAL HANDLING.25 W PARK CIRCLE, BIRMINGHAM ALABAMA 35211 (JEFFERSON)",0,C,,110001713156
35211DXCLT37WPA,-86.84299999999999,33.46,False,01,073,014302,01,01073,01073014302,1400000US01073014302,DIXIE CULTURED MARBLE CO INC,37 W  PARK CIR,BIRMINGHAM,AL,35211,"DIXIE CULTURED MARBLE CO INC.37 W  PARK CIR, BIRMINGHAM ALABAMA 35211 (JEFFERSON)",0,C,,110020517868
3502WVTRNS27HIG,-86.87799999999999,33.36,False,01,073,014302,01,01073,01073014302,1400000US01073014302,VETERAN'S OIL INC,2070 HIGHWAY 150,BESSEMER,AL,35022,"VETERAN'S OIL INC.2070 HIGHWAY 150, BESSEMER ALABAMA 35022 (JEFFERSON)",0,C,,110006788057
35031TYSNFHIGHW,-86.58200000000001,34.056,False,01,009,050500,01,01009,01009050500,1400000US01009050500,TYSON FARMS INC - BLOUNTSVILLE PROCESSING PLANT,67240 MAIN ST,BLOUNTSVILLE,AL,35031,"TYSON FARMS INC - BLOUNTSVILLE PROCESSING PLANT.67240 MAIN ST, BLOUNTSVILLE ALABAMA 35031 (BLOUNT)",0,C,,110000366112
