TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
71601TYSNF2201W,-92.02600000000001,34.229,False,05,069,001300,05,05069,05069001300,1400000US05069001300,TYSON FOODS INC,2201 W 2ND ST,PINE BLUFF,AR,71601,"TYSON FOODS INC.2201 W 2ND ST, PINE BLUFF ARKANSAS 71601 (JEFFERSON)",0,C,,
71611BNPRS2912W,-92.03200000000001,34.227,False,05,069,001300,05,05069,05069001300,1400000US05069001300,QUEST CORP,2912 W 2ND ST,PINE BLUFF,AR,71601,"QUEST CORP.2912 W 2ND ST, PINE BLUFF ARKANSAS 71601 (JEFFERSON)",0,C,,110009522668
71611CNTRL2400W,-92.02799999999999,34.223,False,05,069,001300,05,05069,05069001300,1400000US05069001300,CENTRAL MOLONEY INC.,2400 W 6TH ST,PINE BLUFF,AR,71601,"CENTRAL MOLONEY INC..2400 W 6TH ST, PINE BLUFF ARKANSAS 71601 (JEFFERSON)",0,C,,110000450841
71611VRCPR17THC,-92.03,34.213,False,05,069,001300,05,05069,05069001300,1400000US05069001300,VARCO PRUDEN BUILDINGS INC,2622 W 17TH AVE,PINE BLUFF,AR,716036868,"VARCO PRUDEN BUILDINGS INC.2622 W 17TH AVE, PINE BLUFF ARKANSAS 71603 (JEFFERSON)",0,C,,
71613RDDYC2601W,-92.031,34.224000000000004,False,05,069,001300,05,05069,05069001300,1400000US05069001300,REDDY ICE-PINE BLUFF,2601 W 6TH AVE,PINE BLUFF,AR,71613,"REDDY ICE-PINE BLUFF.2601 W 6TH AVE, PINE BLUFF ARKANSAS 71613 (JEFFERSON)",0,C,,110015679871
71602BNRYCPINEB,-92.119,34.157,False,05,069,002104,05,05069,05069002104,1400000US05069002104,ASEA BROWN BOVERI  BINARY CHEMICAL PLANT,"PINE BLUFF ARSENAL, BLDG 53-220",PINE BLUFF,AR,71602,"ASEA BROWN BOVERI  BINARY CHEMICAL PLANT.PINE BLUFF ARSENAL, BLDG 53-220, PINE BLUFF ARKANSAS 71602 (JEFFERSON)",0,C,,
71602CMDNW3411N,-92.061,34.263000000000005,False,05,069,000303,05,05069,05069000303,1400000US05069000303,INTERNATIONAL WIRE GROUP CAMDEN WIRE PLANT#4,3411 HUTCHINSON ST JEFFERSON INDUSTRIAL PARK,PINE BLUFF,AR,71602,"INTERNATIONAL WIRE GROUP CAMDEN WIRE PLANT#4.3411 HUTCHINSON ST JEFFERSON INDUSTRIAL PARK, PINE BLUFF ARKANSAS 71602 (JEFFERSON)",0,C,,
71602CMPNN5500J,-92.07700000000001,34.260999999999996,False,05,069,000303,05,05069,05069000303,1400000US05069000303,CENTRAL MOLONEY INC,5500 JEFFERSON PKWY,PINE BLUFF,AR,71602,"CENTRAL MOLONEY INC.5500 JEFFERSON PKWY, PINE BLUFF ARKANSAS 71602 (JEFFERSON)",0,C,,
71602FLRDD3300N,-92.06200000000001,34.258,False,05,069,000303,05,05069,05069000303,1400000US05069000303,MAUSER USA LLC,3300 N HUTCHINSON ST,WHITE HALL,AR,71602,"MAUSER USA LLC.3300 N HUTCHINSON ST, WHITE HALL ARKANSAS 71602 (JEFFERSON)",0,C,,110000450743
71602STNTN5300J,-92.064,34.263000000000005,False,05,069,000303,05,05069,05069000303,1400000US05069000303,STANT MANUFACTURING,5300 JEFFERSON PKWY,PINE BLUFF,AR,71602,"STANT MANUFACTURING.5300 JEFFERSON PKWY, PINE BLUFF ARKANSAS 71602 (JEFFERSON)",0,C,,110000450789
71602WHLNG5411I,-92.071,34.259,False,05,069,000303,05,05069,05069000303,1400000US05069000303,WHEELING MACHINE PINE BLUFF,5411 INDUSTRAL DR S,PINE BLUFF,AR,71602,"WHEELING MACHINE PINE BLUFF.5411 INDUSTRAL DR S, PINE BLUFF ARKANSAS 71602 (JEFFERSON)",0,C,,110043769570
71602SHNTT1PROG,-92.06700000000001,34.258,False,05,069,000303,05,05069,05069000303,1400000US05069000303,INTERNATIONAL WIRE GROUP INC SHUNT TECHNOLOGY FACILITY,5322 INDUSTRIAL DR S JEFFERSON INDUSTRIAL PARK,PINE BLUFF,AR,71602,"INTERNATIONAL WIRE GROUP INC SHUNT TECHNOLOGY FACILITY.5322 INDUSTRIAL DR S JEFFERSON INDUSTRIAL PARK, PINE BLUFF ARKANSAS 71602 (JEFFERSON)",0,C,,
71602TYSNF5505J,-92.07799999999999,34.262,False,05,069,000303,05,05069,05069000303,1400000US05069000303,TYSON POULTRY INC PINE BLUFF JEFFERSON PARKWAY PLANT,5505 JEFFERSON PKWY,PINE BLUFF,AR,71602,"TYSON POULTRY INC PINE BLUFF JEFFERSON PARKWAY PLANT.5505 JEFFERSON PKWY, PINE BLUFF ARKANSAS 71602 (JEFFERSON)",0,C,,110000450805
