TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
85004LNCLN234EM,-112.07,33.431,False,04,013,114900,04,04013,04013114900,1400000US04013114900,LINCOLN LASER CO,234 E MOHAVE ST,PHOENIX,AZ,850042885,"LINCOLN LASER CO.234 E MOHAVE ST, PHOENIX ARIZONA 85004 (MARICOPA)",0,C,,
85004QLTYP1829S,-112.074,33.429,False,04,013,114900,04,04013,04013114900,1400000US04013114900,QUALITY PRINTED CIRCUITS CORP,1829 S CENTRAL AVE,PHOENIX,AZ,85004,"QUALITY PRINTED CIRCUITS CORP.1829 S CENTRAL AVE, PHOENIX ARIZONA 85004 (MARICOPA)",0,C,,
85004TRNDW261EU,-112.07,33.424,False,04,013,114900,04,04013,04013114900,1400000US04013114900,TRENDWOOD INC,261 E UNIVERSITY,PHOENIX,AZ,85004,"TRENDWOOD INC.261 E UNIVERSITY, PHOENIX ARIZONA 85004 (MARICOPA)",0,C,,
85007PHNXB1814S,-112.08200000000001,33.431,False,04,013,114900,04,04013,04013114900,1400000US04013114900,PHOENIX BRICK YARD,1814 S 7TH AVE,PHOENIX,AZ,85007,"PHOENIX BRICK YARD.1814 S 7TH AVE, PHOENIX ARIZONA 85007 (MARICOPA)",0,C,,110000470188
85003RLSFB128WM,-112.07600000000001,33.429,False,04,013,114900,04,04013,04013114900,1400000US04013114900,EARL'S FIBERGLASS INC,128 W MARICOPA FWY,PHOENIX,AZ,85003,"EARL'S FIBERGLASS INC.128 W MARICOPA FWY, PHOENIX ARIZONA 85003 (MARICOPA)",1,C,,110002137081
85004RBLNS61EWA,-112.06700000000001,33.426,False,04,013,114900,04,04013,04013114900,1400000US04013114900,RIBELIN SALES LLC,610 E WATKINS ST,PHOENIX,AZ,85004,"RIBELIN SALES LLC.610 E WATKINS ST, PHOENIX ARIZONA 85004 (MARICOPA)",0,C,,110031002242
8500WSVNPL17WES,-112.074,33.426,False,04,013,114900,04,04013,04013114900,1400000US04013114900,SAV-ON PLATING INC,17 WEST WATKINS ROAD,PHOENIX,AZ,85003,"SAV-ON PLATING INC.17 WEST WATKINS ROAD, PHOENIX ARIZONA 85003 (MARICOPA)",0,C,,110039316380
85004QLTYP4837S,-112.04700000000001,33.4,False,04,013,116000,04,04013,04013116000,1400000US04013116000,QUALITY PRINTED CIRCUITS CORP,4837 S 16TH ST,PHOENIX,AZ,85040,"QUALITY PRINTED CIRCUITS CORP.4837 S 16TH ST, PHOENIX ARIZONA 85040 (MARICOPA)",1,C,,
85004RZNPL618SO,-112.074,33.441,False,04,013,114200,04,04013,04013114200,1400000US04013114200,ARIZONA PLATING & ANODIZING CO INC,618 S CENTRAL AVE,PHOENIX,AZ,85004,"ARIZONA PLATING & ANODIZING CO INC.618 S CENTRAL AVE, PHOENIX ARIZONA 85004 (MARICOPA)",0,C,,
85004WTRNG22EAS,-112.073,33.443000000000005,False,04,013,114200,04,04013,04013114200,1400000US04013114200,WATER ENG SERVICES INC,22 E BUCHANAN ST,PHOENIX,AZ,850042514,"WATER ENG SERVICES INC.22 E BUCHANAN ST, PHOENIX ARIZONA 85004 (MARICOPA)",0,C,,
