TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
90001BLCRL1920R,-118.23899999999999,33.986,False,06,037,532700,06,06037,06037532700,1400000US06037532700,"BLUE CORAL INC, MCKAY CHEMICAL DIV",1920 RANDOLPH ST,HUNTINGTON PARK,CA,900010409,"BLUE CORAL INC, MCKAY CHEMICAL DIV.1920 RANDOLPH ST, HUNTINGTON PARK CALIFORNIA 90001 (LOS ANGELES)",1,C,,
90001LLYSC1960E,-118.23700000000001,33.982,False,06,037,532700,06,06037,06037532700,1400000US06037532700,ALLOYS CLEANING INC,1960 E GAGE AVE,LOS ANGELES,CA,90001,"ALLOYS CLEANING INC.1960 E GAGE AVE, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,110041482534
90001MRVNL6100S,-118.23899999999999,33.985,False,06,037,532700,06,06037,06037532700,1400000US06037532700,"HUBBELL LIGHTING INC, MARVIN ELECTRIC MFG CO",6100 S WILMINGTON AVE,LOS ANGELES,CA,90001,"HUBBELL LIGHTING INC, MARVIN ELECTRIC MFG CO.6100 S WILMINGTON AVE, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",1,C,,
90001CSTML7006S,-118.26299999999999,33.976,False,06,037,239330,06,06037,06037239330,1400000US06037239330,CUSTOM LITHOGRAPH,7006 STANFORD AVE,LOS ANGELES,CA,90001,"CUSTOM LITHOGRAPH.7006 STANFORD AVE, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,
90001FRBST6715M,-118.26100000000001,33.979,False,06,037,239330,06,06037,06037239330,1400000US06037239330,DA STUART CO,6715 MCKINLEY AVE,LOS ANGELES,CA,90001,"DA STUART CO.6715 MCKINLEY AVE, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,
90001PRVPN6624S,-118.26299999999999,33.979,False,06,037,239330,06,06037,06037239330,1400000US06037239330,PERVO PAINT CO,6624 STANFORD AVE,LOS ANGELES,CA,900010496,"PERVO PAINT CO.6624 STANFORD AVE, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,110000473229
90003SRDTR6710S,-118.265,33.978,False,06,037,239330,06,06037,06037239330,1400000US06037239330,US RADIATOR CORP,6710 S AVALON BLVD,LOS ANGELES,CA,90003,"US RADIATOR CORP.6710 S AVALON BLVD, LOS ANGELES CALIFORNIA 90003 (LOS ANGELES)",1,C,,
90001FBRCT724E6,-118.262,33.986,False,06,037,239202,06,06037,06037239202,1400000US06037239202,FABRI COTE,724 E 60TH ST,LOS ANGELES,CA,90001,"FABRI COTE.724 E 60TH ST, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,110000473176
90001STNDR81181,-118.26,33.983000000000004,False,06,037,239202,06,06037,06037239202,1400000US06037239202,"STANDARD NICKEL-CHROMIUM, PLATING CO",811 819 826 E 62ND ST,LOS ANGELES,CA,90001,"STANDARD NICKEL-CHROMIUM, PLATING CO.811 819 826 E 62ND ST, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,
90003LCHCR5915A,-118.265,33.986999999999995,False,06,037,239202,06,06037,06037239202,1400000US06037239202,"LEACH CORP, RELAY GROUP",5915 AVALON BLVD,LOS ANGELES,CA,90003,"LEACH CORP, RELAY GROUP.5915 AVALON BLVD, LOS ANGELES CALIFORNIA 90003 (LOS ANGELES)",1,C,,
90051NTDLLPOBOX,-118.26,33.989000000000004,False,06,037,239202,06,06037,06037239202,1400000US06037239202,UNITED ALLOYS & METALS INC.,900 E SLAUSON AVE,LOS ANGELES,CA,90011,"UNITED ALLOYS & METALS INC..900 E SLAUSON AVE, LOS ANGELES CALIFORNIA 90011 (LOS ANGELES)",0,C,,110002138687
90001RRWPL713E6,-118.26299999999999,33.984,False,06,037,239202,06,06037,06037239202,1400000US06037239202,ARROW PLATING CO,713 E 61ST ST,LOS ANGELES,CA,90001,"ARROW PLATING CO.713 E 61ST ST, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,
90003TXTRD5950S,-118.265,33.986,False,06,037,239202,06,06037,06037239202,1400000US06037239202,TEXTURED COATINGS OF AMERICA INC,5950 S AVALON BLVD,LOS ANGELES,CA,90003,"TEXTURED COATINGS OF AMERICA INC.5950 S AVALON BLVD, LOS ANGELES CALIFORNIA 90003 (LOS ANGELES)",0,C,,110000473265
90001LLYMT1000E,-118.258,33.986,False,06,037,239202,06,06037,06037239202,1400000US06037239202,ALLOY METALS CO INC,1000 E 60TH ST,LOS ANGELES,CA,90001,"ALLOY METALS CO INC.1000 E 60TH ST, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,
90001BCNCX935E5,-118.258,33.986999999999995,False,06,037,239202,06,06037,06037239202,1400000US06037239202,NEWARK CUSTOM PAPERBOARD,935 E 59TH ST,LOS ANGELES,CA,900011007,"NEWARK CUSTOM PAPERBOARD.935 E 59TH ST, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",1,C,,110031000235
90001MDNWS6309S,-118.256,33.982,False,06,037,532900,06,06037,06037532900,1400000US06037532900,MODINE AFTERMARKET HOLDINGS INC,6309 S CENTRAL AVE,LOS ANGELES,CA,90001,"MODINE AFTERMARKET HOLDINGS INC.6309 S CENTRAL AVE, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,
90001MDRNF1700E,-118.307,33.99,False,06,037,232500,06,06037,06037232500,1400000US06037232500,MODERN FAUCET MANUFACTURING CO,1700 E 58TH ST,LOS ANGELES,CA,90001,"MODERN FAUCET MANUFACTURING CO.1700 E 58TH ST, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",0,C,,
90002DYMFG2159E,-118.234,33.953,False,06,037,242200,06,06037,06037242200,1400000US06037242200,EDEY MANUFACTURING CO INC,2159  E  92ND ST,LOS ANGELES,CA,90002,"EDEY MANUFACTURING CO INC.2159  E  92ND ST, LOS ANGELES CALIFORNIA 90002 (LOS ANGELES)",0,C,,110000473247
90007LYMPC3000E,-118.214,34.021,False,06,037,205120,06,06037,06037205120,1400000US06037205120,OLYMPIC DYEING FINISHING & PAINTING INC,3000 E 11TH ST,LOS ANGELES,CA,90007,"OLYMPIC DYEING FINISHING & PAINTING INC.3000 E 11TH ST, LOS ANGELES CALIFORNIA 90007 (LOS ANGELES)",0,C,,
90023BLDRS3474U,-118.204,34.016999999999996,False,06,037,205120,06,06037,06037205120,1400000US06037205120,BUILDERS BRASS WORKS,3474 UNION PACIFIC AVE,LOS ANGELES,CA,90023,"BUILDERS BRASS WORKS.3474 UNION PACIFIC AVE, LOS ANGELES CALIFORNIA 90023 (LOS ANGELES)",1,C,,
