TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
80002NDLCH4711W,-105.04799999999999,39.803000000000004,False,08,001,009751,08,08001,08001009751,1400000US08001009751,INDUSTRIAL CHEMICALS CORP,4711 W 58TH AVE,ARVADA,CO,80002,"INDUSTRIAL CHEMICALS CORP.4711 W 58TH AVE, ARVADA COLORADO 80002 (ADAMS)",0,C,,110000906495
80002RDYMX555SH,-105.053,39.799,False,08,001,009751,08,08001,08001009751,1400000US08001009751,READY MIXED CONCRETE PLANT 11,5550 SHERIDAN BLVD,ARVADA,CO,80002,"READY MIXED CONCRETE PLANT 11.5550 SHERIDAN BLVD, ARVADA COLORADO 80002 (ADAMS)",0,C,,110025334038
80004CBLBR14401,-105.162,39.815,False,08,059,009839,08,08059,08059009839,1400000US08059009839,COBE CARDIOVASCULAR INC,14401 W 65TH WAY,ARVADA,CO,80004,"COBE CARDIOVASCULAR INC.14401 W 65TH WAY, ARVADA COLORADO 80004 (JEFFERSON)",0,C,,
80004DNVRN6542F,-105.15799999999999,39.815,False,08,059,009839,08,08059,08059009839,1400000US08059009839,DENVER INSTRUMENT CO,6542 FIG ST,ARVADA,CO,80004,"DENVER INSTRUMENT CO.6542 FIG ST, ARVADA COLORADO 80004 (JEFFERSON)",0,C,,
80010STNLY2501D,-104.876,39.753,False,08,001,007900,08,08001,08001007900,1400000US08001007900,STANLEY AVIATION CORP,2501 DALLAS ST,AURORA,CO,80010,"STANLEY AVIATION CORP.2501 DALLAS ST, AURORA COLORADO 80010 (ADAMS)",0,C,,
80011WHRLP3550O,-104.741,39.765,False,08,001,008353,08,08001,08001008353,1400000US08001008353,WJ WHATLEY INC,"3550 ODESSA WAY, STE A",AURORA,CO,80011,"WJ WHATLEY INC.3550 ODESSA WAY, STE A, AURORA COLORADO 80011 (ADAMS)",0,C,,110000466530
80011JHNHH21100,-104.742,39.758,False,08,001,008353,08,08001,08001008353,1400000US08001008353,ADVANCED CIRCUITS INC,21101 E 32ND PKWY,AURORA,CO,80011,"ADVANCED CIRCUITS INC.21101 E 32ND PKWY, AURORA COLORADO 80011 (ADAMS)",0,C,,110064107121
80011FRSTN2125E,-104.73899999999999,39.766999999999996,False,08,001,008353,08,08001,08001008353,1400000US08001008353,FIRESTONE BUILDING PRODUCTS CO,21250 E 36TH DR,AURORA,CO,80011,"FIRESTONE BUILDING PRODUCTS CO.21250 E 36TH DR, AURORA COLORADO 80011 (ADAMS)",1,C,,110013729215
80019MSTRC23655,-104.711,39.744,False,08,001,008353,08,08001,08001008353,1400000US08001008353,ELKAY WOOD PRODUCTS CO,23655 E 19TH AVE,AURORA,CO,80019,"ELKAY WOOD PRODUCTS CO.23655 E 19TH AVE, AURORA COLORADO 80019 (ADAMS)",0,C,,110030489077
8001WMRTNM241PI,-104.735,39.753,False,08,001,008353,08,08001,08001008353,1400000US08001008353,MARTIN MARIETTA - PICADILLY READY MIX,2401 PICADILLY RD,AURORA,CO,80014,"MARTIN MARIETTA - PICADILLY READY MIX.2401 PICADILLY RD, AURORA COLORADO 80014 (ADAMS)",0,C,,110038615406
80020CRDLB2555W,-105.102,39.924,False,08,014,031200,08,08014,08014031200,1400000US08014031200,SANDOZ INC,2555 W MIDWAY BLVD,BROOMFIELD,CO,80020,"SANDOZ INC.2555 W MIDWAY BLVD, BROOMFIELD COLORADO 80020 (BROOMFIELD)",0,C,,110000466558
80028STRGT2270S,-105.12799999999999,39.941,False,08,014,031200,08,08013,08014031200,1400000US08014031200,STORAGE TECH CORP,ONE STORAGETEK DR,LOUISVILLE,CO,80028,"STORAGE TECH CORP.ONE STORAGETEK DR, LOUISVILLE COLORADO 80028 (BOULDER)",0,C,,
80020VLCRC555AL,-105.09200000000001,39.925,False,08,014,031200,08,08013,08014031200,1400000US08014031200,VELIE CIRCUITS OF CO INC,555 ALTER ST UNIT 19,BROOMFIELD,CO,80020,"VELIE CIRCUITS OF CO INC.555 ALTER ST UNIT 19, BROOMFIELD COLORADO 80020 (BOULDER)",1,C,,
80020FSNSP2400I,-105.09700000000001,39.921,False,08,014,031200,08,08014,08014031200,1400000US08014031200,FUSION SPECIALTIES INC,2400 INDUSTRIAL LN,BROOMFIELD,CO,80020,"FUSION SPECIALTIES INC.2400 INDUSTRIAL LN, BROOMFIELD COLORADO 80020 (BROOMFIELD)",0,C,,110000466567
80020MCRSM800HO,-105.104,39.927,False,08,014,031200,08,08014,08014031200,1400000US08014031200,MICROSEMI CORP COLORADO,800 HOYT ST,BROOMFIELD,CO,80020,"MICROSEMI CORP COLORADO.800 HOYT ST, BROOMFIELD COLORADO 80020 (BROOMFIELD)",0,C,,110000466576
80020HNTRDNEDUE,-105.11,39.928000000000004,False,08,014,031200,08,08014,08014031200,1400000US08014031200,HUNTER DOUGLAS WINDOW FASHIONS INC,ONE DUETTE WAY,BROOMFIELD,CO,80020,"HUNTER DOUGLAS WINDOW FASHIONS INC.ONE DUETTE WAY, BROOMFIELD COLORADO 80020 (BROOMFIELD)",0,C,,110011683776
80020WLLTC2750I,-105.1,39.921,False,08,014,031200,08,08013,08014031200,1400000US08014031200,WALL TECHNOLOGY INC,2750 INDUSTRIAL LN,BROOMFIELD,CO,80020,"WALL TECHNOLOGY INC.2750 INDUSTRIAL LN, BROOMFIELD COLORADO 80020 (BOULDER)",0,C,,
80020GGRGT845CM,-105.09899999999999,39.928000000000004,False,08,014,031200,08,08014,08014031200,1400000US08014031200,AGGREGATE INDUSTRIES WCR INC BROOMFIELD READY MIX PLANT,845 COMPTON ST,BROOMFIELD,CO,80020,"AGGREGATE INDUSTRIES WCR INC BROOMFIELD READY MIX PLANT.845 COMPTON ST, BROOMFIELD COLORADO 80020 (BROOMFIELD)",0,C,,110001437703
8002WRMSTR64CMP,-105.09899999999999,39.927,False,08,014,031200,08,08014,08014031200,1400000US08014031200,CHECKERS INDUSTRIAL SAFETY PRODUCTS,640 COMPTON STREET,BROOMFIELD,CO,80020,"CHECKERS INDUSTRIAL SAFETY PRODUCTS.640 COMPTON STREET, BROOMFIELD COLORADO 80020 (BROOMFIELD)",0,C,,110060258698
80022BYLSG4400E,-104.93700000000001,39.806999999999995,False,08,001,008901,08,08001,08001008901,1400000US08001008901,AZZ GALVANIZING -DENVER,4400 E 61ST AVE,COMMERCE CITY,CO,80022,"AZZ GALVANIZING -DENVER.4400 E 61ST AVE, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,110000466585
80022CLRDR5800B,-104.943,39.805,False,08,001,008901,08,08001,08001008901,1400000US08001008901,COLORADO REFINING CO,5800 BRIGHTON BLVD,COMMERCE CITY,CO,80022,"COLORADO REFINING CO.5800 BRIGHTON BLVD, COMMERCE CITY COLORADO 80022 (ADAMS)",1,C,,
80022CNCDN5801B,-104.944,39.806,False,08,001,008901,08,08001,08001008901,1400000US08001008901,SUNCOR ENERGY COMMERCE CITY REFINERY,5801 BRIGHTON BLVD,COMMERCE CITY,CO,80022,"SUNCOR ENERGY COMMERCE CITY REFINERY.5801 BRIGHTON BLVD, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,110032913024
80022DXPTR6330C,-104.94,39.812,False,08,001,008901,08,08001,08001008901,1400000US08001008901,DPC INDUSTRIES INC,6330 COLORADO,COMMERCE CITY,CO,80022,"DPC INDUSTRIES INC.6330 COLORADO, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,
80022RPBLC5501B,-104.95200000000001,39.798,False,08,001,008901,08,08001,08001008901,1400000US08001008901,REPUBLIC PAPERBOARD CO,5501 BRIGHTON BLVD,COMMERCE CITY,CO,80022,"REPUBLIC PAPERBOARD CO.5501 BRIGHTON BLVD, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,
80022SSCHN3900E,-104.94200000000001,39.82,False,08,001,008901,08,08001,08001008901,1400000US08001008901,SASHCO INC,3900 E 68TH AVE,COMMERCE CITY,CO,80022,"SASHCO INC.3900 E 68TH AVE, COMMERCE CITY COLORADO 80022 (ADAMS)",1,C,,
80022SNDCR4150E,-104.93799999999999,39.803000000000004,False,08,001,008901,08,08001,08001008901,1400000US08001008901,SAND CREEK CHEMICAL LP,4150 E 60TH AVE,COMMERCE CITY,CO,800223110,"SAND CREEK CHEMICAL LP.4150 E 60TH AVE, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,
80022DNVRR3601E,-104.944,39.798,False,08,001,008901,08,08001,08001008901,1400000US08001008901,DENVER REFINED PRODUCTS TERMINAL,3601 E 56TH AVE,COMMERCE CITY,CO,80022,"DENVER REFINED PRODUCTS TERMINAL.3601 E 56TH AVE, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,110002398780
80022PHLLP3960E,-104.939,39.798,False,08,001,008901,08,08001,08001008901,1400000US08001008901,PHILLIPS 66 CO DENVER TERMINAL,3960 E 56TH AVE,COMMERCE CITY,CO,80022,"PHILLIPS 66 CO DENVER TERMINAL.3960 E 56TH AVE, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,110000466638
80022KCHPR4310E,-104.93799999999999,39.804,False,08,001,008901,08,08001,08001008901,1400000US08001008901,BKEP MATERIALS LLC-DENVER,4310 E 60TH AVE,COMMERCE CITY,CO,80022,"BKEP MATERIALS LLC-DENVER.4310 E 60TH AVE, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,110001430531
80022HYDRG6101D,-104.932,39.808,False,08,001,008901,08,08001,08001008901,1400000US08001008901,HYDROGATE ACQUISITION CORP,6101 DEXTER ST,COMMERCE CITY,CO,80022,"HYDROGATE ACQUISITION CORP.6101 DEXTER ST, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,
8002WPRNML6151B,-104.939,39.809,False,08,001,008901,08,08001,08001008901,1400000US08001008901,PURINA ANIMAL NUTRITION LLC - COMMERCE CITY,6151 BRIGHTON BLVD,COMMERCE CITY,CO,80022,"PURINA ANIMAL NUTRITION LLC - COMMERCE CITY.6151 BRIGHTON BLVD, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,110060260355
8002WBRNNN7271C,-104.94,39.828,False,08,001,008901,08,08001,08001008901,1400000US08001008901,BRANNAN SAND & GRAVEL,7271 COLORADO BLVD,COMMERCE CITY,CO,80022,"BRANNAN SAND & GRAVEL.7271 COLORADO BLVD, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,110030489068
80022MSFBR6471E,-104.913,39.785,False,08,001,008709,08,08001,08001008709,1400000US08001008709,MESA FIBERGLASS INC,6471 E 49TH DR,COMMERCE CITY,CO,80022,"MESA FIBERGLASS INC.6471 E 49TH DR, COMMERCE CITY COLORADO 80022 (ADAMS)",1,C,,
80022RXNRD6120E,-104.917,39.802,False,08,001,008709,08,08001,08001008709,1400000US08001008709,LOCTITE CORP,6120 E 58TH AVE,COMMERCE CITY,CO,80022,"LOCTITE CORP.6120 E 58TH AVE, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,
80022WJWHT6980E,-104.90700000000001,39.796,False,08,001,008709,08,08001,08001008709,1400000US08001008709,W.J. WHATLEY INC.,6980 E 54TH PL.,COMMERCE CITY,CO,80022,"W.J. WHATLEY INC..6980 E 54TH PL., COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,110000466656
80022FVSTR6731E,-104.911,39.787,False,08,001,008709,08,08001,08001008709,1400000US08001008709,FIVE STAR AFFILIATES,6731 E 50TH AVE,COMMERCE CITY,CO,80022,"FIVE STAR AFFILIATES.6731 E 50TH AVE, COMMERCE CITY COLORADO 80022 (ADAMS)",0,C,,
