TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
06001MHRHD99THO,-72.85,41.772,False,09,003,462201,09,09003,09003462201,1400000US09003462201,M H RHODES INC,99 THOMPSON RD,AVON,CT,6001,"M H RHODES INC.99 THOMPSON RD, AVON CONNECTICUT 06001 (HARTFORD)",0,C,,
06001NSGNB50TOW,-72.844,41.808,False,09,003,462201,09,09003,09003462201,1400000US09003462201,"ENSIGN-BICKFORD IND INC, DARWORTH CO",50 TOWER LN,AVON,CT,6001,"ENSIGN-BICKFORD IND INC, DARWORTH CO.50 TOWER LN, AVON CONNECTICUT 06001 (HARTFORD)",1,C,,
06001RTNDS151OL,-72.834,41.8,False,09,003,462201,09,09003,09003462201,1400000US09003462201,OLDCASTLE PRECAST INC,151 OLD FARMS RD,AVON,CT,6001,"OLDCASTLE PRECAST INC.151 OLD FARMS RD, AVON CONNECTICUT 06001 (HARTFORD)",0,C,,110001407905
06001TCHNC205OL,-72.836,41.79600000000001,False,09,003,462201,09,09003,09003462201,1400000US09003462201,TECHNICAL COATINGS LABORATORY LLC,205 OLD FARMS RD,AVON,CT,6001,"TECHNICAL COATINGS LABORATORY LLC.205 OLD FARMS RD, AVON CONNECTICUT 06001 (HARTFORD)",0,C,,
06001VNMNF154OL,-72.834,41.801,False,09,003,462201,09,09003,09003462201,1400000US09003462201,AVON MANUFACTURING CO,154 OLD FARMS RD,AVON,CT,6001,"AVON MANUFACTURING CO.154 OLD FARMS RD, AVON CONNECTICUT 06001 (HARTFORD)",0,C,,
06001RFLXT120DA,-72.845,41.805,False,09,003,462201,09,09003,09003462201,1400000US09003462201,ORAFOL AMERICAS INC,120 DARLING DR,AVON,CT,6001,"ORAFOL AMERICAS INC.120 DARLING DR, AVON CONNECTICUT 06001 (HARTFORD)",0,C,,110000314972
06001FSSPC55DAR,-72.83800000000001,41.808,False,09,003,462201,09,09003,09003462201,1400000US09003462201,OFS SPECIALTY PHOTONICS DIV,55 DARLING DR,AVON,CT,6001,"OFS SPECIALTY PHOTONICS DIV.55 DARLING DR, AVON CONNECTICUT 06001 (HARTFORD)",0,C,,
06001PRLNP6SECU,-72.835,41.806000000000004,False,09,003,462201,09,09003,09003462201,1400000US09003462201,RR DONNELLEY & SONS CO,60 SECURITY DR,AVON,CT,6001,"RR DONNELLEY & SONS CO.60 SECURITY DR, AVON CONNECTICUT 06001 (HARTFORD)",0,C,,110021355335
06002BRKNM3OLDW,-72.71,41.853,False,09,003,471500,09,09003,09003471500,1400000US09003471500,BIRKEN MANUFACTURING CO,3 OLD WINDSOR RD,BLOOMFIELD,CT,6002,"BIRKEN MANUFACTURING CO.3 OLD WINDSOR RD, BLOOMFIELD CONNECTICUT 06002 (HARTFORD)",0,C,,
06002CTNGS48ENE,-72.702,41.863,False,09,003,471500,09,09003,09003471500,1400000US09003471500,COATING SCIENCES INC,48 E NEWBERRY RD,BLOOMFIELD,CT,6002,"COATING SCIENCES INC.48 E NEWBERRY RD, BLOOMFIELD CONNECTICUT 06002 (HARTFORD)",1,C,,
06002JCBSM22EAS,-72.69800000000001,41.852,False,09,003,471500,09,09003,09003471500,1400000US09003471500,JACOBS VEHICLE SYSTEMS INC,22 E DUDLEY TOWN RD,BLOOMFIELD,CT,6002,"JACOBS VEHICLE SYSTEMS INC.22 E DUDLEY TOWN RD, BLOOMFIELD CONNECTICUT 06002 (HARTFORD)",0,C,,110011369811
06002KMNRSBLUEH,-72.699,41.86,False,09,003,471500,09,09003,09003471500,1400000US09003471500,KAMAN AEROSPACE CORP AEROSYSTEMS DIV,30 OLD WINDSOR RD,BLOOMFIELD,CT,6002,"KAMAN AEROSPACE CORP AEROSYSTEMS DIV.30 OLD WINDSOR RD, BLOOMFIELD CONNECTICUT 06002 (HARTFORD)",0,C,,110000744810
06002KMTCSBLUEH,-72.709,41.858000000000004,False,09,003,471500,09,09003,09003471500,1400000US09003471500,KAMATICS CORP,1330 BLUE HILLS AVE,BLOOMFIELD,CT,6002,"KAMATICS CORP.1330 BLUE HILLS AVE, BLOOMFIELD CONNECTICUT 06002 (HARTFORD)",0,C,,110000315007
