TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
20018CPTLP806CH,-76.995,38.923,False,11,001,009302,11,11001,11001009302,1400000US11001009302,CAPITOL PRINTING INK CO INC,806 CHANNING PL NE,WASHINGTON,DC,200181728,"CAPITOL PRINTING INK CO INC.806 CHANNING PL NE, WASHINGTON DISTRICT OF COLUMBIA 20018 (DISTRICT OF COLUMBIA)",0,C,,
20001SCMCM2500F,-77.012,38.922,False,11,001,003301,11,11001,11001003301,1400000US11001003301,US ARMY CORPS OF ENGINEERS MCMILLAN WTP WASHINGTON AQUEDUC,2500 FIRST ST NW,WASHINGTON,DC,20001,"US ARMY CORPS OF ENGINEERS MCMILLAN WTP WASHINGTON AQUEDUC.2500 FIRST ST NW, WASHINGTON DISTRICT OF COLUMBIA 20001 (DISTRICT OF COLUMBIA)",0,F,,110000500832
20004SSCRTARIEL,-77.028,38.895,False,11,001,005800,11,11001,11001005800,1400000US11001005800,US SECRET SERVICE,"ARIEL RIOS FEDERAL BLDG, 12TH & PENNSYLVANIA AVE N",WASHINGTON,DC,20004,"US SECRET SERVICE.ARIEL RIOS FEDERAL BLDG, 12TH & PENNSYLVANIA AVE N, WASHINGTON DISTRICT OF COLUMBIA 20004 (DISTRICT OF COLUMBIA)",0,F,,
20228BRFNG14THC,-76.985,38.894,False,11,001,008001,11,11001,11001008001,1400000US11001008001,US DEPARTMENT OF THE TREASURY-BUREAU OF ENGRAVING & PRINTING,14TH & C ST SW,WASHINGTON,DC,20228,"US DEPARTMENT OF THE TREASURY-BUREAU OF ENGRAVING & PRINTING.14TH & C ST SW, WASHINGTON DISTRICT OF COLUMBIA 20228 (DISTRICT OF COLUMBIA)",0,F,,110017347879
20315SCDLC5900M,-77.11399999999999,38.938,False,11,001,000902,11,11001,11001000902,1400000US11001000902,US ARMY CORPS OF ENGINEERS DALECARLIA WTP,5900 MACARTHUR BLVD NW,WASHINGTON,DC,20016,"US ARMY CORPS OF ENGINEERS DALECARLIA WTP.5900 MACARTHUR BLVD NW, WASHINGTON DISTRICT OF COLUMBIA 20016 (DISTRICT OF COLUMBIA)",0,F,,110000500841
20332BLLNG20MAC,-77.007,38.854,False,11,001,007301,11,11001,11001007301,1400000US11001007301,JOINT BASE ANACOSTIA BOLLING,NAVFAC/PWD-370 BROOKLEY AVE,WASHINGTON,DC,20032,"JOINT BASE ANACOSTIA BOLLING.NAVFAC/PWD-370 BROOKLEY AVE, WASHINGTON DISTRICT OF COLUMBIA 20032 (DISTRICT OF COLUMBIA)",0,F,,110002321434
20019BNNNG3400B,-76.956,38.896,False,11,001,009604,11,11001,11001009604,1400000US11001009604,POTOMAC POWER RESOURCES BENNING GENERATING STATION,3400 BENNING RD NE,WASHINGTON,DC,20019,"POTOMAC POWER RESOURCES BENNING GENERATING STATION.3400 BENNING RD NE, WASHINGTON DISTRICT OF COLUMBIA 20019 (DISTRICT OF COLUMBIA)",0,C,,110000499531
20004DCMTR25POT,-77.009,38.871,False,11,001,006400,11,11001,11001006400,1400000US11001006400,DC MATERIALS,25 POTOMAC AVE SE,WASHINGTON,DC,20003,"DC MATERIALS.25 POTOMAC AVE SE, WASHINGTON DISTRICT OF COLUMBIA 20003 (DISTRICT OF COLUMBIA)",0,C,,110009129479
20024BZZRD1STVS,-77.01100000000001,38.866,False,11,001,006400,11,11001,11001006400,1400000US11001006400,BUZZARD POINT GENERATING STATION,1ST & V ST SW,WASHINGTON,DC,20024,"BUZZARD POINT GENERATING STATION.1ST & V ST SW, WASHINGTON DISTRICT OF COLUMBIA 20024 (DISTRICT OF COLUMBIA)",0,C,,
20024SPRRC1601S,-77.009,38.87,False,11,001,006400,11,11001,11001006400,1400000US11001006400,SUPERIOR CONCRETE MATERIALS INC - DC,1601 S CAPITAL ST,WASHINGTON,DC,20024,"SUPERIOR CONCRETE MATERIALS INC - DC.1601 S CAPITAL ST, WASHINGTON DISTRICT OF COLUMBIA 20024 (DISTRICT OF COLUMBIA)",1,C,,110024422775
2000WVRGNC2SSTR,-77.009,38.868,False,11,001,006400,11,11001,11001006400,1400000US11001006400,VIRGINIA CONCRETE-SOUTHWEST DC PLANT,2 S ST SW,WASHINGTON,DC,20003,"VIRGINIA CONCRETE-SOUTHWEST DC PLANT.2 S ST SW, WASHINGTON DISTRICT OF COLUMBIA 20003 (DISTRICT OF COLUMBIA)",0,C,,110055188425
2000WSPRRC1721S,-77.009,38.869,False,11,001,006400,11,11001,11001006400,1400000US11001006400,SUPERIOR CONCRETE MATERIALS INC - WASHINGTON,1721 S CAPITOL ST SW,WASHINGTON,DC,20003,"SUPERIOR CONCRETE MATERIALS INC - WASHINGTON.1721 S CAPITOL ST SW, WASHINGTON DISTRICT OF COLUMBIA 20003 (DISTRICT OF COLUMBIA)",0,C,,110070557869
20011FRTTT5001F,-77.007,38.951,False,11,001,009501,11,11001,11001009501,1400000US11001009501,FORT TOTTEN READY MIX CONCRETE,5001 FORT TOTTEN DR NE,WASHINGTON,DC,20011,"FORT TOTTEN READY MIX CONCRETE.5001 FORT TOTTEN DR NE, WASHINGTON DISTRICT OF COLUMBIA 20011 (DISTRICT OF COLUMBIA)",0,C,,110002007916
20004SGSFPSEFED,-77.002,38.906,False,11,001,010600,11,11001,11001010600,1400000US11001010600,US GSA FPS PISTOL  RANGE BUILDING 202,SE FEDERAL CENTER 3RD & M ST SE,WASHINGTON,DC,20004,"US GSA FPS PISTOL  RANGE BUILDING 202.SE FEDERAL CENTER 3RD & M ST SE, WASHINGTON DISTRICT OF COLUMBIA 20004 (DISTRICT OF COLUMBIA)",0,F,,
20226SDJBR650MA,-77.021,38.902,False,11,001,004702,11,11001,11001004702,1400000US11001004702,US DOJ BUREAU OF ALCOHOL TOBACCO FIREARMS & EXPLOSIVES HQ,650 MASSACHUSETTS AVE NW,WASHINGTON,DC,20226,"US DOJ BUREAU OF ALCOHOL TOBACCO FIREARMS & EXPLOSIVES HQ.650 MASSACHUSETTS AVE NW, WASHINGTON DISTRICT OF COLUMBIA 20226 (DISTRICT OF COLUMBIA)",0,F,,
20536SDHSM425IS,-77.017,38.900999999999996,False,11,001,004702,11,11001,11001004702,1400000US11001004702,U.S. DHS IMMIGRATION & CUSTOMS ENFORCEMENT (ICE)  NFTTU,425 I ST NW,WASHINGTON,DC,20536,"U.S. DHS IMMIGRATION & CUSTOMS ENFORCEMENT (ICE)  NFTTU.425 I ST NW, WASHINGTON DISTRICT OF COLUMBIA 20536 (DISTRICT OF COLUMBIA)",0,F,,110031018592
2001WVRGNC2155Q,-76.973,38.921,False,11,001,011100,11,11001,11001011100,1400000US11001011100,VIRGINIA CONCRETE QUEENS CHAPEL PLANT,2155 QUEENS CHAPEL RD NE,WASHINGTON,DC,20018,"VIRGINIA CONCRETE QUEENS CHAPEL PLANT.2155 QUEENS CHAPEL RD NE, WASHINGTON DISTRICT OF COLUMBIA 20018 (DISTRICT OF COLUMBIA)",0,C,,110039498157
2022WSTRSR15PEN,-77.03399999999999,38.899,False,11,001,006202,11,11001,11001006202,1400000US11001006202,US TREASURY DEPARTMENT-MAIN TREASURY & TREASURY ANNEX,1500 PENNSYLVANIA AVE NW,WASHINGTON,DC,20220,"US TREASURY DEPARTMENT-MAIN TREASURY & TREASURY ANNEX.1500 PENNSYLVANIA AVE NW, WASHINGTON DISTRICT OF COLUMBIA 20220 (DISTRICT OF COLUMBIA)",0,F,,110006368420
