TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
19701KNCRP1100G,-75.658,39.603,False,10,003,016401,10,10003,10003016401,1400000US10003016401,ROGERS CORP-DELAWARE FACILITY,1100 GOVERNOR LEA RD,BEAR,DE,19701,"ROGERS CORP-DELAWARE FACILITY.1100 GOVERNOR LEA RD, BEAR DELAWARE 19701 (NEW CASTLE)",0,C,,110000338484
19702DPNTGRTE89,-75.73,39.614000000000004,False,10,003,014808,10,10003,10003014808,1400000US10003014808,DU PONT GLASGOW SITE,RTE 896,GLASGOW,DE,19702,"DU PONT GLASGOW SITE.RTE 896, GLASGOW DELAWARE 19702 (NEW CASTLE)",0,C,,
19703GNRLC6300P,-75.43,39.804,False,10,003,010104,10,10003,10003010104,1400000US10003010104,GENERAL CHEMICAL LLC DELAWARE VALLEY WORKS,6300 PHILADELPHIA PIKE,CLAYMONT,DE,19703,"GENERAL CHEMICAL LLC DELAWARE VALLEY WORKS.6300 PHILADELPHIA PIKE, CLAYMONT DELAWARE 19703 (NEW CASTLE)",0,C,,
19703RCNDS6000P,-75.44,39.81,False,10,003,010104,10,10003,10003010104,1400000US10003010104,MESSER LLC,6000 PHILADELPHIA PIKE,CLAYMONT,DE,19703,"MESSER LLC.6000 PHILADELPHIA PIKE, CLAYMONT DELAWARE 19703 (NEW CASTLE)",0,C,,110001409841
19703NTRNT4001P,-75.449,39.806999999999995,False,10,003,010104,10,10003,10003010104,1400000US10003010104,INTERNATIONAL MILL SERVICE,4001 PHILADELPHIA PIKE,CLAYMONT,DE,19703,"INTERNATIONAL MILL SERVICE.4001 PHILADELPHIA PIKE, CLAYMONT DELAWARE 19703 (NEW CASTLE)",0,C,,
19703LLDSG6100P,-75.439,39.811,False,10,003,010101,10,10003,10003010101,1400000US10003010101,HONEYWELL DELAWARE PLANT,6100 PHILADELPHIA PIKE,CLAYMONT,DE,19703,"HONEYWELL DELAWARE PLANT.6100 PHILADELPHIA PIKE, CLAYMONT DELAWARE 19703 (NEW CASTLE)",0,C,,110000338518
19703CTSTL4001P,-75.44800000000001,39.81,False,10,003,010101,10,10003,10003010101,1400000US10003010101,EVRAZ CLAYMONT STEEL,4001 PHILADELPHIA PIKE,CLAYMONT,DE,19703,"EVRAZ CLAYMONT STEEL.4001 PHILADELPHIA PIKE, CLAYMONT DELAWARE 19703 (NEW CASTLE)",0,C,,110056963567
19706FRMSPSCHOO,-75.649,39.586,False,10,003,016404,10,10003,10003016404,1400000US10003016404,FORMOSA PLASTICS CORP DE,780 SCHOOLHOUSE RD,DELAWARE CITY,DE,19706,"FORMOSA PLASTICS CORP DE.780 SCHOOLHOUSE RD, DELAWARE CITY DELAWARE 19706 (NEW CASTLE)",0,C,,110000338536
19706KZCHM1385S,-75.639,39.588,False,10,003,016404,10,10003,10003016404,1400000US10003016404,AKZO CHEMICALS INC,1385 SCHOOLHOUSE RD,DELAWARE CITY,DE,19706,"AKZO CHEMICALS INC.1385 SCHOOLHOUSE RD, DELAWARE CITY DELAWARE 19706 (NEW CASTLE)",1,C,,
19706STNDRGOVER,-75.63600000000001,39.6,False,10,003,016404,10,10003,10003016404,1400000US10003016404,METACHEM PRODUCTS LLC,745 GOVERNOR LEA RD,NEW CASTLE,DE,19720,"METACHEM PRODUCTS LLC.745 GOVERNOR LEA RD, NEW CASTLE DELAWARE 19720 (NEW CASTLE)",0,C,,
19706THCHLRIVER,-75.63,39.602,False,10,003,016404,10,10003,10003016404,1400000US10003016404,KUEHNE CO,1645 RIVER RD,NEW CASTLE,DE,19720,"KUEHNE CO.1645 RIVER RD, NEW CASTLE DELAWARE 19720 (NEW CASTLE)",0,C,,110000338563
19706TXCDL2000W,-75.634,39.591,False,10,003,016404,10,10003,10003016404,1400000US10003016404,DELAWARE CITY REFINERY,4550 WRANGLE HILL RD,DELAWARE CITY,DE,19706,"DELAWARE CITY REFINERY.4550 WRANGLE HILL RD, DELAWARE CITY DELAWARE 19706 (NEW CASTLE)",0,C,,110001148598
19706CRDXCWRANG,-75.638,39.580999999999996,False,10,003,016404,10,10003,10003016404,1400000US10003016404,AIR LIQUIDE INDUSTRIAL US LP,4442 WRANGLE HILL RD,DELAWARE CITY,DE,19706,"AIR LIQUIDE INDUSTRIAL US LP.4442 WRANGLE HILL RD, DELAWARE CITY DELAWARE 19706 (NEW CASTLE)",0,C,,110007354246
19706DPNTR766GV,-75.637,39.598,False,10,003,016404,10,10003,10003016404,1400000US10003016404,VEOLIA  - RED LION PLANT,766 GOVERNOR LEA RD,NEW CASTLE,DE,19720,"VEOLIA  - RED LION PLANT.766 GOVERNOR LEA RD, NEW CASTLE DELAWARE 19720 (NEW CASTLE)",0,C,,110056958369
19706KYSRCSCHOO,-75.781,39.659,False,10,003,014803,10,10003,10003014803,1400000US10003014803,KEYSOR-CENTURY CORP,SCHOOL HOUSE RD,DELAWARE CITY,DE,19706,"KEYSOR-CENTURY CORP.SCHOOL HOUSE RD, DELAWARE CITY DELAWARE 19706 (NEW CASTLE)",0,C,,
19713WLGRS750OT,-75.78,39.650999999999996,False,10,003,014803,10,10003,10003014803,1400000US10003014803,W L GORE & ASSOCIATES INC  OTTS CHAPEL SITE,750 OTTS CHAPEL,NEWARK,DE,19713,"W L GORE & ASSOCIATES INC  OTTS CHAPEL SITE.750 OTTS CHAPEL, NEWARK DELAWARE 19713 (NEW CASTLE)",0,C,,
19709HRCLSMIDDL,-75.722,39.443000000000005,False,10,003,016601,10,10003,10003016601,1400000US10003016601,MACDERMID INC,701 IND US TRIAL DR,MIDDLETOWN,DE,19709,"MACDERMID INC.701 IND US TRIAL DR, MIDDLETOWN DELAWARE 19709 (NEW CASTLE)",0,C,,110000338581
19709JHNSNRD170,-75.722,39.457,False,10,003,016601,10,10003,10003016601,1400000US10003016601,JOHNSON CONTROLS BATTERY GROUP INC,700 N BROAD ST,MIDDLETOWN,DE,19709,"JOHNSON CONTROLS BATTERY GROUP INC.700 N BROAD ST, MIDDLETOWN DELAWARE 19709 (NEW CASTLE)",0,C,,110000338590
19709PPLDX601IN,-75.722,39.445,False,10,003,016601,10,10003,10003016601,1400000US10003016601,APPLIED EXTRUSION TECHNOLOGIES INC,601 INDL PARK DR,MIDDLETOWN,DE,19709,"APPLIED EXTRUSION TECHNOLOGIES INC.601 INDL PARK DR, MIDDLETOWN DELAWARE 19709 (NEW CASTLE)",0,C,,
1970WJHNSN5PATR,-75.741,39.439,False,10,003,016601,10,10003,10003016601,1400000US10003016601,JOHNSON CONTROLS INC DISTRIBUTION CENTER,50 PATRIOT DR,MIDDLETOWN,DE,19709,"JOHNSON CONTROLS INC DISTRIBUTION CENTER.50 PATRIOT DR, MIDDLETOWN DELAWARE 19709 (NEW CASTLE)",0,C,,110046123235
19711CRTSD225PA,-75.749,39.691,False,10,003,013610,10,10003,10003013610,1400000US10003013610,CROWN PAPER CO (DBA CROWN VANTAGE) NEWARK MILL,225 PAPER MILL RD,NEWARK,DE,19711,"CROWN PAPER CO (DBA CROWN VANTAGE) NEWARK MILL.225 PAPER MILL RD, NEWARK DELAWARE 19711 (NEW CASTLE)",0,C,,
