TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
32015GNRLL1800V,-81.07,29.195,False,12,127,082301,12,12127,12127082301,1400000US12127082301,"GE CO, SAS",1800 VOLUSIA AVE,DAYTONA BEACH,FL,32114,"GE CO, SAS.1800 VOLUSIA AVE, DAYTONA BEACH FLORIDA 32114 (VOLUSIA)",1,C,,
32114FPNCX440FE,-81.082,29.198,False,12,127,082301,12,12127,12127082301,1400000US12127082301,FLORIDA PRODUCTION ENG INC,440 FENTRESS BLVD,DAYTONA BEACH,FL,32114,"FLORIDA PRODUCTION ENG INC.440 FENTRESS BLVD, DAYTONA BEACH FLORIDA 32114 (VOLUSIA)",1,C,,
32117FMPLS1845H,-81.078,29.214000000000002,False,12,127,082301,12,12127,12127082301,1400000US12127082301,APOGEE PLASTIC TECHS INC,1845 HOLSONBACK DR,DAYTONA BEACH,FL,32117,"APOGEE PLASTIC TECHS INC.1845 HOLSONBACK DR, DAYTONA BEACH FLORIDA 32117 (VOLUSIA)",1,C,,
32114CRNCM530FE,-81.084,29.201999999999998,False,12,127,082301,12,12127,12127082301,1400000US12127082301,CRANE CAMS INC,530 FENTRESS BLVD,DAYTONA BEACH,FL,32114,"CRANE CAMS INC.530 FENTRESS BLVD, DAYTONA BEACH FLORIDA 32114 (VOLUSIA)",0,C,,110000361652
32114LMSHL405FE,-81.079,29.198,False,12,127,082301,12,12127,12127082301,1400000US12127082301,ALUMA SHIELD INDUSTRIES INC,405 FENTRESS BLVD,DAYTONA BEACH,FL,32114,"ALUMA SHIELD INDUSTRIES INC.405 FENTRESS BLVD, DAYTONA BEACH FLORIDA 32114 (VOLUSIA)",0,C,,
32117FRSTC1844H,-81.079,29.214000000000002,False,12,127,082301,12,12127,12127082301,1400000US12127082301,FIRST COAST ANODIZING INC,1844 HOLSONBACK DR,DAYTONA BEACH,FL,32117,"FIRST COAST ANODIZING INC.1844 HOLSONBACK DR, DAYTONA BEACH FLORIDA 32117 (VOLUSIA)",0,C,,
3211WBRDDC4FENT,-81.081,29.197,False,12,127,082301,12,12127,12127082301,1400000US12127082301,BRADDOCK METALLURGICAL,400 FENTRESS BLVD,DAYTONA BEACH,FL,32114,"BRADDOCK METALLURGICAL.400 FENTRESS BLVD, DAYTONA BEACH FLORIDA 32114 (VOLUSIA)",0,C,,110057678197
32032CRNDP308OL,-80.91,28.988000000000003,False,12,127,083008,12,12127,12127083008,1400000US12127083008,COMPLEMENTARY COATINGS CORP,308 OLD COUNTY RD,EDGEWATER,FL,32132,"COMPLEMENTARY COATINGS CORP.308 OLD COUNTY RD, EDGEWATER FLORIDA 32132 (VOLUSIA)",0,C,,110000361536
3213WBLWTR38SLD,-80.91,28.988000000000003,False,12,127,083008,12,12127,12127083008,1400000US12127083008,BLUE WATER DYNAMICS LLC DBA DOUGHERTY MANUFACTURING,308 S OLD COUNTY RD,EDGEWATER,FL,32132,"BLUE WATER DYNAMICS LLC DBA DOUGHERTY MANUFACTURING.308 S OLD COUNTY RD, EDGEWATER FLORIDA 32132 (VOLUSIA)",0,C,,110070244458
32034CNTNRNORTH,-81.457,30.680999999999997,False,12,089,050102,12,12089,12089050102,1400000US12089050102,WESTROCK,600 N 8TH ST,FERNANDINA BEACH,FL,32034,"WESTROCK.600 N 8TH ST, FERNANDINA BEACH FLORIDA 32034 (NASSAU)",0,C,,110000588542
32034TTRYNFOOTO,-81.471,30.662,False,12,089,050202,12,12089,12089050202,1400000US12089050202,RAYONIER PERFORMANCE FIBERS LLC FERNANDINA PLANT,10 GUM ST,FERNANDINA BEACH,FL,32034,"RAYONIER PERFORMANCE FIBERS LLC FERNANDINA PLANT.10 GUM ST, FERNANDINA BEACH FLORIDA 32034 (NASSAU)",0,C,,110027966814
32037SRYBT100SE,-81.15,29.496,False,12,035,060301,12,12035,12035060301,1400000US12035060301,SEA RAY BOATS INC,100 SEA RAY DR,FLAGLER BEACH,FL,32136,"SEA RAY BOATS INC.100 SEA RAY DR, FLAGLER BEACH FLORIDA 32136 (FLAGLER)",0,C,,110047714615
32953SRYBT100SE,-81.15,29.496,False,12,035,060301,12,12009,12035060301,1400000US12035060301,SEA RAY BOATS INC MERRITT ISLAND,350 SEA RAY DR,MERRITT ISLAND,FL,32953,"SEA RAY BOATS INC MERRITT ISLAND.350 SEA RAY DR, MERRITT ISLAND FLORIDA 32953 (BREVARD)",0,C,,110047714615
32043FLRDS3000C,-81.747,30.057,False,12,019,031300,12,12019,12019031300,1400000US12019031300,FLORIDA SOLITE CO,3000 COUNTY RD 209 A,GREEN COVE SPRINGS,FL,32043,"FLORIDA SOLITE CO.3000 COUNTY RD 209 A, GREEN COVE SPRINGS FLORIDA 32043 (CLAY)",0,C,,
32043PRCBRBLDG1,-81.695,30.005,False,12,019,031300,12,12019,12019031300,1400000US12019031300,BEETLE FLORIDA INC,BLDG 19 REYNOLDS INDUSTRIAL PARK,GREEN COVE SPRINGS,FL,32043,"BEETLE FLORIDA INC.BLDG 19 REYNOLDS INDUSTRIAL PARK, GREEN COVE SPRINGS FLORIDA 32043 (CLAY)",0,C,,
32043DZRGY3529E,-81.69800000000001,30.01,False,12,019,031300,12,12019,12019031300,1400000US12019031300,DOZIER & GAY PAINT CO,3529 ENTERPRISE WAY HARBOR RD INDUSTRIAL PARK,GREEN COVE SPRINGS,FL,32043,"DOZIER & GAY PAINT CO.3529 ENTERPRISE WAY HARBOR RD INDUSTRIAL PARK, GREEN COVE SPRINGS FLORIDA 32043 (CLAY)",0,C,,110000361572
32056RCRPXUSHWY,-82.583,30.184,False,12,023,110300,12,12023,12023110300,1400000US12023110300,TRIAD INTERNATIONAL MAINTENANCE CORP,LAKE CITY AIRPORT,LAKE CITY,FL,32055,"TRIAD INTERNATIONAL MAINTENANCE CORP.LAKE CITY AIRPORT, LAKE CITY FLORIDA 32055 (COLUMBIA)",0,C,,
32055HMSFMHWY10,-82.58,30.171,False,12,023,110300,12,12023,12023110300,1400000US12023110300,CHAMPION ENTERPRISES INC HOMES OF MERIT PLANT 2,1823 SE STATE RD 100,LAKE CITY,FL,32025,"CHAMPION ENTERPRISES INC HOMES OF MERIT PLANT 2.1823 SE STATE RD 100, LAKE CITY FLORIDA 32025 (COLUMBIA)",0,C,,110022918093
32056HMSFM10AIR,-82.587,30.177,False,12,023,110300,12,12023,12023110300,1400000US12023110300,HOMES OF MERIT LC PLANT 3,200 SE INDUSTRIAL PARL DR,LAKE CITY,FL,32025,"HOMES OF MERIT LC PLANT 3.200 SE INDUSTRIAL PARL DR, LAKE CITY FLORIDA 32025 (COLUMBIA)",0,C,,110013284891
32025GRTSTHWY10,-82.59,30.177,False,12,023,110300,12,12023,12023110300,1400000US12023110300,GREAT SOUTH TIMBER & LUMBER LLC,HWY 100 E,LAKE CITY,FL,32025,"GREAT SOUTH TIMBER & LUMBER LLC.HWY 100 E, LAKE CITY FLORIDA 32025 (COLUMBIA)",0,C,,110015782875
