TRIFID,LONGITUDE,LATITUDE,ESTIMATE,STATEFP,COUNTYFP,TRACTCE,STATEGEOID,COUNTYGEOID,TRACTGEOID,AFFGEOID,FACILITY_NAME,STREET,CITY,STUSPS,ZIP_CODE,FACILITY,FAC_CLOSED_IND,ASGN_FEDERAL_IND,BIA_CODE,EPA_REGISTRY_ID
30001STLLB3100W,-84.648,33.819,False,13,067,031409,13,13067,13067031409,1400000US13067031409,CARAUSTAR MILL GROUP INC AUSTELL BOXBOARD MILLS,3400 JOE JERKINS BLVD,AUSTELL,GA,30106,"CARAUSTAR MILL GROUP INC AUSTELL BOXBOARD MILLS.3400 JOE JERKINS BLVD, AUSTELL GEORGIA 30106 (COBB)",0,C,,110010557628
30001SWTWT5700P,-84.647,33.818000000000005,False,13,067,031409,13,13067,13067031409,1400000US13067031409,CARAUSTAR MILL GROUP INC-SWEETWATER PAPERBOARD,3500 JOE JERKINS BLVD,AUSTELL,GA,30106,"CARAUSTAR MILL GROUP INC-SWEETWATER PAPERBOARD.3500 JOE JERKINS BLVD, AUSTELL GEORGIA 30106 (COBB)",0,C,,110005691867
30027KPPRS1579K,-84.32600000000001,33.663000000000004,False,13,089,023423,13,13089,13089023423,1400000US13089023423,ARCH WOOD PROTECTION INC,1579 KOPPERS RD,CONLEY,GA,30288,"ARCH WOOD PROTECTION INC.1579 KOPPERS RD, CONLEY GEORGIA 30288 (DEKALB)",0,C,,110000499808
30027NTDBR4140B,-84.32799999999999,33.66,False,13,089,023423,13,13089,13089023423,1400000US13089023423,UNITED BRAKE SYSTEMS INC,4140 BONSAL RD SE,CONLEY,GA,30027,"UNITED BRAKE SYSTEMS INC.4140 BONSAL RD SE, CONLEY GEORGIA 30027 (DEKALB)",0,C,,
30027STHRN3476M,-84.334,33.655,False,13,089,023423,13,13063,13089023423,1400000US13089023423,SOUTHERN BRASS & ALUMINUM CO,3476 MORELAND AVE,CONLEY,GA,30027,"SOUTHERN BRASS & ALUMINUM CO.3476 MORELAND AVE, CONLEY GEORGIA 30027 (CLAYTON)",0,C,,
30288KCHMT1577K,-84.32600000000001,33.663000000000004,False,13,089,023423,13,13089,13089023423,1400000US13089023423,KOCH MATERIALS CO CONLEY,1577 KOPPERS RD,CONLEY,GA,30288,"KOCH MATERIALS CO CONLEY.1577 KOPPERS RD, CONLEY GEORGIA 30288 (DEKALB)",0,C,,
30288BNSLM4083B,-84.32799999999999,33.662,False,13,089,023423,13,13089,13089023423,1400000US13089023423,GEORGIA MASONRY SUPPLY CONLEY,4083 BONSAL RD,CONLEY,GA,30288,"GEORGIA MASONRY SUPPLY CONLEY.4083 BONSAL RD, CONLEY GEORGIA 30288 (DEKALB)",0,C,,110007255834
30027TLNTP4413T,-84.32600000000001,33.645,False,13,063,040410,13,13063,13063040410,1400000US13063040410,DARLING INGREDIENTS INC,4413 TANNER CHURCH RD,ELLENWOOD,GA,30294,"DARLING INGREDIENTS INC.4413 TANNER CHURCH RD, ELLENWOOD GEORGIA 30294 (CLAYTON)",0,C,,110038660071
30049SPLDN7488H,-84.30799999999999,33.625,False,13,063,040410,13,13063,13063040410,1400000US13063040410,SPALDING MOLDED PRODUCTS INC,7488 HWY 42,ELLENWOOD,GA,30049,"SPALDING MOLDED PRODUCTS INC.7488 HWY 42, ELLENWOOD GEORGIA 30049 (CLAYTON)",0,C,,
30294JCBSN36SPA,-84.289,33.623000000000005,False,13,063,040410,13,13063,13063040410,1400000US13063040410,JACOBSON WAREHOUSE CO INC DBA XPO LOGISTICS - SUPPLY,3060 S PARK BLVD,ELLENWOOD,GA,30294,"JACOBSON WAREHOUSE CO INC DBA XPO LOGISTICS - SUPPLY.3060 S PARK BLVD, ELLENWOOD GEORGIA 30294 (CLAYTON)",0,C,,110044280863
30031KRFTN501DE,-84.27600000000001,33.791,False,13,089,022203,13,13089,13089022203,1400000US13089022203,KRAFT GENERAL FOODS INC,501 DEKALB INDUSTRIAL WAY,DECATUR,GA,30031,"KRAFT GENERAL FOODS INC.501 DEKALB INDUSTRIAL WAY, DECATUR GEORGIA 30031 (DEKALB)",0,C,,
30030TLNTM224RI,-84.271,33.781,False,13,089,022203,13,13089,13089022203,1400000US13089022203,ATLANTA MARBLE MANUFACTURING INC,224 RIO CIR,DECATUR,GA,30030,"ATLANTA MARBLE MANUFACTURING INC.224 RIO CIR, DECATUR GEORGIA 30030 (DEKALB)",0,C,,110012576257
30035JHNHH2933M,-84.18299999999999,33.704,False,13,089,023214,13,13089,13089023214,1400000US13089023214,JOHN H HARLAND CO PLANT #2,2933 MILLER RD,DECATUR,GA,30035,"JOHN H HARLAND CO PLANT #2.2933 MILLER RD, DECATUR GEORGIA 30035 (DEKALB)",0,C,,
30035JHNHH2935M,-84.18299999999999,33.704,False,13,089,023214,13,13089,13089023214,1400000US13089023214,JOHN H HARLAND CO PLANT #1,2935 MILLER RD,DECATUR,GA,30035,"JOHN H HARLAND CO PLANT #1.2935 MILLER RD, DECATUR GEORGIA 30035 (DEKALB)",0,C,,
30035CMPST5051S,-84.182,33.711,False,13,089,023214,13,13089,13089023214,1400000US13089023214,COMPOSITITE,5051 SNAPFINGER WOODS DR,DECATUR,GA,30035,"COMPOSITITE.5051 SNAPFINGER WOODS DR, DECATUR GEORGIA 30035 (DEKALB)",0,C,,
30035HHRNT2300M,-84.169,33.721,False,13,089,023214,13,13089,13089023214,1400000US13089023214,HEHR INTERNATIONAL POLYMERS,2300 MELLON CT,DECATUR,GA,30035,"HEHR INTERNATIONAL POLYMERS.2300 MELLON CT, DECATUR GEORGIA 30035 (DEKALB)",0,C,,
30035GRGPC2883M,-84.182,33.705999999999996,False,13,089,023214,13,13089,13089023214,1400000US13089023214,GEORGIA-PACIFIC RESINS INC,2883 MILLER RD,DECATUR,GA,30035,"GEORGIA-PACIFIC RESINS INC.2883 MILLER RD, DECATUR GEORGIA 30035 (DEKALB)",0,C,,
30035PLDNT2365P,-84.17299999999999,33.719,False,13,089,023214,13,13089,13089023214,1400000US13089023214,PLAID ENTERPRISES INC,2365 PARK CENTRAL BLVD,DECATUR,GA,30035,"PLAID ENTERPRISES INC.2365 PARK CENTRAL BLVD, DECATUR GEORGIA 30035 (DEKALB)",0,C,,
30035PLDNT2331M,-84.169,33.72,False,13,089,023214,13,13089,13089023214,1400000US13089023214,PLAID ENTERPRISES INC,2331 MELLON CT,DECATUR,GA,30035,"PLAID ENTERPRISES INC.2331 MELLON CT, DECATUR GEORGIA 30035 (DEKALB)",0,C,,110006547184
3003WKLKLK5224S,-84.177,33.71,False,13,089,023214,13,13089,13089023214,1400000US13089023214,KLIKLOK CORP,5224 SNAPFINGER WOODS DR,DECATUR,GA,30035,"KLIKLOK CORP.5224 SNAPFINGER WOODS DR, DECATUR GEORGIA 30035 (DEKALB)",0,C,,110001425011
30050CRGLL71BAR,-84.38600000000001,33.614000000000004,False,13,063,040306,13,13063,13063040306,1400000US13063040306,POLYNT COMPOSITES USA INC,71 BARNETT RD,FOREST PARK,GA,30297,"POLYNT COMPOSITES USA INC.71 BARNETT RD, FOREST PARK GEORGIA 30297 (CLAYTON)",0,C,,110000355749
